outcome,outcome_unit,X1,X2,X3
CED,MJ,-75132319.1367253,-75751200.3461466,-73900363.3149026
Food_price,USD,-52018316.2443513,-52067487.3544478,-50518246.3841893
FL,mrh-eq,-2543717.63757138,-2572280.58234454,-2494034.72358186
