age_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,added_sugar,CED,MJ,-6911773.98218258,-6518140.08140985,-6803372.10612269
20-34,added_sugar,Food_price,USD,-13259364.4639793,-12469067.5151446,-13174278.3285175
20-34,added_sugar,FL,mrh-eq,-291621.93008301,-276230.76564589,-287438.663349784
20-34,oil,CED,MJ,-34474.7065188699,-5985.86831478729,-31189.8571844898
20-34,oil,Food_price,USD,-14993.4822158687,-23966.4085635176,-40650.3845645776
20-34,oil,FL,mrh-eq,-1874.76035960871,-389.545231414032,-1673.11198025474
20-34,sat_fat,CED,MJ,-12271602.2817119,-12203255.0177087,-12520519.4039169
20-34,sat_fat,Food_price,USD,-1472366.88525437,-1469584.5533924,-1488057.28004638
20-34,sat_fat,FL,mrh-eq,-329073.016452705,-327433.104480871,-335611.128139074
35-44,added_sugar,CED,MJ,-4894914.53437657,-4717680.5373615,-4545967.01109316
35-44,added_sugar,Food_price,USD,-8364286.68828967,-8179674.54163526,-7936269.56908631
35-44,added_sugar,FL,mrh-eq,-219961.753027399,-211305.322218618,-204332.486453793
35-44,oil,CED,MJ,-10625.9957077311,-7908.15580703488,-1048.01299605674
35-44,oil,Food_price,USD,9671.96370330842,9555.61519271151,18355.2221976659
35-44,oil,FL,mrh-eq,-389.895859589901,-212.808626509646,117.89923318704
35-44,sat_fat,CED,MJ,-7898497.68006171,-8199581.72055877,-7594664.47137817
35-44,sat_fat,Food_price,USD,-877275.204210306,-900299.18823453,-827916.150305582
35-44,sat_fat,FL,mrh-eq,-214605.656930244,-222829.504815761,-206134.313231048
45-54,added_sugar,CED,MJ,-4724107.98790026,-4825119.59120926,-4215826.25644335
45-54,added_sugar,Food_price,USD,-7727845.60526162,-7932947.13160912,-6943644.86330149
45-54,added_sugar,FL,mrh-eq,-212498.704366434,-217490.021878144,-189858.441577533
45-54,oil,CED,MJ,-46887.6871404619,-33730.8780950886,19190.0884568811
45-54,oil,Food_price,USD,-29195.5526601185,-32953.7630571681,16860.3778658221
45-54,oil,FL,mrh-eq,-2532.38760518641,-1915.42895291943,1103.97821204338
45-54,sat_fat,CED,MJ,-7222867.69517868,-7411657.54131573,-7136553.29824505
45-54,sat_fat,Food_price,USD,-821037.242283633,-838486.667155904,-814340.184176861
45-54,sat_fat,FL,mrh-eq,-195979.58759761,-201406.319333719,-193810.622483191
55-64,added_sugar,CED,MJ,-5297746.56231512,-5933685.7720367,-5211191.71959408
55-64,added_sugar,Food_price,USD,-8673932.77830619,-9257766.1011064,-8384264.26396416
55-64,added_sugar,FL,mrh-eq,-248018.112260383,-278502.454198092,-243702.015379236
55-64,oil,CED,MJ,-61292.150035675,-98487.2567430243,-118947.437965091
55-64,oil,Food_price,USD,-49622.911832287,-108997.455337535,-104125.369724417
55-64,oil,FL,mrh-eq,-3181.0003159541,-5118.19887179549,-6189.42389230813
55-64,sat_fat,CED,MJ,-9462043.52940239,-9838683.99295564,-9593975.18230903
55-64,sat_fat,Food_price,USD,-1023013.03213436,-1058869.5311491,-1036140.19905006
55-64,sat_fat,FL,mrh-eq,-258588.530458396,-269281.537449659,-262547.789141407
65-74,added_sugar,CED,MJ,-2839639.29851472,-3113954.99786028,-2929395.02874135
65-74,added_sugar,Food_price,USD,-4497860.00336835,-4850588.84254704,-4640899.28042601
65-74,added_sugar,FL,mrh-eq,-139255.36037857,-153148.105258771,-143714.820371869
65-74,oil,CED,MJ,-62619.1401396244,-75031.7179851207,-83522.8122279206
65-74,oil,Food_price,USD,-81801.55170651,-63733.3074301527,-73002.1376554241
65-74,oil,FL,mrh-eq,-3017.03112642138,-3643.92340567432,-4046.7820532317
65-74,sat_fat,CED,MJ,-6420312.2912728,-6137214.84152838,-6309021.0319027
65-74,sat_fat,Food_price,USD,-740886.041738414,-706686.264687211,-732060.29134731
65-74,sat_fat,FL,mrh-eq,-174466.506959347,-166777.673703015,-171394.07199066
75+,added_sugar,CED,MJ,-2422461.41728982,-2313756.61380111,-2431602.49282992
75+,added_sugar,Food_price,USD,-3875392.87639165,-3694036.21445038,-3855301.77384462
75+,added_sugar,FL,mrh-eq,-127646.062838615,-122021.762409244,-128075.29318943
75+,oil,CED,MJ,-2558.64708599768,9986.13733421915,-567.78022943213
75+,oil,Food_price,USD,4419.18525042059,4218.82222689603,915.074332019172
75+,oil,FL,mrh-eq,-125.256201470992,501.83105686162,-14.1113180992831
75+,sat_fat,CED,MJ,-4547893.54989045,-4327311.89878976,-4392189.5001801
75+,sat_fat,Food_price,USD,-523533.073672335,-493604.306367045,-503426.982574107
75+,sat_fat,FL,mrh-eq,-120882.084750435,-115075.936921302,-116713.526476171
