age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Male,OTH,added_sugar,CED,MJ,-34286498.9664273,-27923698.7539091,-38316687.1297101
20-34,Male,OTH,added_sugar,Food_price,USD,-34286498.9664273,-27923698.7539091,-38316687.1297101
20-34,Male,OTH,added_sugar,FL,mrh-eq,-34286498.9664273,-27923698.7539091,-38316687.1297101
20-34,Male,OTH,oil,CED,MJ,6783078.01199402,8659150.20521563,8704982.18186412
20-34,Male,OTH,oil,Food_price,USD,6783078.01199402,8659150.20521563,8704982.18186412
20-34,Male,OTH,oil,FL,mrh-eq,6783078.01199402,8659150.20521563,8704982.18186412
20-34,Male,OTH,sat_fat,CED,MJ,-49263859.9133402,-48274081.4978588,-48296585.8304298
20-34,Male,OTH,sat_fat,Food_price,USD,-49263859.9133402,-48274081.4978588,-48296585.8304298
20-34,Male,OTH,sat_fat,FL,mrh-eq,-49263859.9133402,-48274081.4978588,-48296585.8304298
35-44,Female,NHW,added_sugar,CED,MJ,-164784031.201826,-137796270.507145,-152687925.946887
35-44,Female,NHW,added_sugar,Food_price,USD,-164784031.201826,-137796270.507145,-152687925.946887
35-44,Female,NHW,added_sugar,FL,mrh-eq,-164784031.201826,-137796270.507145,-152687925.946887
35-44,Female,NHW,oil,CED,MJ,-42528985.1654893,-57520240.2550932,-43329080.6714699
35-44,Female,NHW,oil,Food_price,USD,-42528985.1654893,-57520240.2550932,-43329080.6714699
35-44,Female,NHW,oil,FL,mrh-eq,-42528985.1654893,-57520240.2550932,-43329080.6714699
35-44,Female,NHW,sat_fat,CED,MJ,-197807605.495909,-204366654.883545,-200003445.249561
35-44,Female,NHW,sat_fat,Food_price,USD,-197807605.495909,-204366654.883545,-200003445.249561
35-44,Female,NHW,sat_fat,FL,mrh-eq,-197807605.495909,-204366654.883545,-200003445.249561
35-44,Female,NHB,added_sugar,CED,MJ,-47889202.446474,-53142677.0778915,-49622298.2901242
35-44,Female,NHB,added_sugar,Food_price,USD,-47889202.446474,-53142677.0778915,-49622298.2901242
35-44,Female,NHB,added_sugar,FL,mrh-eq,-47889202.446474,-53142677.0778915,-49622298.2901242
35-44,Female,NHB,oil,CED,MJ,-15853307.1919043,-13734651.0763795,-10682490.9815319
35-44,Female,NHB,oil,Food_price,USD,-15853307.1919043,-13734651.0763795,-10682490.9815319
35-44,Female,NHB,oil,FL,mrh-eq,-15853307.1919043,-13734651.0763795,-10682490.9815319
35-44,Female,NHB,sat_fat,CED,MJ,-39284013.5602033,-40502415.3548036,-39888810.2079997
