race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,-196648663.399313,-198177111.094568,-192922826.895146
NHW,Food_price,USD,-109393805.281044,-110179413.642567,-105267644.538209
NHW,FL,mrh-eq,-6366553.67430035,-6433744.81194014,-6219240.27938043
NHB,CED,MJ,-32194131.5213648,-31201536.1902397,-32255686.2827771
NHB,Food_price,USD,-21401476.6046497,-20849290.57733,-21740995.732273
NHB,FL,mrh-eq,-1051067.94595577,-1015259.97468546,-1054787.77595017
HIS,CED,MJ,-38113083.3272191,-39345463.6039496,-37566277.6392434
HIS,Food_price,USD,-20329396.2296862,-20284463.6082466,-19313357.4137753
HIS,FL,mrh-eq,-1220842.56664793,-1258471.21144175,-1191639.6241193
OTH,CED,MJ,-22293600.402689,-22356717.2929484,-22393895.9908336
OTH,Food_price,USD,-11137448.3080998,-11234481.5789114,-11481786.6066494
OTH,FL,mrh-eq,-713147.55073799,-729950.595231121,-725351.279088247
