sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,-44696928.2779341,-45264778.9471011,-43284160.9850757
Female,added_sugar,Food_price,USD,-77276217.0901787,-77537857.7851824,-75566854.6714743
Female,added_sugar,FL,mrh-eq,-2100918.69576432,-2129646.38028179,-2037364.13376165
Female,oil,CED,MJ,-2775505.64098284,-2879278.31281021,-2658976.2823293
Female,oil,Food_price,USD,-1904364.6771863,-2121343.790125,-1868254.43123012
Female,oil,FL,mrh-eq,-140192.84165803,-146357.397145585,-133812.465394542
Female,sat_fat,CED,MJ,-112087151.731315,-109851643.069279,-111152948.250215
Female,sat_fat,Food_price,USD,-13058749.992626,-12699074.1688621,-12934846.1074436
Female,sat_fat,FL,mrh-eq,-2982133.46644115,-2923234.62395772,-2956207.90435282
Male,added_sugar,CED,MJ,-35644534.5020026,-36066018.9934005,-34236546.9490894
Male,added_sugar,Food_price,USD,-60309110.4310733,-60009580.4777596,-57683742.625333
Male,added_sugar,FL,mrh-eq,-1574240.30540252,-1604187.67963815,-1513891.13104606
Male,oil,CED,MJ,1480100.39947687,1628206.46685405,1374374.92973439
Male,oil,Food_price,USD,945316.963715264,832353.35608029,784732.676913669
Male,oil,FL,mrh-eq,74241.983523211,82500.3787388164,70217.7991403467
Male,sat_fat,CED,MJ,-95525458.8978282,-98647315.3259685,-95180429.2710244
Male,sat_fat,Food_price,USD,-10659001.1961303,-11012146.541206,-10534819.1323397
Male,sat_fat,FL,mrh-eq,-2628368.41189922,-2716500.89101404,-2619961.12312343
