age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-55122338.4698182,-53937053.3057332,-55775036.0421033
20-34,Food_price,USD,-31028718.165115,-29506614.6904267,-31049658.7281717
20-34,FL,mrh-eq,-1690094.08726137,-1645827.99517922,-1704017.5424497
35-44,CED,MJ,-35810196.8482027,-36428437.6104231,-34137026.9981656
35-44,Food_price,USD,-19277721.1390939,-18988969.9869587,-18239743.2139185
35-44,FL,mrh-eq,-1143265.71425061,-1152088.93714804,-1083826.43677724
45-54,CED,MJ,-33732694.0179444,-34380524.1306889,-32029976.478662
45-54,Food_price,USD,-18105041.7627756,-18572170.5812652,-16301551.6118705
45-54,FL,mrh-eq,-1086563.76703275,-1108297.9066279,-1014269.38899331
55-64,CED,MJ,-41585220.269345,-44110986.7635215,-42018618.7728109
55-64,Food_price,USD,-20630377.7655065,-22176956.8523915,-20365905.5672949
55-64,FL,mrh-eq,-1345614.08847013,-1446198.25593361,-1361939.74942663
65-74,CED,MJ,-27000680.9273186,-26673955.8420556,-26941118.4663331
65-74,Food_price,USD,-11723024.7582272,-12220999.3964667,-11940080.9537335
65-74,FL,mrh-eq,-862647.005318093,-868104.299868316,-867323.264399991
75+,CED,MJ,-20866028.9812316,-19798670.1831367,-20336546.7350221
75+,Food_price,USD,-9478926.58840985,-9014450.54509828,-9388597.83172867
75+,FL,mrh-eq,-679709.437737702,-644628.616196849,-665607.852909421
