race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,226049922.845583,226049922.845583,226049922.845583
NHW,Food_price,USD,124489909.381869,124489909.381869,124489909.381869
NHW,FL,mrh-eq,8010487.46089565,8010487.46089565,8010487.46089565
NHB,CED,MJ,39720417.6261954,39720417.6261954,39720417.6261954
NHB,Food_price,USD,19560579.7324664,19560579.7324664,19560579.7324664
NHB,FL,mrh-eq,1372234.77221056,1372234.77221056,1372234.77221056
HIS,CED,MJ,56719898.0706239,56719898.0706239,56719898.0706239
HIS,Food_price,USD,28279855.2643681,28279855.2643681,28279855.2643681
HIS,FL,mrh-eq,2004081.14229268,2004081.14229268,2004081.14229268
OTH,CED,MJ,36866536.2164162,36866536.2164162,36866536.2164162
OTH,Food_price,USD,19782767.2486458,19782767.2486458,19782767.2486458
OTH,FL,mrh-eq,1344044.16594841,1344044.16594841,1344044.16594841
