age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,130232499.691646,129047214.527561,130885197.263931
20-34,Food_price,USD,71711910.329404,70189806.8547157,71732850.8924607
20-34,FL,mrh-eq,4322396.25724342,4278130.16516127,4336319.71243175
35-44,CED,MJ,81510612.5928204,82128853.3550408,79837442.7427833
35-44,Food_price,USD,41129537.9812983,40840786.8291631,40091560.0561229
35-44,FL,mrh-eq,2750376.05183697,2759199.2747344,2690936.7743636
45-54,CED,MJ,77662339.4456859,78310169.5584305,75959621.9064036
45-54,Food_price,USD,39637003.207935,40104132.0264246,37833513.0570298
45-54,FL,mrh-eq,2657951.62286139,2679685.76245655,2585657.24482195
55-64,CED,MJ,95058713.2834931,97584479.7776697,95492111.786959
55-64,Food_price,USD,47596517.3275464,49143096.4144313,47332045.1293348
55-64,FL,mrh-eq,3268035.52651307,3368619.69397654,3284361.18746957
65-74,CED,MJ,59822221.9136227,59495496.8283596,59762659.4526372
65-74,Food_price,USD,28322652.6873056,28820627.3255451,28539708.8828119
65-74,FL,mrh-eq,2023616.73393933,2029074.02848955,2028292.99302122
75+,CED,MJ,43874894.0234882,42807535.2253933,43345411.7772787
75+,Food_price,USD,20865818.2694665,20401342.2261549,20775489.5127853
75+,FL,mrh-eq,1493671.40749621,1458590.58595536,1479569.82266793
