Foodgroup,outcome,outcome_unit,X1,X2,X3
added_sugar,CED,MJ,49662153.9871306,49993847.7982303,48708864.8193761
added_sugar,Food_price,USD,85060009.5928824,85045407.5237785,83595985.2564259
added_sugar,FL,mrh-eq,2274563.13590518,2294259.64455952,2232682.93327241
oil,CED,MJ,12315174.0976603,12307873.5106428,12312801.5831781
oil,Food_price,USD,8809584.03382842,8863938.18133612,8829708.90191627
oil,FL,mrh-eq,626806.92149441,626464.66405763,626388.141824842
sat_fat,CED,MJ,98467644.3738571,98762132.3591962,98191350.2342711
sat_fat,Food_price,USD,11242204.6211619,11251623.6528547,11186034.2293688
sat_fat,FL,mrh-eq,2665041.62169937,2674250.31525495,2657657.69001218
