sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,NHW,CED,MJ,-27008556.3555373,-26921441.1336681,-26356220.1794486
Female,NHW,Food_price,USD,-19230545.6082785,-19618284.0563845,-18892041.9279129
Female,NHW,FL,mrh-eq,-928218.135534248,-932519.300823137,-903843.406977326
Female,NHB,CED,MJ,-4906502.0048706,-4837715.53729009,-5015408.93184214
Female,NHB,Food_price,USD,-4205769.90738244,-4149208.24451034,-4240008.43673302
Female,NHB,FL,mrh-eq,-170320.689121642,-167774.200448364,-173748.543307106
Female,HIS,CED,MJ,-5347476.00972019,-5433969.79060101,-5299227.45268895
Female,HIS,Food_price,USD,-3647223.62070781,-3521224.4814663,-3386962.73948721
Female,HIS,FL,mrh-eq,-186383.790220113,-188648.857453286,-182050.106350384
Female,OTH,CED,MJ,-3198110.38467265,-2992467.25857113,-3083552.55647165
Female,OTH,Food_price,USD,-2194369.29949521,-2035852.53446223,-2148743.74193747
Female,OTH,FL,mrh-eq,-110108.950297651,-104054.047520229,-107078.396407364
Male,NHW,CED,MJ,-23677879.2382321,-24234717.2630271,-23192907.8476106
Male,NHW,Food_price,USD,-15797551.9009394,-15610267.2310854,-14746385.6854525
Male,NHW,FL,mrh-eq,-792565.609346844,-808453.565683841,-770717.347027326
Male,NHB,CED,MJ,-3767201.97324436,-3582487.53623291,-3687845.32733823
Male,NHB,Food_price,USD,-2715942.65856752,-2616725.18433634,-2793569.59617056
Male,NHB,FL,mrh-eq,-123322.565904465,-116812.209915147,-121613.004883416
Male,HIS,CED,MJ,-4806703.09661679,-5049741.38802617,-4682911.53934077
Male,HIS,Food_price,USD,-2961552.52064115,-3060637.33848629,-2897052.84364575
Male,HIS,FL,mrh-eq,-154351.023656279,-162603.062185119,-149614.478141971
Male,OTH,CED,MJ,-2419890.07383127,-2698660.43873006,-2582289.48016169
Male,OTH,Food_price,USD,-1265360.72833918,-1455288.28371638,-1413481.41284989
Male,OTH,FL,mrh-eq,-78446.8734901369,-91415.3383154157,-85369.4404869677
