sex_gp,outcome,outcome_unit,X1,X2,X3
Female,CED,MJ,142226951.56544,142226951.56544,142226951.56544
Female,Food_price,USD,73708649.4912636,73708649.4912636,73708649.4912636
Female,FL,mrh-eq,5036838.34777706,5036838.34777706,5036838.34777706
Male,CED,MJ,131817169.871456,131817169.871456,131817169.871456
Male,Food_price,USD,65310980.1325641,65310980.1325641,65310980.1325641
Male,FL,mrh-eq,4671315.15204267,4671315.15204267,4671315.15204267
