age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-19217850.9704133,-18727380.9674334,-19355081.3672241
20-34,Food_price,USD,-14746724.8314495,-13962618.4771005,-14702985.9931285
20-34,FL,mrh-eq,-622569.706895324,-604053.415358175,-624722.903469112
35-44,CED,MJ,-12804038.210146,-12925170.4137273,-12141679.4954674
35-44,Food_price,USD,-9231889.92879667,-9070418.11467708,-8745830.49719423
35-44,FL,mrh-eq,-434957.305817233,-434347.635660889,-410348.900451654
45-54,CED,MJ,-11993863.3702194,-12270508.0106201,-11333189.4662315
45-54,Food_price,USD,-8578078.40020538,-8804387.5618222,-7741124.66961252
45-54,FL,mrh-eq,-411010.67956923,-420811.770164783,-382565.085848681
55-64,CED,MJ,-14821082.2417532,-15870857.0217354,-14924114.3398682
55-64,Food_price,USD,-9746568.72227284,-10425633.087593,-9524529.83273864
55-64,FL,mrh-eq,-509787.643034733,-552902.190519546,-512439.228412952
65-74,CED,MJ,-9322570.72992715,-9326201.55737378,-9321938.87287196
65-74,Food_price,USD,-5320547.59681327,-5621008.4146644,-5445961.70942875
65-74,FL,mrh-eq,-316738.898464338,-323569.70236746,-319155.674415761
75+,CED,MJ,-6972913.61426627,-6631082.37525665,-6824359.77323946
75+,Food_price,USD,-4394506.76481356,-4183421.69859053,-4357813.68208671
75+,FL,mrh-eq,-248653.403790521,-236595.868273685,-244802.930983701
