age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-74340189.4402315,-72664434.2731666,-75130117.4093273
20-34,Food_price,USD,-45775442.9965645,-43469233.1675272,-45752644.7213002
20-34,FL,mrh-eq,-2312663.7941567,-2249881.4105374,-2328740.44591881
35-44,CED,MJ,-48614235.0583487,-49353608.0241504,-46278706.493633
35-44,Food_price,USD,-28509611.0678906,-28059388.1016358,-26985573.7111127
35-44,FL,mrh-eq,-1578223.02006785,-1586436.57280893,-1494175.3372289
45-54,CED,MJ,-45726557.3881638,-46651032.141309,-43363165.9448936
45-54,Food_price,USD,-26683120.162981,-27376558.1430874,-24042676.281483
45-54,FL,mrh-eq,-1497574.44660198,-1529109.67679268,-1396834.47484199
55-64,CED,MJ,-56406302.5110982,-59981843.785257,-56942733.1126791
55-64,Food_price,USD,-30376946.4877794,-32602589.9399845,-29890435.4000335
55-64,FL,mrh-eq,-1855401.73150487,-1999100.44645315,-1874378.97783959
65-74,CED,MJ,-36323251.6572458,-36000157.3994293,-36263057.3392051
65-74,Food_price,USD,-17043572.3550404,-17842007.8111311,-17386042.6631622
65-74,FL,mrh-eq,-1179385.90378243,-1191674.00223577,-1186478.93881575
75+,CED,MJ,-27838942.5954979,-26429752.5583934,-27160906.5082616
75+,Food_price,USD,-13873433.3532234,-13197872.2436888,-13746411.5138154
75+,FL,mrh-eq,-928362.841528224,-881224.484470535,-910410.783893121
