age_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,NHW,CED,MJ,-42707136.8526742,-41982458.7087678,-43922663.6443319
20-34,NHW,Food_price,USD,-25343829.3316759,-24478531.8388842,-25925920.1520904
20-34,NHW,FL,mrh-eq,-1318888.92957799,-1296815.91733428,-1351548.66882593
20-34,NHB,CED,MJ,-10461137.8634323,-9731775.43068093,-10352290.3552542
20-34,NHB,Food_price,USD,-7538337.02340778,-7092099.69352996,-7292464.3412872
20-34,NHB,FL,mrh-eq,-330512.61239281,-304860.602011106,-325483.107820581
20-34,HIS,CED,MJ,-13969398.4375801,-14378145.614961,-14225406.6326899
20-34,HIS,Food_price,USD,-8178632.76397494,-8099341.49406995,-8276655.53828391
20-34,HIS,FL,mrh-eq,-432942.9891002,-441269.562214679,-439631.215044657
20-34,OTH,CED,MJ,-7202516.2865448,-6572054.5187569,-6629756.77705129
20-34,OTH,Food_price,USD,-4714643.87750591,-3799260.14104312,-4257604.68963869
20-34,OTH,FL,mrh-eq,-230319.263085694,-206935.328977333,-212077.454227649
35-44,NHW,CED,MJ,-29019311.3700236,-29418406.536613,-27229779.3537348
35-44,NHW,Food_price,USD,-17531960.3844707,-16900946.050081,-15913379.5945914
35-44,NHW,FL,mrh-eq,-945448.584584111,-941551.722869015,-878652.469401822
35-44,NHB,CED,MJ,-5909696.50369077,-5944421.86165278,-5849805.1348483
35-44,NHB,Food_price,USD,-3922371.97469817,-4141382.77822467,-4030647.67080552
35-44,NHB,FL,mrh-eq,-190035.989686408,-191652.605208749,-187698.958986774
35-44,HIS,CED,MJ,-8917340.55526322,-9339366.48502266,-8436406.93249268
35-44,HIS,Food_price,USD,-4868625.26129653,-4685519.92722396,-4635963.50721094
35-44,HIS,FL,mrh-eq,-286281.834468601,-296730.974812705,-268622.928210542
35-44,OTH,CED,MJ,-4767886.62937113,-4651413.14086199,-4762715.07255717
35-44,OTH,Food_price,USD,-2186653.4474252,-2331539.34610611,-2405582.93850485
35-44,OTH,FL,mrh-eq,-156456.611328727,-156501.269918459,-159200.980629757
45-54,NHW,CED,MJ,-31326076.5600281,-31413360.1057467,-28404470.400101
45-54,NHW,Food_price,USD,-18739931.0336453,-18996011.7826455,-16145717.0711837
45-54,NHW,FL,mrh-eq,-1026954.60673162,-1030099.87543431,-911499.804060141
45-54,NHB,CED,MJ,-5076043.7922148,-4922368.76427135,-5257216.01432734
45-54,NHB,Food_price,USD,-3360620.72425837,-3093455.12478212,-3418123.01117857
45-54,NHB,FL,mrh-eq,-169240.259963732,-160833.526825156,-174751.187130198
45-54,HIS,CED,MJ,-5664978.46366073,-6418006.76852982,-5779842.79303841
45-54,HIS,Food_price,USD,-3106244.71149542,-3443290.2456244,-2887131.46681667
45-54,HIS,FL,mrh-eq,-187088.879379553,-211490.468076034,-187356.643790854
45-54,OTH,CED,MJ,-3659458.57226019,-3897296.50276117,-3921636.73742681
45-54,OTH,Food_price,USD,-1476323.69358188,-1843800.99003539,-1591704.73230406
