sex_gp,outcome,outcome_unit,X1,X2,X3
Female,CED,MJ,-4242460934.294,-4234006576.62106,-4157129626.89274
Female,Food_price,USD,-4242460934.294,-4234006576.62106,-4157129626.89274
Female,FL,mrh-eq,-4242460934.294,-4234006576.62106,-4157129626.89274
Male,CED,MJ,-3075435248.13176,-3138283685.28669,-3024928951.87297
Male,Food_price,USD,-3075435248.13176,-3138283685.28669,-3024928951.87297
Male,FL,mrh-eq,-3075435248.13176,-3138283685.28669,-3024928951.87297
