age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Male,OTH,oil,CED,MJ,1120174.74347417,1120174.74347417,1120174.74347417
20-34,Male,OTH,oil,Food_price,USD,876160.178115848,876160.178115848,876160.178115848
20-34,Male,OTH,oil,FL,mrh-eq,59345.8417765706,59345.8417765706,59345.8417765706
20-34,Male,OTH,sat_fat,CED,MJ,3238550.09155805,3238550.09155805,3238550.09155805
20-34,Male,OTH,sat_fat,Food_price,USD,463525.758757731,463525.758757731,463525.758757731
20-34,Male,OTH,sat_fat,FL,mrh-eq,88234.0056252353,88234.0056252353,88234.0056252353
35-44,Female,NHW,added_sugar,CED,MJ,2918800.56051903,2918800.56051903,2918800.56051903
35-44,Female,NHW,added_sugar,Food_price,USD,5056138.04585401,5056138.04585401,5056138.04585401
35-44,Female,NHW,added_sugar,FL,mrh-eq,136850.720138546,136850.720138546,136850.720138546
35-44,Female,NHW,oil,CED,MJ,3234972.22141396,3234972.22141396,3234972.22141396
35-44,Female,NHW,oil,Food_price,USD,1742296.62859269,1742296.62859269,1742296.62859269
35-44,Female,NHW,oil,FL,mrh-eq,154649.516008626,154649.516008626,154649.516008626
35-44,Female,NHW,sat_fat,CED,MJ,9626139.17469036,9626139.17469036,9626139.17469036
35-44,Female,NHW,sat_fat,Food_price,USD,1138100.81121693,1138100.81121693,1138100.81121693
35-44,Female,NHW,sat_fat,FL,mrh-eq,255271.233462386,255271.233462386,255271.233462386
35-44,Female,NHB,added_sugar,CED,MJ,787234.558339336,787234.558339336,787234.558339336
35-44,Female,NHB,added_sugar,Food_price,USD,1281302.43790741,1281302.43790741,1281302.43790741
35-44,Female,NHB,added_sugar,FL,mrh-eq,32883.0048312486,32883.0048312486,32883.0048312486
35-44,Female,NHB,oil,CED,MJ,852885.927083216,852885.927083216,852885.927083216
35-44,Female,NHB,oil,Food_price,USD,0,0,0
35-44,Female,NHB,oil,FL,mrh-eq,42629.4679142441,42629.4679142441,42629.4679142441
35-44,Female,NHB,sat_fat,CED,MJ,2394470.76187439,2394470.76187439,2394470.76187439
35-44,Female,NHB,sat_fat,Food_price,USD,273403.36413374,273403.36413374,273403.36413374
35-44,Female,NHB,sat_fat,FL,mrh-eq,63401.4104439247,63401.4104439247,63401.4104439247
35-44,Female,HIS,added_sugar,CED,MJ,1253306.60117099,1253306.60117099,1253306.60117099
35-44,Female,HIS,added_sugar,Food_price,USD,2167018.0435482,2167018.0435482,2167018.0435482
35-44,Female,HIS,added_sugar,FL,mrh-eq,62619.6494671139,62619.6494671139,62619.6494671139
35-44,Female,HIS,oil,CED,MJ,1403813.42386344,1403813.42386344,1403813.42386344
35-44,Female,HIS,oil,Food_price,USD,886668.075195757,886668.075195757,886668.075195757
35-44,Female,HIS,oil,FL,mrh-eq,71436.4545641656,71436.4545641656,71436.4545641656
35-44,Female,HIS,sat_fat,CED,MJ,4140253.04356234,4140253.04356234,4140253.04356234
35-44,Female,HIS,sat_fat,Food_price,USD,448402.141227478,448402.141227478,448402.141227478
35-44,Female,HIS,sat_fat,FL,mrh-eq,110802.417603971,110802.417603971,110802.417603971
35-44,Female,OTH,added_sugar,CED,MJ,723647.237841385,723647.237841385,723647.237841385
35-44,Female,OTH,added_sugar,Food_price,USD,1050851.46073426,1050851.46073426,1050851.46073426
35-44,Female,OTH,added_sugar,FL,mrh-eq,36621.2444099822,36621.2444099822,36621.2444099822
35-44,Female,OTH,oil,CED,MJ,835793.192767203,835793.192767203,835793.192767203
35-44,Female,OTH,oil,Food_price,USD,668113.621414419,668113.621414419,668113.621414419
35-44,Female,OTH,oil,FL,mrh-eq,47677.8875101856,47677.8875101856,47677.8875101856
35-44,Female,OTH,sat_fat,CED,MJ,2433532.16306574,2433532.16306574,2433532.16306574
35-44,Female,OTH,sat_fat,Food_price,USD,304151.316433508,304151.316433508,304151.316433508
35-44,Female,OTH,sat_fat,FL,mrh-eq,65430.510625786,65430.510625786,65430.510625786
35-44,Male,NHW,added_sugar,CED,MJ,2947710.59603903,2947710.59603903,2947710.59603903
35-44,Male,NHW,added_sugar,Food_price,USD,5722994.43651445,5722994.43651445,5722994.43651445
35-44,Male,NHW,added_sugar,FL,mrh-eq,126528.525340437,126528.525340437,126528.525340437
35-44,Male,NHW,oil,CED,MJ,3213505.51378187,3213505.51378187,3213505.51378187
35-44,Male,NHW,oil,Food_price,USD,1918789.07190646,1918789.07190646,1918789.07190646
35-44,Male,NHW,oil,FL,mrh-eq,153164.163869261,153164.163869261,153164.163869261
35-44,Male,NHW,sat_fat,CED,MJ,9960081.89388155,9960081.89388155,9960081.89388155
35-44,Male,NHW,sat_fat,Food_price,USD,1031185.12361982,1031185.12361982,1031185.12361982
35-44,Male,NHW,sat_fat,FL,mrh-eq,276796.89291588,276796.89291588,276796.89291588
35-44,Male,NHB,added_sugar,CED,MJ,671939.841800427,671939.841800427,671939.841800427
35-44,Male,NHB,added_sugar,Food_price,USD,1116166.26584145,1116166.26584145,1116166.26584145
35-44,Male,NHB,added_sugar,FL,mrh-eq,25695.5540350024,25695.5540350024,25695.5540350024
35-44,Male,NHB,oil,CED,MJ,712615.211330564,712615.211330564,712615.211330564
35-44,Male,NHB,oil,Food_price,USD,396973.389104947,396973.389104947,396973.389104947
35-44,Male,NHB,oil,FL,mrh-eq,36289.194629293,36289.194629293,36289.194629293
35-44,Male,NHB,sat_fat,CED,MJ,2014031.25192958,2014031.25192958,2014031.25192958
35-44,Male,NHB,sat_fat,Food_price,USD,198979.610103034,198979.610103034,198979.610103034
35-44,Male,NHB,sat_fat,FL,mrh-eq,55129.6628101974,55129.6628101974,55129.6628101974
35-44,Male,HIS,added_sugar,CED,MJ,1228532.3212037,1228532.3212037,1228532.3212037
35-44,Male,HIS,added_sugar,Food_price,USD,2066423.15378414,2066423.15378414,2066423.15378414
35-44,Male,HIS,added_sugar,FL,mrh-eq,51861.9408202786,51861.9408202786,51861.9408202786
35-44,Male,HIS,oil,CED,MJ,1332979.99394341,1332979.99394341,1332979.99394341
35-44,Male,HIS,oil,Food_price,USD,1023207.78009297,1023207.78009297,1023207.78009297
35-44,Male,HIS,oil,FL,mrh-eq,68063.6322058132,68063.6322058132,68063.6322058132
35-44,Male,HIS,sat_fat,CED,MJ,4038495.96755838,4038495.96755838,4038495.96755838
35-44,Male,HIS,sat_fat,Food_price,USD,382248.038150755,382248.038150755,382248.038150755
35-44,Male,HIS,sat_fat,FL,mrh-eq,112766.518504026,112766.518504026,112766.518504026
35-44,Male,OTH,added_sugar,CED,MJ,612305.548524982,612305.548524982,612305.548524982
35-44,Male,OTH,added_sugar,Food_price,USD,1021409.64729369,1021409.64729369,1021409.64729369
35-44,Male,OTH,added_sugar,FL,mrh-eq,31729.0170625616,31729.0170625616,31729.0170625616
35-44,Male,OTH,oil,CED,MJ,680521.679440797,680521.679440797,680521.679440797
35-44,Male,OTH,oil,Food_price,USD,349485.413709309,349485.413709309,349485.413709309
35-44,Male,OTH,oil,FL,mrh-eq,37491.0210082501,37491.0210082501,37491.0210082501
35-44,Male,OTH,sat_fat,CED,MJ,1962396.80706169,1962396.80706169,1962396.80706169
35-44,Male,OTH,sat_fat,Food_price,USD,272073.433681055,272073.433681055,272073.433681055
35-44,Male,OTH,sat_fat,FL,mrh-eq,53444.7363141432,53444.7363141432,53444.7363141432
45-54,Female,NHW,added_sugar,CED,MJ,3513125.82142487,3513125.82142487,3513125.82142487
45-54,Female,NHW,added_sugar,Food_price,USD,5674909.80674828,5674909.80674828,5674909.80674828
45-54,Female,NHW,added_sugar,FL,mrh-eq,155425.354351427,155425.354351427,155425.354351427
45-54,Female,NHW,oil,CED,MJ,3900033.94777533,3900033.94777533,3900033.94777533
45-54,Female,NHW,oil,Food_price,USD,3211003.73619807,3211003.73619807,3211003.73619807
45-54,Female,NHW,oil,FL,mrh-eq,217813.319962775,217813.319962775,217813.319962775
45-54,Female,NHW,sat_fat,CED,MJ,11790461.4422075,11790461.4422075,11790461.4422075
45-54,Female,NHW,sat_fat,Food_price,USD,1255346.16150303,1255346.16150303,1255346.16150303
45-54,Female,NHW,sat_fat,FL,mrh-eq,317130.217517838,317130.217517838,317130.217517838
45-54,Female,NHB,added_sugar,CED,MJ,634851.908852256,634851.908852256,634851.908852256
45-54,Female,NHB,added_sugar,Food_price,USD,1019749.82864087,1019749.82864087,1019749.82864087
45-54,Female,NHB,added_sugar,FL,mrh-eq,26908.315488833,26908.315488833,26908.315488833
45-54,Female,NHB,oil,CED,MJ,693579.565308171,693579.565308171,693579.565308171
45-54,Female,NHB,oil,Food_price,USD,427696.656037875,427696.656037875,427696.656037875
45-54,Female,NHB,oil,FL,mrh-eq,33485.2549698216,33485.2549698216,33485.2549698216
45-54,Female,NHB,sat_fat,CED,MJ,1860766.13216196,1860766.13216196,1860766.13216196
45-54,Female,NHB,sat_fat,Food_price,USD,249673.155308299,249673.155308299,249673.155308299
45-54,Female,NHB,sat_fat,FL,mrh-eq,48363.5410840298,48363.5410840298,48363.5410840298
45-54,Female,HIS,added_sugar,CED,MJ,809221.218961603,809221.218961603,809221.218961603
45-54,Female,HIS,added_sugar,Food_price,USD,1307755.36149338,1307755.36149338,1307755.36149338
45-54,Female,HIS,added_sugar,FL,mrh-eq,38431.3537606554,38431.3537606554,38431.3537606554
45-54,Female,HIS,oil,CED,MJ,890615.066836209,890615.066836209,890615.066836209
45-54,Female,HIS,oil,Food_price,USD,610324.783993153,610324.783993153,610324.783993153
45-54,Female,HIS,oil,FL,mrh-eq,43845.1501023636,43845.1501023636,43845.1501023636
45-54,Female,HIS,sat_fat,CED,MJ,2611201.83606401,2611201.83606401,2611201.83606401
45-54,Female,HIS,sat_fat,Food_price,USD,325229.626964223,325229.626964223,325229.626964223
45-54,Female,HIS,sat_fat,FL,mrh-eq,69540.0466076301,69540.0466076301,69540.0466076301
45-54,Female,OTH,added_sugar,CED,MJ,503793.016721028,503793.016721028,503793.016721028
45-54,Female,OTH,added_sugar,Food_price,USD,796729.440397048,796729.440397048,796729.440397048
45-54,Female,OTH,added_sugar,FL,mrh-eq,25252.536780963,25252.536780963,25252.536780963
45-54,Female,OTH,oil,CED,MJ,575163.485702448,575163.485702448,575163.485702448
45-54,Female,OTH,oil,Food_price,USD,319356.550365221,319356.550365221,319356.550365221
45-54,Female,OTH,oil,FL,mrh-eq,31726.2004587169,31726.2004587169,31726.2004587169
45-54,Female,OTH,sat_fat,CED,MJ,1652573.50080317,1652573.50080317,1652573.50080317
45-54,Female,OTH,sat_fat,Food_price,USD,287737.469873474,287737.469873474,287737.469873474
45-54,Female,OTH,sat_fat,FL,mrh-eq,41925.352759596,41925.352759596,41925.352759596
45-54,Male,NHW,added_sugar,CED,MJ,2900219.95701946,2900219.95701946,2900219.95701946
45-54,Male,NHW,added_sugar,Food_price,USD,5507635.85612412,5507635.85612412,5507635.85612412
45-54,Male,NHW,added_sugar,FL,mrh-eq,133108.525571125,133108.525571125,133108.525571125
45-54,Male,NHW,oil,CED,MJ,3167856.25590369,3167856.25590369,3167856.25590369
45-54,Male,NHW,oil,Food_price,USD,2427291.55535409,2427291.55535409,2427291.55535409
45-54,Male,NHW,oil,FL,mrh-eq,168335.649136258,168335.649136258,168335.649136258
45-54,Male,NHW,sat_fat,CED,MJ,9876473.85258938,9876473.85258938,9876473.85258938
