race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,104156299.707324,104626022.510249,103018992.140613
NHW,Food_price,USD,69326064.0122401,69526517.7904921,67936394.1163877
NHW,FL,mrh-eq,3619461.21592951,3639650.3375554,3573238.22505307
NHB,CED,MJ,18205526.6438995,17952025.7393076,18235076.9249649
NHB,Food_price,USD,12537306.6408657,12381527.5037624,12649172.1078193
NHB,FL,mrh-eq,620450.380746417,611393.536083821,622168.673910832
HIS,CED,MJ,23772825.1100578,24102357.182348,23600784.9957506
HIS,Food_price,USD,14374697.1679825,14347782.8465861,14049936.6097665
HIS,FL,mrh-eq,819381.172100206,829898.277862218,810310.942716168
OTH,CED,MJ,14310320.9973672,14383448.2361645,14358162.5754967
OTH,Food_price,USD,8873730.4267844,8905141.21712861,8976225.55373736
OTH,FL,mrh-eq,507118.910322819,514032.472370675,511010.923429362
