age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,75110161.2218278,75110161.2218278,75110161.2218278
20-34,Food_price,USD,40683192.1642891,40683192.1642891,40683192.1642891
20-34,FL,mrh-eq,2632302.16998205,2632302.16998205,2632302.16998205
35-44,CED,MJ,45700415.7446177,45700415.7446177,45700415.7446177
35-44,Food_price,USD,21851816.8422044,21851816.8422044,21851816.8422044
35-44,FL,mrh-eq,1607110.33758636,1607110.33758636,1607110.33758636
45-54,CED,MJ,43929645.4277416,43929645.4277416,43929645.4277416
45-54,Food_price,USD,21531961.4451594,21531961.4451594,21531961.4451594
45-54,FL,mrh-eq,1571387.85582865,1571387.85582865,1571387.85582865
55-64,CED,MJ,53473493.0141482,53473493.0141482,53473493.0141482
55-64,Food_price,USD,26966139.5620398,26966139.5620398,26966139.5620398
55-64,FL,mrh-eq,1922421.43804293,1922421.43804293,1922421.43804293
65-74,CED,MJ,32821540.9863041,32821540.9863041,32821540.9863041
65-74,Food_price,USD,16599627.9290784,16599627.9290784,16599627.9290784
65-74,FL,mrh-eq,1160969.72862123,1160969.72862123,1160969.72862123
75+,CED,MJ,23008865.0422566,23008865.0422566,23008865.0422566
75+,Food_price,USD,11386891.6810567,11386891.6810567,11386891.6810567
75+,FL,mrh-eq,813961.969758507,813961.969758507,813961.969758507
