age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
65-74,Female,added_sugar,CED,MJ,8765698.68473196,9288672.28085557,8741320.07243175
65-74,Female,added_sugar,Food_price,USD,14331698.4789768,14962665.1485624,14508180.2756156
65-74,Female,added_sugar,FL,mrh-eq,434240.957356778,460901.646938407,433228.924728381
65-74,Female,oil,CED,MJ,5210385.06813613,5011920.53848641,5105206.64184189
65-74,Female,oil,Food_price,USD,5172917.67323814,4874395.91696359,4925778.71738646
65-74,Female,oil,FL,mrh-eq,250755.178329045,241308.56133868,245749.080440322
65-74,Female,sat_fat,CED,MJ,29468445.7064174,28714955.470809,29404437.0916698
65-74,Female,sat_fat,Food_price,USD,3383238.13381975,3282350.70921628,3380582.03851939
65-74,Female,sat_fat,FL,mrh-eq,793809.82834019,773456.204245184,791918.179306732
65-74,Male,added_sugar,CED,MJ,7693744.69006775,7987788.48996893,7987700.95903833
65-74,Male,added_sugar,Food_price,USD,11748768.4795012,12169316.5845831,12000060.8634413
65-74,Male,added_sugar,FL,mrh-eq,374697.432063837,389415.419735144,389102.917841798
65-74,Male,oil,CED,MJ,3821308.51328457,4100140.05681951,4056608.92203625
65-74,Male,oil,Food_price,USD,2294036.28430575,2487593.7210895,2491755.01726545
65-74,Male,oil,FL,mrh-eq,184649.772681219,198142.373822227,196063.657120693
65-74,Male,sat_fat,CED,MJ,24478709.8255874,24011721.3934692,24082824.4831664
65-74,Male,sat_fat,Food_price,USD,2842301.7207786,2795074.14629595,2809074.16651372
65-74,Male,sat_fat,FL,mrh-eq,671182.325908221,658399.387052994,660365.770274685
75+,Female,added_sugar,CED,MJ,7423705.36712684,7379210.06340859,7489211.62218331
75+,Female,added_sugar,Food_price,USD,12307836.9330485,12259119.3520635,12329096.3040012
75+,Female,added_sugar,FL,mrh-eq,404848.920590651,402043.869323615,408081.207445683
75+,Female,oil,CED,MJ,3655766.45802428,3533139.4112097,3627765.26897854
75+,Female,oil,Food_price,USD,2967877.68766405,2887466.47490172,2945887.17815223
75+,Female,oil,FL,mrh-eq,176827.053137085,170842.836526716,175393.119103699
75+,Female,sat_fat,CED,MJ,22098206.1458773,21540026.7767662,22048313.9062763
75+,Female,sat_fat,Food_price,USD,2457327.57287602,2383419.04244224,2451676.48733043
75+,Female,sat_fat,FL,mrh-eq,581236.977324766,566605.979696808,579946.680859063
75+,Male,added_sugar,CED,MJ,5260397.51588601,4981185.3929104,5222016.7112752
75+,Male,added_sugar,Food_price,USD,7767689.2215691,7276092.69841683,7686810.84548923
75+,Male,added_sugar,FL,mrh-eq,263394.398430418,249454.077015679,261437.763914694
75+,Male,oil,CED,MJ,2418049.62390077,2464739.08814342,2434098.09516269
75+,Male,oil,Food_price,USD,1878582.14915378,1960917.32004748,1922393.02119752
75+,Male,oil,FL,mrh-eq,113622.856005338,115809.800794885,114388.391383481
75+,Male,sat_fat,CED,MJ,16885726.8328005,16434361.174073,16242410.2525035
75+,Male,sat_fat,Food_price,USD,2016259.46248589,1952997.02939103,1932687.35121873
75+,Male,sat_fat,FL,mrh-eq,454708.313023218,442743.598096082,437439.298169756
