sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,26609006.151454,26800137.0967939,26132840.3426691
Female,added_sugar,Food_price,USD,46176702.0433778,46265131.3037944,45600727.2135847
Female,added_sugar,FL,mrh-eq,1253112.40584843,1262782.47435107,1231692.84517555
Female,oil,CED,MJ,6783726.50425119,6801365.11739775,6764737.63529332
Female,oil,Food_price,USD,5072717.99160752,5108898.1969079,5066933.82741227
Female,oil,FL,mrh-eq,347605.387971757,348648.660124935,346563.719536495
Female,sat_fat,CED,MJ,50062110.1416971,49578289.5485402,49851029.1850904
Female,sat_fat,Food_price,USD,5830666.07968948,5752717.49493194,5802273.48388448
Female,sat_fat,FL,mrh-eq,1332265.28318027,1319516.78359582,1326415.40015694
Male,added_sugar,CED,MJ,23053147.8356766,23193710.7014363,22576024.476707
Male,added_sugar,Food_price,USD,38883307.5495046,38780276.2199841,37995258.0428411
Male,added_sugar,FL,mrh-eq,1021450.73005675,1031477.17020846,1000990.08809686
Male,oil,CED,MJ,5531447.59340916,5506508.39324507,5548063.94788478
Male,oil,Food_price,USD,3736866.0422209,3755039.98442822,3762775.074504
Male,oil,FL,mrh-eq,279201.533522653,277816.003932695,279824.422288347
Male,sat_fat,CED,MJ,48405534.23216,49183842.810656,48340321.0491807
Male,sat_fat,Food_price,USD,5411538.54147246,5498906.15792277,5383760.74548435
Male,sat_fat,FL,mrh-eq,1332776.33851909,1354733.53165914,1331242.28985524
