race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,-50686435.5937695,-51156158.3966952,-49549128.0270592
NHW,Food_price,USD,-35028097.5092179,-35228551.2874699,-33638427.6133654
NHW,FL,mrh-eq,-1720783.74488109,-1740972.86650698,-1674560.75400465
NHB,CED,MJ,-8673703.97811497,-8420203.073523,-8703254.25918037
NHB,Food_price,USD,-6921712.56594997,-6765933.42884668,-7033578.03290358
NHB,FL,mrh-eq,-293643.255026107,-284586.410363511,-295361.548190522
HIS,CED,MJ,-10154179.106337,-10483711.1786272,-9982138.99202972
HIS,Food_price,USD,-6608776.14134895,-6581861.81995259,-6284015.58313295
HIS,FL,mrh-eq,-340734.813876393,-351251.919638405,-331664.584492355
OTH,CED,MJ,-5618000.45850392,-5691127.69730119,-5665842.03663334
OTH,Food_price,USD,-3459730.02783439,-3491140.81817862,-3562225.15478736
OTH,FL,mrh-eq,-188555.823787788,-195469.385835644,-192447.836894332
