outcome,outcome_unit,X1,X2,X3
CED,MJ,488161280.950756,489373749.272455,485282444.929993
Food_price,USD,249263439.802956,249499791.676435,246305167.530545
FL,mrh-eq,16516047.5998904,16573299.5107737,16405137.734776
