sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,NHW,CED,MJ,-2794232401.43931,-2811779770.40512,-2714468133.08102
Female,NHW,Food_price,USD,-2794232401.43931,-2811779770.40512,-2714468133.08102
Female,NHW,FL,mrh-eq,-2794232401.43931,-2811779770.40512,-2714468133.08102
Female,NHB,CED,MJ,-572024362.164549,-551765610.269757,-581434632.279419
Female,NHB,Food_price,USD,-572024362.164549,-551765610.269757,-581434632.279419
Female,NHB,FL,mrh-eq,-572024362.164549,-551765610.269757,-581434632.279419
Female,HIS,CED,MJ,-522001440.955606,-540869614.016378,-505502902.956922
Female,HIS,Food_price,USD,-522001440.955606,-540869614.016378,-505502902.956922
Female,HIS,FL,mrh-eq,-522001440.955606,-540869614.016378,-505502902.956922
Female,OTH,CED,MJ,-354202729.73454,-329591581.929807,-355723958.575377
Female,OTH,Food_price,USD,-354202729.73454,-329591581.929807,-355723958.575377
Female,OTH,FL,mrh-eq,-354202729.73454,-329591581.929807,-355723958.575377
Male,NHW,CED,MJ,-2119881068.25093,-2167227369.68617,-2075237317.74931
Male,NHW,Food_price,USD,-2119881068.25093,-2167227369.68617,-2075237317.74931
Male,NHW,FL,mrh-eq,-2119881068.25093,-2167227369.68617,-2075237317.74931
Male,NHB,CED,MJ,-361036402.725338,-334640298.80897,-353290185.776936
Male,NHB,Food_price,USD,-361036402.725338,-334640298.80897,-353290185.776936
Male,NHB,FL,mrh-eq,-361036402.725338,-334640298.80897,-353290185.776936
Male,HIS,CED,MJ,-383351372.33001,-388349954.739839,-369206138.883674
Male,HIS,Food_price,USD,-383351372.33001,-388349954.739839,-369206138.883674
Male,HIS,FL,mrh-eq,-383351372.33001,-388349954.739839,-369206138.883674
Male,OTH,CED,MJ,-211166404.825482,-248066062.051713,-227195309.463048
Male,OTH,Food_price,USD,-211166404.825482,-248066062.051713,-227195309.463048
Male,OTH,FL,mrh-eq,-211166404.825482,-248066062.051713,-227195309.463048
