sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,34225640.5224913,34225640.5224913,34225640.5224913
Female,added_sugar,Food_price,USD,59673956.9371894,59673956.9371894,59673956.9371894
Female,added_sugar,FL,mrh-eq,1616189.67536105,1616189.67536105,1616189.67536105
Female,oil,CED,MJ,38146112.7897013,38146112.7897013,38146112.7897013
Female,oil,Food_price,USD,28696576.7509489,28696576.7509489,28696576.7509489
Female,oil,FL,mrh-eq,1956537.87296853,1956537.87296853,1956537.87296853
Female,sat_fat,CED,MJ,112849396.295848,112849396.295848,112849396.295848
Female,sat_fat,Food_price,USD,13140293.4819362,13140293.4819362,13140293.4819362
Female,sat_fat,FL,mrh-eq,3002062.31127428,3002062.31127428,3002062.31127428
Male,added_sugar,CED,MJ,32727451.692,32727451.692,32727451.692
Male,added_sugar,Food_price,USD,54987094.5408301,54987094.5408301,54987094.5408301
Male,added_sugar,FL,mrh-eq,1456263.27756147,1456263.27756147,1456263.27756147
Male,oil,CED,MJ,35177386.2358628,35177386.2358628,35177386.2358628
Male,oil,Food_price,USD,23710513.9860865,23710513.9860865,23710513.9860865
Male,oil,FL,mrh-eq,1774926.59977341,1774926.59977341,1774926.59977341
Male,sat_fat,CED,MJ,106230787.222915,106230787.222915,106230787.222915
Male,sat_fat,Food_price,USD,11904675.9303582,11904675.9303582,11904675.9303582
Male,sat_fat,FL,mrh-eq,2924867.80440855,2924867.80440855,2924867.80440855
