sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,NHW,CED,MJ,-80607459.4275811,-79909662.6995694,-78836750.8574089
Female,NHW,Food_price,USD,-41402528.6942809,-42167646.9548637,-40612156.0537737
Female,NHW,FL,mrh-eq,-2576881.88113332,-2573898.72630066,-2513313.92318245
Female,NHB,CED,MJ,-13540264.6218998,-13312236.1430808,-13875370.0150455
Female,NHB,Food_price,USD,-8881502.09191656,-8713089.16310938,-8985324.00638114
Female,NHB,FL,mrh-eq,-445813.750699026,-436765.83288063,-455362.844886497
Female,HIS,CED,MJ,-15158604.6138766,-15487089.3222842,-15135560.6106476
Female,HIS,Food_price,USD,-7743991.11120162,-7578219.34463055,-7222823.67487837
Female,HIS,FL,mrh-eq,-491811.71898989,-502282.324345196,-484369.627310139
Female,OTH,CED,MJ,-9792612.23207345,-9101118.44412594,-9493994.91406698
Female,OTH,Food_price,USD,-4933401.42672798,-4574750.96474246,-4881894.62904423
Female,OTH,FL,mrh-eq,-313706.087867619,-293295.111613595,-307617.655087744
Male,NHW,CED,MJ,-65354768.3779623,-67111289.9983034,-64536948.0106775
Male,NHW,Food_price,USD,-32963179.0775449,-32783215.4002331,-31017060.8710702
Male,NHW,FL,mrh-eq,-2068888.04828594,-2118873.21913251,-2031365.60219332
Male,NHB,CED,MJ,-9980162.92135003,-9469096.97363588,-9677062.00855125
Male,NHB,Food_price,USD,-5598261.94678317,-5370267.985374,-5722093.69298827
Male,NHB,FL,mrh-eq,-311610.940230637,-293907.731441316,-304063.382873155
Male,HIS,CED,MJ,-12800299.6070054,-13374663.1030382,-12448578.0365661
Male,HIS,Food_price,USD,-5976628.9771356,-6124382.44366345,-5806518.15576396
Male,HIS,FL,mrh-eq,-388296.033781647,-404936.967458148,-375605.412316809
Male,OTH,CED,MJ,-6882987.71211164,-7564471.15152128,-7234059.04013326
Male,OTH,Food_price,USD,-2744316.85353742,-3168589.79599032,-3037666.82281781
Male,OTH,FL,mrh-eq,-210885.639082583,-241186.097781881,-225285.787106171
