sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,-29626385.6528611,-30003105.3766881,-28689784.1687876
Female,added_sugar,Food_price,USD,-51218995.1293113,-51392206.5638985,-50085607.5404001
Female,added_sugar,FL,mrh-eq,-1392618.34315711,-1411675.95917195,-1350483.34182733
Female,oil,CED,MJ,-2314829.73496326,-2400963.79364408,-2217289.2452676
Female,oil,Food_price,USD,-1588207.82999902,-1769006.73763734,-1557881.74823809
Female,oil,FL,mrh-eq,-116922.670424643,-122043.953759021,-111583.962596418
Female,sat_fat,CED,MJ,-87157725.5076067,-85406037.4387281,-86434602.9831138
Female,sat_fat,Food_price,USD,-10154220.3648167,-9872493.12581029,-10058709.0754392
Female,sat_fat,FL,mrh-eq,-2318672.4251081,-2272522.08220912,-2298596.74604309
Male,added_sugar,CED,MJ,-23624433.3444966,-23905354.9701347,-22693569.150553
Male,added_sugar,Food_price,USD,-39967649.9763438,-39771151.3525507,-38230331.677267
Male,added_sugar,FL,mrh-eq,-1043538.73505532,-1063459.66913923,-1003650.20265874
Male,oil,CED,MJ,1237882.82008566,1361049.68729875,1148773.7048188
Male,oil,Food_price,USD,790682.465989041,695892.800561395,656007.211470545
Male,oil,FL,mrh-eq,62092.1437580563,68965.009383704,58690.8481408861
Male,sat_fat,CED,MJ,-72631668.0940185,-74975215.9436628,-72351851.6501939
Male,sat_fat,Food_price,USD,-8105419.34464628,-8371197.07327159,-8009015.07684379
Male,sat_fat,FL,mrh-eq,-1998234.07008355,-2064409.35605832,-1991360.82997161
