age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,172726134.764772,171050379.597708,173516062.733868
20-34,Food_price,USD,102486626.097232,100180416.268195,102463827.821968
20-34,FL,mrh-eq,5751164.42199669,5688382.03837739,5767241.0737588
35-44,CED,MJ,108594200.551036,109333573.516838,106258671.98632
35-44,Food_price,USD,59025992.3779511,58575769.4116962,57501955.0211732
35-44,FL,mrh-eq,3687457.39656317,3695670.94930425,3603409.71372421
45-54,CED,MJ,103309685.615615,104234160.368761,100946294.172345
45-54,Food_price,USD,56362799.4094749,57056237.3895813,53722355.5279769
45-54,FL,mrh-eq,3555041.40674144,3586576.63693215,3454301.43498146
55-64,CED,MJ,126796088.04614,130371629.320298,127332518.64772
55-64,Food_price,USD,67331286.3687528,69556929.8209579,66844775.2810069
55-64,FL,mrh-eq,4384822.04049728,4528520.75544556,4403799.28683199
65-74,CED,MJ,79438292.4882251,79115198.2304087,79378098.1701844
65-74,Food_price,USD,39772960.7706202,40571396.2267108,40115431.078742
65-74,FL,mrh-eq,2709335.49467929,2721623.59313263,2716428.52971261
75+,CED,MJ,57741851.9436158,56332661.9065112,57063815.8563796
75+,Food_price,USD,29395573.0267974,28720011.9172628,29268551.1873893
75+,FL,mrh-eq,1994638.51851148,1947500.16145379,1976686.46087638
