age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,98385945.324541,98385945.324541,98385945.324541
20-34,Food_price,USD,56711183.1006677,56711183.1006677,56711183.1006677
20-34,FL,mrh-eq,3438500.62783999,3438500.62783999,3438500.62783999
35-44,CED,MJ,59979965.4926874,59979965.4926874,59979965.4926874
35-44,Food_price,USD,30516381.3100605,30516381.3100605,30516381.3100605
35-44,FL,mrh-eq,2109234.37649532,2109234.37649532,2109234.37649532
45-54,CED,MJ,57583128.2274516,57583128.2274516,57583128.2274516
45-54,Food_price,USD,29679679.2464939,29679679.2464939,29679679.2464939
45-54,FL,mrh-eq,2057466.96013947,2057466.96013947,2057466.96013947
55-64,CED,MJ,70389785.5350415,70389785.5350415,70389785.5350415
55-64,Food_price,USD,36954339.8809734,36954339.8809734,36954339.8809734
55-64,FL,mrh-eq,2529420.30899241,2529420.30899241,2529420.30899241
65-74,CED,MJ,43115040.8309794,43115040.8309794,43115040.8309794
65-74,Food_price,USD,22729388.4155798,22729388.4155798,22729388.4155798
65-74,FL,mrh-eq,1529949.59089686,1529949.59089686,1529949.59089686
75+,CED,MJ,29902909.3481179,29902909.3481179,29902909.3481179
75+,Food_price,USD,15522139.673574,15522139.673574,15522139.673574
75+,FL,mrh-eq,1066275.67698325,1066275.67698325,1066275.67698325
