race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,422698586.244896,424227033.940151,418972749.740729
NHW,Food_price,USD,233883714.662913,234669323.024436,229757553.920078
NHW,FL,mrh-eq,14377041.135196,14444232.2728358,14229727.7402761
NHB,CED,MJ,71914549.1475602,70921953.8164351,71976103.9089725
NHB,Food_price,USD,40962056.3371161,40409870.3097964,41301575.4647393
NHB,FL,mrh-eq,2423302.71816633,2387494.74689602,2427022.54816073
HIS,CED,MJ,94832981.397843,96065361.6745735,94286175.7098673
HIS,Food_price,USD,48609251.4940543,48564318.8726147,47593212.6781434
HIS,FL,mrh-eq,3224923.70894061,3262552.35373442,3195720.76641198
OTH,CED,MJ,59160136.6191052,59223253.5093646,59260432.2072498
OTH,Food_price,USD,30920215.5567456,31017248.8275572,31264553.8552952
OTH,FL,mrh-eq,2057191.7166864,2073994.76117953,2069395.44503665
