outcome,outcome_unit,X1,X2,X3
CED,MJ,648606253.409404,650437602.940524,644495461.566818
Food_price,USD,354375238.050829,354660761.034404,349916895.918256
FL,mrh-eq,22082459.2789893,22168274.1346458,21921866.4998855
