age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-1869865933.27819,-1799892929.36801,-1877392260.07613
20-34,Food_price,USD,-1869865933.27819,-1799892929.36801,-1877392260.07613
20-34,FL,mrh-eq,-1869865933.27819,-1799892929.36801,-1877392260.07613
35-44,CED,MJ,-1237414389.94669,-1239080869.01128,-1166373524.39725
35-44,Food_price,USD,-1237414389.94669,-1239080869.01128,-1166373524.39725
35-44,FL,mrh-eq,-1237414389.94669,-1239080869.01128,-1166373524.39725
45-54,CED,MJ,-1186996143.68833,-1204505118.29599,-1076344515.57017
45-54,Food_price,USD,-1186996143.68833,-1204505118.29599,-1076344515.57017
45-54,FL,mrh-eq,-1186996143.68833,-1204505118.29599,-1076344515.57017
55-64,CED,MJ,-1440623484.72547,-1567864658.31209,-1476490539.41942
55-64,Food_price,USD,-1440623484.72547,-1567864658.31209,-1476490539.41942
55-64,FL,mrh-eq,-1440623484.72547,-1567864658.31209,-1476490539.41942
65-74,CED,MJ,-898102736.844858,-916514236.729863,-913792619.03775
65-74,Food_price,USD,-898102736.844858,-916514236.729863,-913792619.03775
65-74,FL,mrh-eq,-898102736.844858,-916514236.729863,-913792619.03775
75+,CED,MJ,-684893493.942226,-644432450.19052,-671665120.264998
75+,Food_price,USD,-684893493.942226,-644432450.19052,-671665120.264998
75+,FL,mrh-eq,-684893493.942226,-644432450.19052,-671665120.264998
