age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,23275784.1027131,23275784.1027131,23275784.1027131
20-34,Food_price,USD,16027990.9363787,16027990.9363787,16027990.9363787
20-34,FL,mrh-eq,806198.457857942,806198.457857942,806198.457857942
35-44,CED,MJ,14279549.7480697,14279549.7480697,14279549.7480697
35-44,Food_price,USD,8664564.46785609,8664564.46785609,8664564.46785609
35-44,FL,mrh-eq,502124.038908962,502124.038908962,502124.038908962
45-54,CED,MJ,13653482.79971,13653482.79971,13653482.79971
45-54,Food_price,USD,8147717.80133457,8147717.80133457,8147717.80133457
45-54,FL,mrh-eq,486079.104310822,486079.104310822,486079.104310822
55-64,CED,MJ,16916292.5208933,16916292.5208933,16916292.5208933
55-64,Food_price,USD,9988200.31893358,9988200.31893358,9988200.31893358
55-64,FL,mrh-eq,606998.870949475,606998.870949475,606998.870949475
65-74,CED,MJ,10293499.8446752,10293499.8446752,10293499.8446752
65-74,Food_price,USD,6129760.48650135,6129760.48650135,6129760.48650135
65-74,FL,mrh-eq,368979.862275625,368979.862275625,368979.862275625
75+,CED,MJ,6894044.30586133,6894044.30586133,6894044.30586133
75+,Food_price,USD,4135247.99251731,4135247.99251731,4135247.99251731
75+,FL,mrh-eq,252313.707224746,252313.707224746,252313.707224746
