race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,-145962227.805543,-147020952.697873,-143373698.868086
NHW,Food_price,USD,-74365707.7718258,-74950862.3550968,-71629216.9248439
NHW,FL,mrh-eq,-4645769.92941926,-4692771.94543317,-4544679.52537578
NHB,CED,MJ,-23520427.5432498,-22781333.1167167,-23552432.0235968
NHB,Food_price,USD,-14479764.0386997,-14083357.1484834,-14707417.6993694
NHB,FL,mrh-eq,-757424.690929663,-730673.564321946,-759426.227759651
HIS,CED,MJ,-27958904.2208821,-28861752.4253224,-27584138.6472137
HIS,Food_price,USD,-13720620.0883372,-13702601.788294,-13029341.8306423
HIS,FL,mrh-eq,-880107.752771537,-907219.291803344,-859975.039626949
OTH,CED,MJ,-16675599.9441851,-16665589.5956472,-16728053.9542002
OTH,Food_price,USD,-7677718.28026539,-7743340.76073278,-7919561.45186203
OTH,FL,mrh-eq,-524591.726950202,-534481.209395476,-532903.442193916
