sex_gp,race_gp,age_gp,subgroup_id,population,Foodgroup,Intake_unit,outcome,outcome_unit,subgroup,Age,Age_label,Sex,Sex_label,Race,Race_label,population.se,agecat,female,race,age,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
Female,HIS,20-34,3,6549965,added_sugar,tsp eq/day,CED,MJ,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,-0.11610027173743799,0.004518543944911111,-0.11580495571171098,-0.12051151636696242,-0.11194004572978153
Female,HIS,20-34,3,6549965,added_sugar,tsp eq/day,Food_price,USD,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,-0.17899271853592266,0.0063562073590009175,-0.17670600088761773,-0.18570241340167637,-0.17422673367122818
Female,HIS,20-34,3,6549965,added_sugar,tsp eq/day,FL,mrh-eq,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,-0.005032545985226949,1.9586328135785626e-4,-0.005019745054984447,-0.005223758211675238,-0.004852214549484787
Female,HIS,20-34,3,6549965,oil,g/day,CED,MJ,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,-0.0018126428266313482,2.1900095364948667e-4,-0.0017410470916252101,-0.002042609362606011,-0.001643532665411902
Female,HIS,20-34,3,6549965,oil,g/day,Food_price,USD,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,-7.978369054985777e-4,3.6634038832902437e-4,-8.887048940386048e-4,-0.0010991169869710965,-4.1931903376703596e-4
Female,HIS,20-34,3,6549965,oil,g/day,FL,mrh-eq,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,-9.356394943543226e-5,1.1304264608848557e-5,-8.986836217936155e-5,-1.0543422913292881e-4,-8.483491890559583e-5
Female,HIS,20-34,3,6549965,sat_fat,g/day,CED,MJ,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,-0.18604415534162178,0.007085779144044719,-0.1891981359138614,-0.19091496812701916,-0.17849245906982075
Female,HIS,20-34,3,6549965,sat_fat,g/day,Food_price,USD,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,-0.028441683823797425,7.983240841609763e-4,-0.028881724616932853,-0.028921086183915666,-0.027588246789514072
Female,HIS,20-34,3,6549965,sat_fat,g/day,FL,mrh-eq,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,-0.005093002310222747,1.939748630322796e-4,-0.005179343266816189,-0.005226341950606173,-0.004886272856734895
Female,HIS,35-44,11,4706043,added_sugar,tsp eq/day,CED,MJ,11,2,35-44,1,Female,3,HIS,0,2,1,3,35,-0.09392184607965262,0.010049608986738475,-0.0889058130975329,-0.10466278845402525,-0.08744453174008175
Female,HIS,35-44,11,4706043,added_sugar,tsp eq/day,Food_price,USD,11,2,35-44,1,Female,3,HIS,0,2,1,3,35,-0.16216374361906738,0.024434044217294205,-0.1577974618558687,-0.1869521104306691,-0.1410867163061845
Female,HIS,35-44,11,4706043,added_sugar,tsp eq/day,FL,mrh-eq,11,2,35-44,1,Female,3,HIS,0,2,1,3,35,-0.004692669035108414,5.021141606077452e-4,-0.004442050210662467,-0.005229324667338598,-0.004369039403657284
