Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,CED,MJ,10417784.5768239,10763772.7077939,10751639.2276044
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,Food_price,USD,22384895.7289521,22703589.4262702,23231314.1776538
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,FL,mrh-eq,479348.2567422,495268.033755338,494709.742063456
oil,Female,NHW,20-34,1,18192633,g/day,CED,MJ,5911243.08498776,5883043.15404982,5893768.94118738
oil,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,4082248.13706998,4070775.6030866,4160064.6511448
oil,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,315133.83197145,313630.46759106,314202.269216027
sat_fat,Female,NHW,20-34,1,18192633,g/day,CED,MJ,32279819.2377055,31803239.4210448,33291830.8335389
sat_fat,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,3861918.93486423,3743155.60750681,3951937.68867302
sat_fat,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,841350.583262369,828928.868513414,867727.947402878
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,CED,MJ,3355232.94296436,3219671.50235967,3289640.26249558
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,Food_price,USD,6171575.03370268,5990453.16700625,6021534.22800892
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,FL,mrh-eq,131887.16636217,126558.530594326,129308.855732719
oil,Female,NHB,20-34,2,4596338,g/day,CED,MJ,1643566.72094665,1588315.58885353,1586124.50767779
oil,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,1234486.50107467,1186063.2719403,1178550.33298602
oil,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,84668.8974023476,81822.6165821436,81709.7422917937
sat_fat,Female,NHB,20-34,2,4596338,g/day,CED,MJ,7222619.91052344,7173213.65986732,7506092.18108151
sat_fat,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,811639.905577132,803823.994551512,826552.076592941
sat_fat,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,189240.215247021,187945.719672764,196667.485982784
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,CED,MJ,3972581.76707012,4147689.98591112,4051538.75491545
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,Food_price,USD,6116332.70845783,6350771.5722943,6166982.13428793
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,FL,mrh-eq,172197.705687262,179788.042475633,175620.218539646
oil,Female,HIS,20-34,3,6549965,g/day,CED,MJ,2065231.77085138,2081810.01197381,2069282.66553415
oil,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,1371940.46315478,1391439.45175961,1400180.28387594
oil,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,106601.939522466,107457.66558792,106811.036262154
sat_fat,Female,HIS,20-34,3,6549965,g/day,CED,MJ,10954998.2759741,11270365.8652233,11320940.2701952
sat_fat,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,1650836.043293,1688939.28422984,1690098.79639046
sat_fat,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,299895.642653065,308528.904244467,309913.39042135
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,CED,MJ,2256559.5468779,2000671.83845073,1980540.51911828
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,Food_price,USD,4434509.76806182,3797616.89256841,3908846.83541273
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,FL,mrh-eq,102589.280683434,90955.9355853193,90040.7115344485
oil,Female,OTH,20-34,4,3878604,g/day,CED,MJ,1269901.03000676,1326045.45429883,1308115.58741435
oil,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,988665.923471219,1078566.45721741,1012206.42207531
oil,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,64997.0716672056,67870.6996769458,66952.9991512068
sat_fat,Female,OTH,20-34,4,3878604,g/day,CED,MJ,6023249.78401506,5825411.11482804,5647140.39801356
sat_fat,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,763677.842209491,748865.649027716,724762.744546814
sat_fat,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,159528.782496041,154288.926412071,149567.337331773
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,CED,MJ,10517093.3624703,9751103.79860577,9991895.37296225
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,Food_price,USD,20435907.3366904,19225402.4490979,19843366.5342163
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,FL,mrh-eq,431435.080062319,400012.446695567,409890.264508949
oil,Male,NHW,20-34,5,19295314,g/day,CED,MJ,5462757.89380209,5542092.37296756,5553162.49153062
oil,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,3858882.13783719,3945202.51914251,3982584.80691477
oil,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,280120.241868992,284188.368980682,284756.024430491
