Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
sat_fat,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,94699.6438871965,94699.6438871965,94699.6438871965
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,CED,MJ,1935069.18596469,1935069.18596469,1935069.18596469
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,Food_price,USD,3518791.17083161,3518791.17083161,3518791.17083161
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,FL,mrh-eq,70777.5537677418,70777.5537677418,70777.5537677418
oil,Male,HIS,20-34,7,6886181,g/day,CED,MJ,2049093.27888511,2049093.27888511,2049093.27888511
oil,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,1049588.98946026,1049588.98946026,1049588.98946026
oil,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,107352.714910425,107352.714910425,107352.714910425
sat_fat,Male,HIS,20-34,7,6886181,g/day,CED,MJ,6195827.561552,6195827.561552,6195827.561552
sat_fat,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,664052.932590406,664052.932590406,664052.932590406
sat_fat,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,170815.265343167,170815.265343167,170815.265343167
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,CED,MJ,1071552.35156551,1071552.35156551,1071552.35156551
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,Food_price,USD,1933271.00993352,1933271.00993352,1933271.00993352
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,FL,mrh-eq,45820.6706217841,45820.6706217841,45820.6706217841
oil,Male,OTH,20-34,8,3785306,g/day,CED,MJ,1120174.74347417,1120174.74347417,1120174.74347417
oil,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,876160.178115848,876160.178115848,876160.178115848
oil,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,59345.8417765706,59345.8417765706,59345.8417765706
sat_fat,Male,OTH,20-34,8,3785306,g/day,CED,MJ,3238550.09155805,3238550.09155805,3238550.09155805
sat_fat,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,463525.758757731,463525.758757731,463525.758757731
sat_fat,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,88234.0056252353,88234.0056252353,88234.0056252353
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,CED,MJ,2918800.56051903,2918800.56051903,2918800.56051903
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,Food_price,USD,5056138.04585401,5056138.04585401,5056138.04585401
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,FL,mrh-eq,136850.720138546,136850.720138546,136850.720138546
oil,Female,NHW,35-44,9,10789518,g/day,CED,MJ,3234972.22141396,3234972.22141396,3234972.22141396
oil,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,1742296.62859269,1742296.62859269,1742296.62859269
oil,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,154649.516008626,154649.516008626,154649.516008626
sat_fat,Female,NHW,35-44,9,10789518,g/day,CED,MJ,9626139.17469036,9626139.17469036,9626139.17469036
sat_fat,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,1138100.81121693,1138100.81121693,1138100.81121693
sat_fat,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,255271.233462386,255271.233462386,255271.233462386
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,CED,MJ,787234.558339336,787234.558339336,787234.558339336
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,Food_price,USD,1281302.43790741,1281302.43790741,1281302.43790741
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,FL,mrh-eq,32883.0048312486,32883.0048312486,32883.0048312486
oil,Female,NHB,35-44,10,2841551,g/day,CED,MJ,852885.927083216,852885.927083216,852885.927083216
oil,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,0,0,0
oil,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,42629.4679142441,42629.4679142441,42629.4679142441
sat_fat,Female,NHB,35-44,10,2841551,g/day,CED,MJ,2394470.76187439,2394470.76187439,2394470.76187439
sat_fat,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,273403.36413374,273403.36413374,273403.36413374
sat_fat,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,63401.4104439247,63401.4104439247,63401.4104439247
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,CED,MJ,1253306.60117099,1253306.60117099,1253306.60117099
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,Food_price,USD,2167018.0435482,2167018.0435482,2167018.0435482
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,FL,mrh-eq,62619.6494671139,62619.6494671139,62619.6494671139
oil,Female,HIS,35-44,11,4706043,g/day,CED,MJ,1403813.42386344,1403813.42386344,1403813.42386344
oil,Female,HIS,35-44,11,4706043,g/day,Food_price,USD,886668.075195757,886668.075195757,886668.075195757
oil,Female,HIS,35-44,11,4706043,g/day,FL,mrh-eq,71436.4545641656,71436.4545641656,71436.4545641656
sat_fat,Female,HIS,35-44,11,4706043,g/day,CED,MJ,4140253.04356234,4140253.04356234,4140253.04356234
sat_fat,Female,HIS,35-44,11,4706043,g/day,Food_price,USD,448402.141227478,448402.141227478,448402.141227478
sat_fat,Female,HIS,35-44,11,4706043,g/day,FL,mrh-eq,110802.417603971,110802.417603971,110802.417603971
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,CED,MJ,723647.237841385,723647.237841385,723647.237841385
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,Food_price,USD,1050851.46073426,1050851.46073426,1050851.46073426
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,FL,mrh-eq,36621.2444099822,36621.2444099822,36621.2444099822
oil,Female,OTH,35-44,12,2705155,g/day,CED,MJ,835793.192767203,835793.192767203,835793.192767203
oil,Female,OTH,35-44,12,2705155,g/day,Food_price,USD,668113.621414419,668113.621414419,668113.621414419
oil,Female,OTH,35-44,12,2705155,g/day,FL,mrh-eq,47677.8875101856,47677.8875101856,47677.8875101856
sat_fat,Female,OTH,35-44,12,2705155,g/day,CED,MJ,2433532.16306574,2433532.16306574,2433532.16306574
sat_fat,Female,OTH,35-44,12,2705155,g/day,Food_price,USD,304151.316433508,304151.316433508,304151.316433508
sat_fat,Female,OTH,35-44,12,2705155,g/day,FL,mrh-eq,65430.510625786,65430.510625786,65430.510625786
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,CED,MJ,2947710.59603903,2947710.59603903,2947710.59603903
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,Food_price,USD,5722994.43651445,5722994.43651445,5722994.43651445
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,FL,mrh-eq,126528.525340437,126528.525340437,126528.525340437
oil,Male,NHW,35-44,13,10698668,g/day,CED,MJ,3213505.51378187,3213505.51378187,3213505.51378187
oil,Male,NHW,35-44,13,10698668,g/day,Food_price,USD,1918789.07190646,1918789.07190646,1918789.07190646
oil,Male,NHW,35-44,13,10698668,g/day,FL,mrh-eq,153164.163869261,153164.163869261,153164.163869261
sat_fat,Male,NHW,35-44,13,10698668,g/day,CED,MJ,9960081.89388155,9960081.89388155,9960081.89388155
sat_fat,Male,NHW,35-44,13,10698668,g/day,Food_price,USD,1031185.12361982,1031185.12361982,1031185.12361982
sat_fat,Male,NHW,35-44,13,10698668,g/day,FL,mrh-eq,276796.89291588,276796.89291588,276796.89291588
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,CED,MJ,671939.841800427,671939.841800427,671939.841800427
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,Food_price,USD,1116166.26584145,1116166.26584145,1116166.26584145
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,FL,mrh-eq,25695.5540350024,25695.5540350024,25695.5540350024
oil,Male,NHB,35-44,14,2373836,g/day,CED,MJ,712615.211330564,712615.211330564,712615.211330564
oil,Male,NHB,35-44,14,2373836,g/day,Food_price,USD,396973.389104947,396973.389104947,396973.389104947
oil,Male,NHB,35-44,14,2373836,g/day,FL,mrh-eq,36289.194629293,36289.194629293,36289.194629293
sat_fat,Male,NHB,35-44,14,2373836,g/day,CED,MJ,2014031.25192958,2014031.25192958,2014031.25192958
sat_fat,Male,NHB,35-44,14,2373836,g/day,Food_price,USD,198979.610103034,198979.610103034,198979.610103034
sat_fat,Male,NHB,35-44,14,2373836,g/day,FL,mrh-eq,55129.6628101974,55129.6628101974,55129.6628101974
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,CED,MJ,1228532.3212037,1228532.3212037,1228532.3212037
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,Food_price,USD,2066423.15378414,2066423.15378414,2066423.15378414
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,FL,mrh-eq,51861.9408202786,51861.9408202786,51861.9408202786
oil,Male,HIS,35-44,15,4477083,g/day,CED,MJ,1332979.99394341,1332979.99394341,1332979.99394341
oil,Male,HIS,35-44,15,4477083,g/day,Food_price,USD,1023207.78009297,1023207.78009297,1023207.78009297
oil,Male,HIS,35-44,15,4477083,g/day,FL,mrh-eq,68063.6322058132,68063.6322058132,68063.6322058132
sat_fat,Male,HIS,35-44,15,4477083,g/day,CED,MJ,4038495.96755838,4038495.96755838,4038495.96755838
sat_fat,Male,HIS,35-44,15,4477083,g/day,Food_price,USD,382248.038150755,382248.038150755,382248.038150755
sat_fat,Male,HIS,35-44,15,4477083,g/day,FL,mrh-eq,112766.518504026,112766.518504026,112766.518504026
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,CED,MJ,612305.548524982,612305.548524982,612305.548524982
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,Food_price,USD,1021409.64729369,1021409.64729369,1021409.64729369
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,FL,mrh-eq,31729.0170625616,31729.0170625616,31729.0170625616
oil,Male,OTH,35-44,16,2268050,g/day,CED,MJ,680521.679440797,680521.679440797,680521.679440797
oil,Male,OTH,35-44,16,2268050,g/day,Food_price,USD,349485.413709309,349485.413709309,349485.413709309
oil,Male,OTH,35-44,16,2268050,g/day,FL,mrh-eq,37491.0210082501,37491.0210082501,37491.0210082501
sat_fat,Male,OTH,35-44,16,2268050,g/day,CED,MJ,1962396.80706169,1962396.80706169,1962396.80706169
sat_fat,Male,OTH,35-44,16,2268050,g/day,Food_price,USD,272073.433681055,272073.433681055,272073.433681055
sat_fat,Male,OTH,35-44,16,2268050,g/day,FL,mrh-eq,53444.7363141432,53444.7363141432,53444.7363141432
added_sugar,Female,NHW,45-54,17,12961330,tsp eq/day,CED,MJ,3513125.82142487,3513125.82142487,3513125.82142487
added_sugar,Female,NHW,45-54,17,12961330,tsp eq/day,Food_price,USD,5674909.80674828,5674909.80674828,5674909.80674828
added_sugar,Female,NHW,45-54,17,12961330,tsp eq/day,FL,mrh-eq,155425.354351427,155425.354351427,155425.354351427
oil,Female,NHW,45-54,17,12961330,g/day,CED,MJ,3900033.94777533,3900033.94777533,3900033.94777533
oil,Female,NHW,45-54,17,12961330,g/day,Food_price,USD,3211003.73619807,3211003.73619807,3211003.73619807
oil,Female,NHW,45-54,17,12961330,g/day,FL,mrh-eq,217813.319962775,217813.319962775,217813.319962775
sat_fat,Female,NHW,45-54,17,12961330,g/day,CED,MJ,11790461.4422075,11790461.4422075,11790461.4422075
sat_fat,Female,NHW,45-54,17,12961330,g/day,Food_price,USD,1255346.16150303,1255346.16150303,1255346.16150303
sat_fat,Female,NHW,45-54,17,12961330,g/day,FL,mrh-eq,317130.217517838,317130.217517838,317130.217517838
added_sugar,Female,NHB,45-54,18,2294986,tsp eq/day,CED,MJ,634851.908852256,634851.908852256,634851.908852256
added_sugar,Female,NHB,45-54,18,2294986,tsp eq/day,Food_price,USD,1019749.82864087,1019749.82864087,1019749.82864087
added_sugar,Female,NHB,45-54,18,2294986,tsp eq/day,FL,mrh-eq,26908.315488833,26908.315488833,26908.315488833
oil,Female,NHB,45-54,18,2294986,g/day,CED,MJ,693579.565308171,693579.565308171,693579.565308171
oil,Female,NHB,45-54,18,2294986,g/day,Food_price,USD,427696.656037875,427696.656037875,427696.656037875
oil,Female,NHB,45-54,18,2294986,g/day,FL,mrh-eq,33485.2549698216,33485.2549698216,33485.2549698216
sat_fat,Female,NHB,45-54,18,2294986,g/day,CED,MJ,1860766.13216196,1860766.13216196,1860766.13216196
sat_fat,Female,NHB,45-54,18,2294986,g/day,Food_price,USD,249673.155308299,249673.155308299,249673.155308299
sat_fat,Female,NHB,45-54,18,2294986,g/day,FL,mrh-eq,48363.5410840298,48363.5410840298,48363.5410840298
added_sugar,Female,HIS,45-54,19,2981376,tsp eq/day,CED,MJ,809221.218961603,809221.218961603,809221.218961603
added_sugar,Female,HIS,45-54,19,2981376,tsp eq/day,Food_price,USD,1307755.36149338,1307755.36149338,1307755.36149338
added_sugar,Female,HIS,45-54,19,2981376,tsp eq/day,FL,mrh-eq,38431.3537606554,38431.3537606554,38431.3537606554
oil,Female,HIS,45-54,19,2981376,g/day,CED,MJ,890615.066836209,890615.066836209,890615.066836209
oil,Female,HIS,45-54,19,2981376,g/day,Food_price,USD,610324.783993153,610324.783993153,610324.783993153
oil,Female,HIS,45-54,19,2981376,g/day,FL,mrh-eq,43845.1501023636,43845.1501023636,43845.1501023636
sat_fat,Female,HIS,45-54,19,2981376,g/day,CED,MJ,2611201.83606401,2611201.83606401,2611201.83606401
sat_fat,Female,HIS,45-54,19,2981376,g/day,Food_price,USD,325229.626964223,325229.626964223,325229.626964223
sat_fat,Female,HIS,45-54,19,2981376,g/day,FL,mrh-eq,69540.0466076301,69540.0466076301,69540.0466076301
added_sugar,Female,OTH,45-54,20,1908325,tsp eq/day,CED,MJ,503793.016721028,503793.016721028,503793.016721028
added_sugar,Female,OTH,45-54,20,1908325,tsp eq/day,Food_price,USD,796729.440397048,796729.440397048,796729.440397048
added_sugar,Female,OTH,45-54,20,1908325,tsp eq/day,FL,mrh-eq,25252.536780963,25252.536780963,25252.536780963
oil,Female,OTH,45-54,20,1908325,g/day,CED,MJ,575163.485702448,575163.485702448,575163.485702448
oil,Female,OTH,45-54,20,1908325,g/day,Food_price,USD,319356.550365221,319356.550365221,319356.550365221
