Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
sat_fat,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,42088.556923666,40202.8531964266,40300.5422250389
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,CED,MJ,1314101.03006175,1234721.97379869,1325549.23486396
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,Food_price,USD,2403347.48262526,2289718.47506532,2420330.46699823
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,FL,mrh-eq,48064.8738484629,45161.48648462,48483.6061278096
oil,Male,HIS,20-34,7,6886181,g/day,CED,MJ,305779.283711547,279856.971598595,292964.286975083
oil,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,154816.211930814,145561.418129776,149974.555348473
oil,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,16019.8838227901,14661.8048076684,15348.5016532209
sat_fat,Male,HIS,20-34,7,6886181,g/day,CED,MJ,2656781.35631086,2726597.1300827,2621587.37697772
sat_fat,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,288987.067599278,293759.23012048,279361.531162349
sat_fat,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,73245.875200462,75170.654385083,72275.5982102537
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,CED,MJ,664235.423708058,607903.652294506,699915.883691855
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,Food_price,USD,1220258.43926473,1101238.33649177,1251761.38098891
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,FL,mrh-eq,28403.3836709727,25994.5797150007,29929.1165034962
oil,Male,OTH,20-34,8,3785306,g/day,CED,MJ,172475.980939404,169670.259757991,169601.716687989
oil,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,135672.609606945,133246.741137844,134449.777577628
oil,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,9137.62101379205,8988.976450726,8985.34510105407
sat_fat,Male,OTH,20-34,8,3785306,g/day,CED,MJ,1351275.60675262,1339706.63066392,1339969.67144288
sat_fat,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,189546.044564574,193112.273489213,189045.133375248
sat_fat,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,36815.3822286854,36500.1865168917,36507.3530392287
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,CED,MJ,2381891.54452964,2153208.01561559,2279393.96916169
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,Food_price,USD,4081658.95967053,3773531.04448144,3975167.04923373
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,FL,mrh-eq,111677.233987796,100955.190817383,106871.538391018
oil,Female,NHW,35-44,9,10789518,g/day,CED,MJ,607336.817846129,630538.648929768,608575.118486707
oil,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,325666.655248635,338430.366241749,330527.198422278
oil,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,29034.0499100389,30143.2254151166,29093.2475110172
sat_fat,Female,NHW,35-44,9,10789518,g/day,CED,MJ,4398572.61455282,4474033.70506925,4423835.49223784
sat_fat,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,521395.217006779,530230.806745304,517889.687828422
sat_fat,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,116643.758875103,118644.877423773,117313.693708834
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,CED,MJ,682644.757839137,728293.047189768,697703.907467498
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,Food_price,USD,1102822.78567129,1210156.3522165,1116371.48779912
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,FL,mrh-eq,28514.259990572,30421.0016387301,29143.2848278815
oil,Female,NHB,35-44,10,2841551,g/day,CED,MJ,164930.729351318,161687.058053373,157014.188292281
oil,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,0,0,0
oil,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,8243.66894996132,8081.5417801615,7847.9795355256
