age_gp,sex_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,HIS,CED,MJ,-4355751.134480858,-4203036.131464555,-4074793.649390648,-4211622.980918027,148059.2297336405,0,0,0,0,0,-4355751.134480858,-4203036.131464555,-4074793.649390648,-4211622.980918027,148059.2297336405,-113542259.031893,-109837906.75182495,-103537798.834419,-108927115.30012743,5324256.0581018515,-3201652.969707741,-3081032.471386685,-2995895.1268668557,-3093482.7007906237,108829.04154663788,-1154098.1647731182,-1122003.6600778694,-1078898.5225237922,-1118140.2801274033,39719.925084049784,9731929.168201571,9860171.65027548,10012886.653291784,9868758.499728953,148059.22973364097,5657135.518810924,5657135.518810924,5657135.518810924,5657135.518810924,0,7288339.543950022,7373476.8884698525,7494097.386790907,7385927.117873791,108829.04154663756,4292444.417083167,4292444.417083167,4292444.417083167,4292444.417083167,0,2443589.62425155,2486694.7618056275,2518789.2665008763,2482831.3818551614,39719.9250840499,1364691.101727758,1364691.101727758,1364691.101727758,1364691.101727758,0,-3201652.969707741,-3081032.471386685,-2995895.1268668557,-3093482.7007906237,108829.04154663788,-1154098.1647731182,-1122003.6600778694,-1078898.5225237922,-1118140.2801274033,39719.925084049784,0,0,0,0,0,0,0,0,0,0,2443589.62425155,2486694.7618056275,2518789.2665008763,2482831.3818551614,39719.9250840499,1364691.101727758,1364691.101727758,1364691.101727758,1364691.101727758,0
20-34,Female,HIS,FL,mrh-eq,-141537.20884155147,-137399.75854331115,-131411.13672317477,-136750.2246759792,5359.115133847878,0,0,0,0,0,-141537.20884155147,-137399.75854331115,-131411.13672317477,-136750.2246759792,5359.115133847878,-113542259.031893,-109837906.75182495,-103537798.834419,-108927115.30012743,5324256.0581018515,-102599.06031079731,-99263.39927762537,-95236.41837272805,-99020.83090158137,3880.7645543484537,-38938.14853075417,-38136.359265685795,-36174.71835044672,-37729.39377439783,1496.53014906008,328308.6129547291,334297.2347748655,338434.6850731058,333647.7009075335,5359.115133847866,196897.47623155432,196897.47623155432,196897.47623155432,196897.47623155432,0,244867.97380331307,248894.95470821043,252230.6157413824,248652.3863321664,3880.7645543484678,149631.55543058505,149631.55543058505,149631.55543058505,149631.55543058505,0,83440.63915141596,85402.28006665505,86204.06933172341,84995.31457536707,1496.530149060082,47265.920800969245,47265.920800969245,47265.920800969245,47265.920800969245,0,-102599.06031079731,-99263.39927762537,-95236.41837272805,-99020.83090158137,3880.7645543484537,-38938.14853075417,-38136.359265685795,-36174.71835044672,-37729.39377439783,1496.53014906008,0,0,0,0,0,0,0,0,0,0,83440.63915141596,85402.28006665505,86204.06933172341,84995.31457536707,1496.530149060082,47265.920800969245,47265.920800969245,47265.920800969245,47265.920800969245,0
20-34,Female,HIS,Food_price,USD,-1955123.1560046722,-1926225.2825011613,-1789706.1873179937,-1888463.4503328607,93000.98190701299,0,0,0,0,0,-1955123.1560046722,-1926225.2825011613,-1789706.1873179937,-1888463.4503328607,93000.98190701299,-113542259.031893,-109837906.75182495,-103537798.834419,-108927115.30012743,5324256.0581018515,-1372000.233750326,-1346284.9006548217,-1253824.087675144,-1322865.434028796,65421.25981852899,-583122.922254346,-579940.3818463394,-535882.09964285,-565598.0163040647,27793.447732796136,4712147.102904024,4848666.198087191,4877564.071590702,4810904.365918891,93000.98190701322,2922440.915586029,2922440.915586029,2922440.915586029,2922440.9155860296,0,3465645.3158611786,3558106.1288408567,3583821.4619363607,3534686.6622148305,65421.25981852908,2211821.228186035,2211821.228186035,2211821.228186035,2211821.228186035,0,1246501.7870428446,1290560.0692463343,1293742.609654341,1276217.7037040598,27793.447732796172,710619.6873999948,710619.6873999948,710619.6873999948,710619.6873999949,0,-1372000.233750326,-1346284.9006548217,-1253824.087675144,-1322865.434028796,65421.25981852899,-583122.922254346,-579940.3818463394,-535882.09964285,-565598.0163040647,27793.447732796136,0,0,0,0,0,0,0,0,0,0,1246501.7870428446,1290560.0692463343,1293742.609654341,1276217.7037040598,27793.447732796172,710619.6873999948,710619.6873999948,710619.6873999948,710619.6873999949,0
20-34,Female,NHB,CED,MJ,-2848191.8606722075,-2820065.4528291365,-2803125.1781098223,-2823990.411819928,23961.625225623753,0,0,0,0,0,-2848191.8606722075,-2820065.4528291365,-2803125.1781098223,-2823990.411819928,23961.625225623753,-85430815.84116356,-83989640.78211199,-83784360.76826298,-84423288.1663936,944434.0268248416,-2095799.5734437597,-2074695.1213373323,-2066844.0526141291,-2079345.4312963586,15762.897899763228,-752392.2872284477,-745370.3314918044,-736281.1254956934,-744644.9805235701,8502.794721551285,5968371.012299872,5985311.287019186,6013437.694862256,5989236.2460099785,23961.625225623287,3165245.834190049,3165245.834190049,3165245.834190049,3165245.8341900497,0,4475262.541860858,4483113.610584062,4504218.062690488,4487763.920543087,15762.89789976264,2408418.489246729,2408418.489246729,2408418.489246729,2408418.489246729,0,1493108.4704390143,1502197.676435125,1509219.6321717682,1501472.3254668908,8502.794721551163,756827.3449433208,756827.3449433208,756827.3449433208,756827.3449433208,0,-2095799.5734437597,-2074695.1213373323,-2066844.0526141291,-2079345.4312963586,15762.897899763228,-752392.2872284477,-745370.3314918044,-736281.1254956934,-744644.9805235701,8502.794721551285,0,0,0,0,0,0,0,0,0,0,1493108.4704390143,1502197.676435125,1509219.6321717682,1501472.3254668908,8502.794721551163,756827.3449433208,756827.3449433208,756827.3449433208,756827.3449433208,0
20-34,Female,NHB,FL,mrh-eq,-90241.2296433519,-89175.84692096998,-88449.850965937,-89294.92999723276,948.4543520616888,0,0,0,0,0,-90241.2296433519,-89175.84692096998,-88449.850965937,-89294.92999723276,948.4543520616888,-85430815.84116356,-83989640.78211199,-83784360.76826298,-84423288.1663936,944434.0268248416,-65638.17977814266,-64833.95781507061,-64486.388218793916,-64994.186715700554,621.8848700250664,-24603.04986520923,-24341.889105899383,-23963.462747143083,-24300.743281532206,338.5055234954603,193781.3666504851,194507.36260551808,195572.7453279,194626.4456817809,948.4543520616888,105331.5156845481,105331.5156845481,105331.5156845481,105331.51568454811,0,144783.08917873495,145130.65877501163,145934.8807380837,145290.8876756416,621.8848700250702,80296.70095994102,80296.70095994102,80296.70095994102,80296.70095994102,0,48998.27747175015,49376.70383050645,49637.8645898163,49335.558006139276,338.50552349545984,25034.81472460707,25034.81472460707,25034.81472460707,25034.81472460707,0,-65638.17977814266,-64833.95781507061,-64486.388218793916,-64994.186715700554,621.8848700250664,-24603.04986520923,-24341.889105899383,-23963.462747143083,-24300.743281532206,338.5055234954603,0,0,0,0,0,0,0,0,0,0,48998.27747175015,49376.70383050645,49637.8645898163,49335.558006139276,338.50552349545984,25034.81472460707,25034.81472460707,25034.81472460707,25034.81472460707,0
20-34,Female,NHB,Food_price,USD,-1417259.6127521088,-1395044.2521358987,-1371625.8277995395,-1394622.124514794,24020.563577303084,0,0,0,0,0,-1417259.6127521088,-1395044.2521358987,-1371625.8277995395,-1394622.124514794,24020.563577303084,-85430815.84116356,-83989640.78211199,-83784360.76826298,-84423288.1663936,944434.0268248416,-993735.8646948,-976996.1606030244,-964211.046585267,-978383.7360675922,15585.772082238882,-423523.74805730896,-418048.0915328744,-407414.7812142728,-416238.38844720175,8622.041322987829,3103758.1598118236,3127176.584148183,3149391.944764393,3126754.456527078,24020.563577302968,1732132.332012284,1732132.332012284,1732132.332012284,1732132.3320122838,0,2277782.67792375,2290567.7919415073,2307307.496033283,2291955.3674060754,15585.772082238771,1313571.631338483,1313571.631338483,1313571.631338483,1313571.631338483,0,825975.4818880743,836608.7922066759,842084.4487311104,834799.0891210033,8622.041322987829,418560.7006738015,418560.7006738015,418560.7006738015,418560.70067380153,0,-993735.8646948,-976996.1606030244,-964211.046585267,-978383.7360675922,15585.772082238882,-423523.74805730896,-418048.0915328744,-407414.7812142728,-416238.38844720175,8622.041322987829,0,0,0,0,0,0,0,0,0,0,825975.4818880743,836608.7922066759,842084.4487311104,834799.0891210033,8622.041322987829,418560.7006738015,418560.7006738015,418560.7006738015,418560.70067380153,0
20-34,Female,NHW,CED,MJ,-13255716.928780373,-12681127.337997708,-12617698.195820795,-12860481.881368147,369982.744605357,0,0,0,0,0,-13255716.928780373,-12681127.337997708,-12617698.195820795,-12860481.881368147,369982.744605357,-345641921.1832176,-337026496.6467154,-327718633.64017534,-336783535.78003544,9435655.54563407,-9981240.970806004,-9553828.253172712,-9526961.250606377,-9694370.609336557,268291.5171467322,-3274475.9579743687,-3127299.084824995,-3090736.9452144206,-3166111.2720315917,102379.67002004271,28629911.295265872,28693340.437442783,29267930.028225448,28872694.980813224,369982.744605357,16012213.099445077,16012213.099445077,16012213.099445077,16012213.099445077,0,21884600.665819455,21911467.668385793,22338880.38601908,22052010.024549637,268291.51714673004,12357639.415213078,12357639.415213078,12357639.415213078,12357639.415213078,0,6745310.629446417,6781872.769056993,6929049.642206365,6820684.956263588,102379.67002004254,3654573.684231997,3654573.684231997,3654573.684231997,3654573.684231997,0,-9981240.970806004,-9553828.253172712,-9526961.250606377,-9694370.609336557,268291.5171467322,-3274475.9579743687,-3127299.084824995,-3090736.9452144206,-3166111.2720315917,102379.67002004271,0,0,0,0,0,0,0,0,0,0,6745310.629446417,6781872.769056993,6929049.642206365,6820684.956263588,102379.67002004254,3654573.684231997,3654573.684231997,3654573.684231997,3654573.684231997,0
20-34,Female,NHW,FL,mrh-eq,-418088.1844276575,-398330.82575133396,-398259.74432593404,-405238.29145341244,12028.937955924197,0,0,0,0,0,-418088.1844276575,-398330.82575133396,-398259.74432593404,-405238.29145341244,12028.937955924197,-345641921.1832176,-337026496.6467154,-327718633.64017534,-336783535.78003544,9435655.54563407,-309274.7963519071,-295873.429987222,-294825.1058494167,-300207.8307685833,8481.027215657316,-108868.5630303718,-103560.8948565387,-102441.48929333335,-105030.46068482914,3614.163353535104,957605.5559789354,957676.6374043355,977433.9960806591,964584.103106414,12028.93795592423,559345.8116530015,559345.8116530015,559345.8116530015,559345.8116530015,0,725787.2032381142,726835.5273759196,740236.8937406047,731169.9281572808,8481.027215657368,430962.09738869756,430962.09738869756,430962.09738869756,430962.09738869756,0,230825.20355763726,231944.6091208426,237252.27729467576,233414.17494913307,3614.163353535115,128383.71426430393,128383.71426430393,128383.71426430393,128383.71426430393,0,-309274.7963519071,-295873.429987222,-294825.1058494167,-300207.8307685833,8481.027215657316,-108868.5630303718,-103560.8948565387,-102441.48929333335,-105030.46068482914,3614.163353535104,0,0,0,0,0,0,0,0,0,0,230825.20355763726,231944.6091208426,237252.27729467576,233414.17494913307,3614.163353535115,128383.71426430393,128383.71426430393,128383.71426430393,128383.71426430393,0
20-34,Female,NHW,Food_price,USD,-6394186.834392468,-6033915.274745413,-6015981.4580649985,-6154033.781049497,224598.34886088228,0,0,0,0,0,-6394186.834392468,-6033915.274745413,-6015981.4580649985,-6154033.781049497,224598.34886088228,-345641921.1832176,-337026496.6467154,-327718633.64017534,-336783535.78003544,9435655.54563407,-4470407.16122386,-4233985.423133881,-4219007.822810214,-4311685.120595746,148442.94606957215,-1924567.967922485,-1815695.7466890772,-1782784.3296849942,-1842348.6604537526,78111.27086812681,15002889.89602409,15020823.712704506,15381095.272351561,15140942.21900859,224598.34886088368,8986908.437959092,8986908.437959092,8986908.437959092,8986908.437959092,0,10978082.561036667,10993060.161360335,11229481.899450315,11070759.858822199,148442.94606957352,6759074.738226454,6759074.738226454,6759074.738226454,6759074.738226454,0,4010618.029417631,4043529.4464217145,4152401.667655122,4070182.360186389,78111.27086812677,2227833.699732637,2227833.699732637,2227833.699732637,2227833.699732637,0,-4470407.16122386,-4233985.423133881,-4219007.822810214,-4311685.120595746,148442.94606957215,-1924567.967922485,-1815695.7466890772,-1782784.3296849942,-1842348.6604537526,78111.27086812681,0,0,0,0,0,0,0,0,0,0,4010618.029417631,4043529.4464217145,4152401.667655122,4070182.360186389,78111.27086812677,2227833.699732637,2227833.699732637,2227833.699732637,2227833.699732637,0
20-34,Female,OTH,CED,MJ,-2149312.0956913102,-2030761.151036252,-1959478.4997221704,-2047346.5171208053,100939.57218448984,0,0,0,0,0,-2149312.0956913102,-2030761.151036252,-1959478.4997221704,-2047346.5171208053,100939.57218448984,-63617952.599593945,-62754291.66651905,-51275979.48478852,-59029852.631903045,7252494.856694685,-1612910.3857222055,-1522829.4654490892,-1473246.8386606327,-1537039.3929875663,74530.12609735566,-536401.7099691044,-507931.68558716273,-486231.661061538,-510307.1241332388,26485.303718089755,5233122.565814786,5304405.217128866,5422956.161783924,5320990.58321342,100939.5721844894,3273644.0660926146,3273644.0660926146,3273644.0660926146,3273644.0660926146,0,3987737.3376213564,4037319.964409813,4127400.884682929,4051529.89194829,74530.12609735556,2514490.4989607236,2514490.4989607236,2514490.4989607236,2514490.4989607236,0,1245385.2281934293,1267085.252719054,1295555.2771009956,1269460.6912651302,26485.303718089723,759153.5671318911,759153.5671318911,759153.5671318911,759153.5671318913,0,-1612910.3857222055,-1522829.4654490892,-1473246.8386606327,-1537039.3929875663,74530.12609735566,-536401.7099691044,-507931.68558716273,-486231.661061538,-510307.1241332388,26485.303718089755,0,0,0,0,0,0,0,0,0,0,1245385.2281934293,1267085.252719054,1295555.2771009956,1269460.6912651302,26485.303718089723,759153.5671318911,759153.5671318911,759153.5671318911,759153.5671318913,0
