age_gp,sex_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,added_sugar,CED,MJ,-6222339.159284558,-5994043.726149284,-5820094.566381698,-6013112.593997595,212350.79058705465,0,0,0,0,0,-6222339.159284558,-5994043.726149284,-5820094.566381698,-6013112.593997595,212350.79058705465,-246443250.97441578,-237304953.43256092,-230356666.81552067,-238073378.3184608,8492736.114931552,-4121650.755272095,-3970300.514291849,-3855057.0897253538,-3982969.572682639,140740.76866036313,-2100688.404012462,-2023743.211857435,-1965037.4766563436,-2030143.0213149562,71610.02941492888,10970117.957117243,11144067.116884826,11372362.550020099,11163135.984733138,212350.79058705378,5150023.390735544,5150023.390735544,5150023.390735544,5150023.390735544,0,7266594.583347428,7381838.007913923,7533188.248894171,7394507.0663047135,140740.7686603636,3411537.493622074,3411537.493622074,3411537.493622074,3411537.493622074,0,3703523.3737698128,3762229.1089709043,3839174.3011259316,3768628.918428426,71610.0294149289,1738485.8971134692,1738485.8971134692,1738485.8971134692,1738485.8971134692,0,-4121650.755272095,-3970300.514291849,-3855057.0897253538,-3982969.572682639,140740.76866036313,-2100688.404012462,-2023743.211857435,-1965037.4766563436,-2030143.0213149562,71610.02941492888,0,0,0,0,0,0,0,0,0,0,3703523.3737698128,3762229.1089709043,3839174.3011259316,3768628.918428426,71610.0294149289,1738485.8971134692,1738485.8971134692,1738485.8971134692,1738485.8971134692,0
20-34,Female,added_sugar,FL,mrh-eq,-275974.7315585753,-265117.64593698917,-257488.8214973582,-266250.3691587278,9778.754188756933,0,0,0,0,0,-275974.7315585753,-265117.64593698917,-257488.8214973582,-266250.3691587278,9778.754188756933,-246443250.97441578,-237304953.43256092,-230356666.81552067,-238073378.3184608,8492736.114931552,-182811.65920775037,-175614.47502598536,-170560.194075704,-176366.37089668136,6480.934663968507,-93163.0723508249,-89503.17091100379,-86928.62742165421,-89883.99826204643,3297.819764481728,486803.98648581,494432.810925441,505289.8965470271,495565.5341471797,9778.754188756906,229315.1649884518,229315.1649884518,229315.1649884518,229315.16498845178,0,322470.92643827247,327525.2073885538,334722.39157031884,328277.1032592499,6480.934663968509,151910.7323625685,151910.7323625685,151910.7323625685,151910.7323625685,0,164333.06004753755,166907.6035368871,170567.50497670824,167288.43088792978,3297.819764481729,77404.43262588335,77404.43262588335,77404.43262588335,77404.43262588335,0,-182811.65920775037,-175614.47502598536,-170560.194075704,-176366.37089668136,6480.934663968507,-93163.0723508249,-89503.17091100379,-86928.62742165421,-89883.99826204643,3297.819764481728,0,0,0,0,0,0,0,0,0,0,164333.06004753755,166907.6035368871,170567.50497670824,167288.43088792978,3297.819764481729,77404.43262588335,77404.43262588335,77404.43262588335,77404.43262588335,0
20-34,Female,added_sugar,Food_price,USD,-7375854.400790549,-7060057.696417262,-6862563.989065753,-7101567.519933675,272534.14560018125,0,0,0,0,0,-7375854.400790549,-7060057.696417262,-6862563.989065753,-7101567.519933675,272534.14560018125,-246443250.97441578,-237304953.43256092,-230356666.81552067,-238073378.3184608,8492736.114931552,-4886091.919574496,-4676761.854556577,-4545913.356784488,-4704299.2465726575,180622.6330297583,-2489762.4812160525,-2383295.8418606836,-2316650.632281266,-2397268.2733610175,91911.51702377875,12998632.604721973,13196126.312073478,13511923.016446766,13237636.135589892,272534.14560017944,6136068.6156562185,6136068.6156562185,6136068.6156562185,6136068.6156562185,0,8610899.005310558,8741747.503082648,8951077.568100564,8769284.895098729,180622.6330297577,4064985.6485260697,4064985.6485260697,4064985.6485260697,4064985.64852607,0,4387733.599411413,4454378.8089908315,4560845.4483462,4468351.240491166,91911.51702377896,2071082.9671301486,2071082.9671301486,2071082.9671301486,2071082.9671301486,0,-4886091.919574496,-4676761.854556577,-4545913.356784488,-4704299.2465726575,180622.6330297583,-2489762.4812160525,-2383295.8418606836,-2316650.632281266,-2397268.2733610175,91911.51702377875,0,0,0,0,0,0,0,0,0,0,4387733.599411413,4454378.8089908315,4560845.4483462,4468351.240491166,91911.51702377896,2071082.9671301486,2071082.9671301486,2071082.9671301486,2071082.9671301486,0
20-34,Female,oil,CED,MJ,-560613.1064730884,-459736.09094099316,-336588.35381812014,-451921.80266352725,118101.81314602212,0,0,0,0,0,-560613.1064730884,-459736.09094099316,-336588.35381812014,-451921.80266352725,118101.81314602212,-59990848.40689784,-49184224.20901148,-36063233.05015845,-48372165.62621615,12613102.804811694,-467743.6284698831,-383615.93318159133,-280862.0773207013,-377080.43824383756,98521.42191392556,-92869.47800320524,-76120.15775940186,-55726.27649741886,-74841.36441968971,19580.39769980453,5742687.90604504,5865835.643167913,5966712.658700007,5858021.354890447,118101.81314602184,5406099.55222692,5406099.55222692,5406099.55222692,5406099.55222692,0,4790701.131034398,4893454.986895289,4977582.682183581,4886919.491957535,98521.42191392575,4509839.053713699,4509839.053713699,4509839.053713699,4509839.053713699,0,951986.7750106403,972380.6562726232,989129.9765164267,971101.8629329111,19580.397699804555,896260.4985132214,896260.4985132214,896260.4985132214,896260.4985132214,0,-467743.6284698831,-383615.93318159133,-280862.0773207013,-377080.43824383756,98521.42191392556,-92869.47800320524,-76120.15775940186,-55726.27649741886,-74841.36441968971,19580.39769980453,0,0,0,0,0,0,0,0,0,0,951986.7750106403,972380.6562726232,989129.9765164267,971101.8629329111,19580.397699804555,896260.4985132214,896260.4985132214,896260.4985132214,896260.4985132214,0
20-34,Female,oil,FL,mrh-eq,-29426.617189199693,-24024.24153646519,-17649.505499503615,-23683.06245428025,6205.518081542068,0,0,0,0,0,-29426.617189199693,-24024.24153646519,-17649.505499503615,-23683.06245428025,6205.518081542068,-59990848.40689784,-49184224.20901148,-36063233.05015845,-48372165.62621615,12613102.804811694,-24551.675434164223,-20046.291710080717,-14727.271243891695,-19760.805133903345,5176.6465241840615,-4874.941755035467,-3977.9498263844716,-2922.234255611918,-3922.2573203769075,1028.8718924839088,301709.82915377634,308084.5651907379,313486.94084347243,307743.386108553,6205.518081542069,284060.3236542727,284060.3236542727,284060.3236542727,284060.3236542727,0,251692.76625380022,257011.78671998926,261517.17044407275,256726.30014381185,5176.646524184066,236965.4950099085,236965.4950099085,236965.4950099085,236965.49500990854,0,50017.06289997612,51072.77847074867,51969.77039939968,51017.085964741105,1028.8718924839131,47094.82864436421,47094.82864436421,47094.82864436421,47094.82864436421,0,-24551.675434164223,-20046.291710080717,-14727.271243891695,-19760.805133903345,5176.6465241840615,-4874.941755035467,-3977.9498263844716,-2922.234255611918,-3922.2573203769075,1028.8718924839088,0,0,0,0,0,0,0,0,0,0,50017.06289997612,51072.77847074867,51969.77039939968,51017.085964741105,1028.8718924839131,47094.82864436421,47094.82864436421,47094.82864436421,47094.82864436421,0
20-34,Female,oil,Food_price,USD,-648892.0739304833,-538251.0069584528,-398750.7713678905,-528124.982881775,131945.05745269248,0,0,0,0,0,-648892.0739304833,-538251.0069584528,-398750.7713678905,-528124.982881775,131945.05745269248,-59990848.40689784,-49184224.20901148,-36063233.05015845,-48372165.62621615,12613102.804811694,-541421.4742575731,-449154.21563473926,-332754.83638996835,-440686.8048902,110069.08622179535,-107470.59967291015,-89096.79132371346,-65995.93497792218,-87438.17799157502,21875.979687751264,6559123.408663899,6698623.644254461,6809264.711226492,6688497.620177783,131945.0574526934,6160372.637296007,6160372.637296007,6160372.637296007,6160372.637296007,0,5471987.659843294,5588387.039088065,5680654.2977109,5579919.628343525,110069.08622179569,5139232.823453326,5139232.823453326,5139232.823453326,5139232.823453326,0,1087135.7488206045,1110236.6051663957,1128610.4135155925,1108577.9918342573,21875.979687751227,1021139.8138426824,1021139.8138426824,1021139.8138426824,1021139.8138426825,0,-541421.4742575731,-449154.21563473926,-332754.83638996835,-440686.8048902,110069.08622179535,-107470.59967291015,-89096.79132371346,-65995.93497792218,-87438.17799157502,21875.979687751264,0,0,0,0,0,0,0,0,0,0,1087135.7488206045,1110236.6051663957,1128610.4135155925,1108577.9918342573,21875.979687751227,1021139.8138426824,1021139.8138426824,1021139.8138426824,1021139.8138426825,0
20-34,Female,sat_fat,CED,MJ,-15886040.165450066,-15365411.828502491,-15166820.854835305,-15478407.394565785,390980.6447911491,0,0,0,0,0,-15886040.165450066,-15365411.828502491,-15166820.854835305,-15478407.394565785,390980.6447911491,-310631438.9800473,-300567569.81574005,-296633133.28785396,-302718247.9337825,7599312.49745952,-12361290.936774228,-11956653.791429074,-11801489.492442252,-12044188.123484628,304228.3841505656,-3524749.228675841,-3408758.0370734176,-3365331.3623930523,-3434219.271081157,86753.15880135552,32718936.430411503,32917527.404078696,33438155.741026267,33030522.97014199,390980.6447911501,17552115.5755762,17552115.5755762,17552115.5755762,17552115.5755762,0,25453105.76561018,25608270.064597,26012907.209942155,25695804.396652553,304228.38415056665,13651616.273167925,13651616.273167925,13651616.273167925,13651616.273167925,0,7265830.664801328,7309257.339481695,7425248.531084118,7334718.573489434,86753.1588013559,3900499.302408276,3900499.302408276,3900499.302408276,3900499.302408276,0,-12361290.936774228,-11956653.791429074,-11801489.492442252,-12044188.123484628,304228.3841505656,-3524749.228675841,-3408758.0370734176,-3365331.3623930523,-3434219.271081157,86753.15880135552,0,0,0,0,0,0,0,0,0,0,7265830.664801328,7309257.339481695,7425248.531084118,7334718.573489434,86753.1588013559,3900499.302408276,3900499.302408276,3900499.302408276,3900499.302408276,0
20-34,Female,sat_fat,FL,mrh-eq,-418823.88558643335,-405036.40762141877,-399834.44206748274,-408048.868116534,10329.331957703344,0,0,0,0,0,-418823.88558643335,-405036.40762141877,-399834.44206748274,-408048.868116534,10329.331957703344,-310631438.9800473,-300567569.81574005,-296633133.28785396,-302718247.9337825,7599312.49745952,-325848.12805584463,-315134.7792326018,-311070.09651282657,-317467.64453206415,8036.018925286535,-92975.75753058867,-89901.62838881693,-88764.34555465612,-90581.22358446987,2293.339066332377,863085.6132119406,868287.5787658768,882075.0567308915,871300.039260992,10329.33195770347,463251.1711444579,463251.1711444579,463251.1711444579,463251.1711444578,0,671320.2544993815,675384.9372191569,686098.2860423998,677717.8025186191,8036.018925286615,360250.157986555,360250.157986555,360250.157986555,360250.157986555,0,191765.35871255904,192902.64154671985,195976.77068849167,193582.23674237286,2293.3390663324035,103001.01315790294,103001.01315790294,103001.01315790294,103001.01315790294,0,-325848.12805584463,-315134.7792326018,-311070.09651282657,-317467.64453206415,8036.018925286535,-92975.75753058867,-89901.62838881693,-88764.34555465612,-90581.22358446987,2293.339066332377,0,0,0,0,0,0,0,0,0,0,191765.35871255904,192902.64154671985,195976.77068849167,193582.23674237286,2293.3390663324035,103001.01315790294,103001.01315790294,103001.01315790294,103001.01315790294,0
20-34,Female,sat_fat,Food_price,USD,-2852079.4269023645,-2756269.9151755073,-2722161.096566963,-2777919.281181933,70901.9150058403,0,0,0,0,0,-2852079.4269023645,-2756269.9151755073,-2722161.096566963,-2777919.281181933,70901.9150058403,-310631438.9800473,-300567569.81574005,-296633133.28785396,-302718247.9337825,7599312.49745952,-2217165.4529513195,-2142804.2622068785,-2116143.6963959853,-2159541.3235870707,55109.67450935371,-634913.9739510446,-613465.6529686289,-606017.400170978,-618377.9575948621,15792.508006273601,5894855.906374751,5928964.724983295,6024774.236710152,5950614.090989721,70901.91500584023,3172694.809807787,3172694.809807787,3172694.809807787,3172694.809807787,0,4581377.169585473,4608037.735396366,4682398.926140808,4624774.796776559,55109.67450935411,2465233.4731894876,2465233.4731894876,2465233.4731894876,2465233.4731894876,0,1313478.7367892778,1320926.9895869289,1342375.3105693446,1325839.294213162,15792.508006273583,707461.3366182998,707461.3366182998,707461.3366182998,707461.3366183,0,-2217165.4529513195,-2142804.2622068785,-2116143.6963959853,-2159541.3235870707,55109.67450935371,-634913.9739510446,-613465.6529686289,-606017.400170978,-618377.9575948621,15792.508006273601,0,0,0,0,0,0,0,0,0,0,1313478.7367892778,1320926.9895869289,1342375.3105693446,1325839.294213162,15792.508006273583,707461.3366182998,707461.3366182998,707461.3366182998,707461.3366183,0
20-34,Male,added_sugar,CED,MJ,-4172167.4630685924,-4135957.5678215707,-3920804.460548761,-4073170.475882698,143034.889827564,0,0,0,0,0,-4172167.4630685924,-4135957.5678215707,-3920804.460548761,-4073170.475882698,143034.889827564,-158949127.92980957,-157550796.88498208,-149361312.34789434,-155167936.0105048,5451866.002051916,-2761255.4294159394,-2737317.635597902,-2594769.8234370984,-2695700.0853021946,94746.93291566195,-1410912.0336526528,-1398639.9322236688,-1326034.6371116627,-1377470.3905805033,48287.96698325628,8695330.100599501,8910483.20787231,8946693.103119334,8847696.115933439,143034.88982756407,4774525.64005074,4774525.64005074,4774525.64005074,4774525.64005074,0,5755058.254138985,5897606.066299789,5921543.860117827,5855988.516004082,94746.93291566211,3160288.4307018863,3160288.4307018863,3160288.4307018863,3160288.430701887,0,2940271.8464605156,3012877.141572522,3025149.243001506,2991707.5999293565,48287.9669832565,1614237.2093488532,1614237.2093488532,1614237.2093488532,1614237.209348853,0,-2761255.4294159394,-2737317.635597902,-2594769.8234370984,-2695700.0853021946,94746.93291566195,-1410912.0336526528,-1398639.9322236688,-1326034.6371116627,-1377470.3905805033,48287.96698325628,0,0,0,0,0,0,0,0,0,0,2940271.8464605156,3012877.141572522,3025149.243001506,2991707.5999293565,48287.9669832565,1614237.2093488532,1614237.2093488532,1614237.2093488532,1614237.209348853,0
