race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
HIS,added_sugar,CED,MJ,-6923281.214162885,-6780844.449104686,-6730334.595315653,-6813099.505690359,105322.68062237857,0,0,0,0,0,-6923281.214162885,-6780844.449104686,-6730334.595315653,-6813099.505690359,105322.68062237857,-273573464.9724891,-267694232.77428564,-265955641.6270245,-269147089.2833882,4202169.402800257,-4588709.006375059,-4494034.773466238,-4460915.606270419,-4515633.042137467,69812.09805402039,-2334572.2077878267,-2286809.675638449,-2269418.989045234,-2297466.4635528917,35511.400039758206,13331054.695897104,13381564.54968614,13524001.31474434,13413819.60627181,105322.68062237985,6600720.100581451,6600720.100581451,6600720.100581451,6600720.100581451,0,8835734.12879466,8868853.29599048,8963527.5288993,8890451.56466171,69812.09805401987,4374818.522524242,4374818.522524242,4374818.522524242,4374818.522524242,0,4495320.5671024425,4512711.253695659,4560473.785845037,4523368.041610102,35511.40003975878,2225901.5780572104,2225901.5780572104,2225901.5780572104,2225901.5780572104,0,-4588709.006375059,-4494034.773466238,-4460915.606270419,-4515633.042137467,69812.09805402039,-2334572.2077878267,-2286809.675638449,-2269418.989045234,-2297466.4635528917,35511.400039758206,0,0,0,0,0,0,0,0,0,0,4495320.5671024425,4512711.253695659,4560473.785845037,4523368.041610102,35511.40003975878,2225901.5780572104,2225901.5780572104,2225901.5780572104,2225901.5780572104,0
HIS,added_sugar,FL,mrh-eq,-312763.01237931213,-304503.9628655452,-303760.00830974913,-307140.8382893946,5259.9893888596725,0,0,0,0,0,-312763.01237931213,-304503.9628655452,-303760.00830974913,-307140.8382893946,5259.9893888596725,-273573464.9724891,-267694232.77428564,-265955641.6270245,-269147089.2833882,4202169.402800257,-207332.14370344632,-201847.79554735194,-201370.49966219874,-203604.6559932962,3487.137312462901,-105430.86867586589,-102656.16731819329,-102389.50864755038,-103536.18229609844,1772.8820765589626,602834.8111256592,603578.7656814553,611837.8151952222,606215.6411053046,5259.989388859643,299074.80281590996,299074.80281590996,299074.80281590996,299074.80281590996,0,399626.34255157516,400103.63843672833,405587.9865928227,401860.4988826726,3487.1373124629176,198255.8428893764,198255.8428893764,198255.8428893764,198255.84288937636,0,203208.46857408385,203475.1272447268,206249.8286023994,204355.14222263196,1772.8820765589685,100818.95992653353,100818.95992653353,100818.95992653353,100818.95992653353,0,-207332.14370344632,-201847.79554735194,-201370.49966219874,-203604.6559932962,3487.137312462901,-105430.86867586589,-102656.16731819329,-102389.50864755038,-103536.18229609844,1772.8820765589626,0,0,0,0,0,0,0,0,0,0,203208.46857408385,203475.1272447268,206249.8286023994,204355.14222263196,1772.8820765589685,100818.95992653353,100818.95992653353,100818.95992653353,100818.95992653353,0
HIS,added_sugar,Food_price,USD,-6974355.3895362625,-6871935.368359139,-6803635.243474076,-6883907.26179495,90448.90209841808,0,0,0,0,0,-6974355.3895362625,-6871935.368359139,-6803635.243474076,-6883907.26179495,90448.90209841808,-273573464.9724891,-267694232.77428564,-265955641.6270245,-269147089.2833882,4202169.402800257,-4622345.999298285,-4554130.65972833,-4509286.776622734,-4562331.170768456,59927.155282751795,-2352009.3902379763,-2317804.7086308105,-2294348.466851343,-2321576.091026494,30523.102093582318,13464657.245710172,13532957.370595237,13635377.391772361,13544929.264031047,90448.90209841938,6661022.002236099,6661022.002236099,6661022.002236099,6661022.002236099,0,8923870.2643941,8968714.147499697,9036929.487069653,8976914.658539824,59927.155282752785,4414583.487771369,4414583.487771369,4414583.487771369,4414583.487771369,0,4540786.981316073,4564243.22309554,4598447.904702705,4568014.605491224,30523.10209358191,2246438.51446473,2246438.51446473,2246438.51446473,2246438.51446473,0,-4622345.999298285,-4554130.65972833,-4509286.776622734,-4562331.170768456,59927.155282751795,-2352009.3902379763,-2317804.7086308105,-2294348.466851343,-2321576.091026494,30523.102093582318,0,0,0,0,0,0,0,0,0,0,4540786.981316073,4564243.22309554,4598447.904702705,4568014.605491224,30523.10209358191,2246438.51446473,2246438.51446473,2246438.51446473,2246438.51446473,0
HIS,oil,CED,MJ,304122.65523108805,363665.3097850684,464822.68648282555,378266.96667762165,85519.04704984267,0,0,0,0,0,304122.65523108805,363665.3097850684,464822.68648282555,378266.96667762165,85519.04704984267,33044046.30640463,39475448.57099904,50417153.66128565,41058010.965978764,9245884.058802543,254330.9683533299,304037.4825345168,388638.2086958883,316281.0656854587,71478.84541671783,49791.686877758024,59627.82725055172,76184.47778693729,61985.900992162904,14040.251767471615,6224669.612893505,6325826.98959126,6385369.644145241,6311225.3326987075,85519.0470498424,6689492.299376331,6689492.299376331,6689492.299376331,6689492.299376331,0,5202829.450051233,5287430.176212606,5337136.690393791,5275186.593061663,71478.84541671738,5591467.658747122,5591467.658747122,5591467.658747122,5591467.658747122,0,1021840.1628422706,1038396.813378656,1048232.9537514496,1036038.7396370448,14040.251767471469,1098024.6406292077,1098024.6406292077,1098024.6406292077,1098024.6406292077,0,254330.9683533299,304037.4825345168,388638.2086958883,316281.0656854587,71478.84541671783,49791.686877758024,59627.82725055172,76184.47778693729,61985.900992162904,14040.251767471615,0,0,0,0,0,0,0,0,0,0,1021840.1628422706,1038396.813378656,1048232.9537514496,1036038.7396370448,14040.251767471469,1098024.6406292077,1098024.6406292077,1098024.6406292077,1098024.6406292077,0
HIS,oil,FL,mrh-eq,15328.103619026055,18474.895875857772,23461.519002626534,19120.45056706375,4317.097737488321,0,0,0,0,0,15328.103619026055,18474.895875857772,23461.519002626534,19120.45056706375,4317.097737488321,33044046.30640463,39475448.57099904,50417153.66128565,41058010.965978764,9245884.058802543,12819.016660511104,15446.417617729914,19616.666755893446,15987.767856657885,3608.2971094703767,2509.086958514951,3028.4782581278596,3844.8522467330954,3132.682710405869,708.802680841508,314503.6031573665,319490.2262841353,322637.018540967,318844.67159292934,4317.09773748833,337965.1221599931,337965.1221599931,337965.1221599931,337965.1221599931,0,262869.4257598789,267039.6748980424,269667.07585526124,266498.3246591144,3608.2971094703694,282486.0925157723,282486.0925157723,282486.0925157723,282486.0925157723,0,51634.17739748766,52450.5513860929,52969.9426857058,52346.34693381489,708.8026808415034,55479.02964422075,55479.02964422075,55479.02964422075,55479.02964422075,0,12819.016660511104,15446.417617729914,19616.666755893446,15987.767856657885,3608.2971094703767,2509.086958514951,3028.4782581278596,3844.8522467330954,3132.682710405869,708.802680841508,0,0,0,0,0,0,0,0,0,0,51634.17739748766,52450.5513860929,52969.9426857058,52346.34693381489,708.8026808415034,55479.02964422075,55479.02964422075,55479.02964422075,55479.02964422075,0
HIS,oil,Food_price,USD,326440.8694748499,369051.89376958786,476479.7434957466,391794.6395349987,81386.99091984177,0,0,0,0,0,326440.8694748499,369051.89376958786,476479.7434957466,391794.6395349987,81386.99091984177,33044046.30640463,39475448.57099904,50417153.66128565,41058010.965978764,9245884.058802543,273038.00309540523,308597.0941147834,398434.09730988584,327641.9755799498,68027.63620347774,53402.86637944469,60454.79965480448,78045.64618586072,64152.663955048854,13359.39909123233,6334240.992409066,6441668.842135225,6484279.866429962,6418926.096369814,81386.9909198416,6810720.735904813,6810720.735904813,6810720.735904813,6810720.735904813,0,5294515.124783645,5384352.12797875,5419911.218998128,5365307.246513583,68027.63620347819,5692949.222093534,5692949.222093534,5692949.222093534,5692949.222093534,0,1039725.8676254189,1057316.714156475,1064368.647431835,1053618.8498562307,13359.399091232293,1117771.5138112796,1117771.5138112796,1117771.5138112796,1117771.5138112796,0,273038.00309540523,308597.0941147834,398434.09730988584,327641.9755799498,68027.63620347774,53402.86637944469,60454.79965480448,78045.64618586072,64152.663955048854,13359.39909123233,0,0,0,0,0,0,0,0,0,0,1039725.8676254189,1057316.714156475,1064368.647431835,1053618.8498562307,13359.399091232293,1117771.5138112796,1117771.5138112796,1117771.5138112796,1117771.5138112796,0
HIS,sat_fat,CED,MJ,-16807795.616890665,-16321363.737370793,-16016424.870799141,-16385045.496299991,420146.2488916775,0,0,0,0,0,-16807795.616890665,-16321363.737370793,-16016424.870799141,-16385045.496299991,420146.2488916775,-326963944.0769169,-317229926.9581133,-311497145.45517564,-318633869.2794698,8230718.901486502,-12852381.58398796,-12483943.438653791,-12247637.770608447,-12530305.711386712,320808.6837097312,-3955414.032902707,-3837420.2987170005,-3768787.100190694,-3854739.7849132814,99363.30017704912,38027264.85935518,38332203.725926846,38818635.605446704,38395885.48485604,420146.2488916763,22010839.988556035,22010839.988556035,22010839.988556035,22010839.988556035,0,29075936.369496107,29312242.037541457,29680680.182875622,29358604.310274374,320808.68370973284,16828298.598887667,16828298.598887667,16828298.598887667,16828298.598887667,0,8951328.489859067,9019961.688385373,9137955.42257108,9037281.174581654,99363.30017704982,5182541.3896683715,5182541.3896683715,5182541.3896683715,5182541.3896683715,0,-12852381.58398796,-12483943.438653791,-12247637.770608447,-12530305.711386712,320808.6837097312,-3955414.032902707,-3837420.2987170005,-3768787.100190694,-3854739.7849132814,99363.30017704912,0,0,0,0,0,0,0,0,0,0,8951328.489859067,9019961.688385373,9137955.42257108,9037281.174581654,99363.30017704982,5182541.3896683715,5182541.3896683715,5182541.3896683715,5182541.3896683715,0
HIS,sat_fat,FL,mrh-eq,-458992.4442124571,-445621.41535388585,-437383.35805016,-447422.4580047088,11479.658879352493,0,0,0,0,0,-458992.4442124571,-445621.41535388585,-437383.35805016,-447422.4580047088,11479.658879352493,-326963944.0769169,-317229926.9581133,-311497145.45517564,-318633869.2794698,8230718.901486502,-350909.42693446303,-340784.4378725105,-334401.6656610356,-342097.49641653773,8762.395171155835,-108083.01727799409,-104836.97748137536,-102981.69238912447,-105324.96158817108,2717.9636597102217,1038459.707902519,1046697.7652062451,1060068.794064816,1048498.8078570679,11479.658879352448,601076.349852359,601076.349852359,601076.349852359,601076.349852359,0,793865.5660552529,800248.3382667276,810373.3273286804,801561.396810755,8762.395171155826,459463.9003942173,459463.9003942173,459463.9003942173,459463.9003942173,0,244594.1418472663,246449.4269395172,249695.46673613595,246937.41104631292,2717.963659710228,141612.4494581418,141612.4494581418,141612.4494581418,141612.4494581418,0,-350909.42693446303,-340784.4378725105,-334401.6656610356,-342097.49641653773,8762.395171155835,-108083.01727799409,-104836.97748137536,-102981.69238912447,-105324.96158817108,2717.9636597102217,0,0,0,0,0,0,0,0,0,0,244594.1418472663,246449.4269395172,249695.46673613595,246937.41104631292,2717.963659710228,141612.4494581418,141612.4494581418,141612.4494581418,141612.4494581418,0
HIS,sat_fat,Food_price,USD,-2696595.147223764,-2632610.376674755,-2583591.381900216,-2637861.526069306,59649.272994984036,0,0,0,0,0,-2696595.147223764,-2632610.376674755,-2583591.381900216,-2637861.526069306,59649.272994984036,-326963944.0769169,-317229926.9581133,-311497145.45517564,-318633869.2794698,8230718.901486502,-2061483.6989550113,-2013026.7040566895,-1975119.7646751637,-2016728.477922232,45567.612447678286,-635111.448268752,-619583.6726180651,-608471.6172250517,-621133.0481470734,14085.022068720173,6113611.072238813,6162630.067013353,6226614.837562363,6167881.2164079035,59649.272994984254,3530019.690338598,3530019.690338598,3530019.690338598,3530019.690338598,0,4673287.71809499,4711194.657476516,4759651.652374837,4714896.431342058,45567.61244767788,2698167.9534198255,2698167.9534198255,2698167.9534198255,2698167.9534198255,0,1440323.354143825,1451435.4095368378,1466963.185187525,1452984.7850658463,14085.022068720198,831851.736918773,831851.736918773,831851.736918773,831851.736918773,0,-2061483.6989550113,-2013026.7040566895,-1975119.7646751637,-2016728.477922232,45567.612447678286,-635111.448268752,-619583.6726180651,-608471.6172250517,-621133.0481470734,14085.022068720173,0,0,0,0,0,0,0,0,0,0,1440323.354143825,1451435.4095368378,1466963.185187525,1452984.7850658463,14085.022068720198,831851.736918773,831851.736918773,831851.736918773,831851.736918773,0
NHB,added_sugar,CED,MJ,-6700859.770373655,-6534154.533580943,-6435605.015075505,-6558068.820699285,141135.56659760524,0,0,0,0,0,-6700859.770373655,-6534154.533580943,-6435605.015075505,-6558068.820699285,141135.56659760524,-260893585.19698977,-254363303.0841439,-250421275.87819147,-255271462.70059776,5567572.406303307,-4437787.32258725,-4327560.364084551,-4261384.824105121,-4343017.002162891,93803.41907376492,-2263072.447786405,-2206594.1694963924,-2174220.1909703836,-2215051.818536394,47334.4789611536,11113118.47537591,11211667.993881349,11378373.230674056,11235582.28099969,141135.5665976047,4677513.460300404,4677513.460300404,4677513.460300404,4677513.460300404,0,7359035.594840982,7425211.134820411,7535438.093323108,7440667.772898751,93803.41907376349,3097650.7707358603,3097650.7707358603,3097650.7707358603,3097650.7707358603,0,3754082.8805349274,3786456.8590609357,3842935.1373509485,3794914.5081009367,47334.47896115314,1579862.6895645435,1579862.6895645435,1579862.6895645435,1579862.6895645435,0,-4437787.32258725,-4327560.364084551,-4261384.824105121,-4343017.002162891,93803.41907376492,-2263072.447786405,-2206594.1694963924,-2174220.1909703836,-2215051.818536394,47334.4789611536,0,0,0,0,0,0,0,0,0,0,3754082.8805349274,3786456.8590609357,3842935.1373509485,3794914.5081009367,47334.47896115314,1579862.6895645435,1579862.6895645435,1579862.6895645435,1579862.6895645435,0
