sex_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
Female,added_sugar,CED,MJ,-28762137.220385496,-28114170.097730853,-27700499.930015497,-28196379.55560429,563273.989673649,0,0,0,0,0,-28762137.220385496,-28114170.097730853,-27700499.930015497,-28196379.55560429,563273.989673649,-1150274478.728557,-1124467482.3989863,-1108578908.349978,-1127947630.5676048,22151032.12500959,-19065681.246717192,-18636118.593262624,-18361857.496552803,-18690610.367559027,373427.41206134245,-9696455.973668298,-9478051.504468229,-9338642.4334627,-9505769.18804526,189846.5778974254,51225076.52083497,51638746.68855032,52286713.81120498,51720956.14642376,563273.9896736568,23524576.590819478,23524576.590819478,23524576.590819478,23524576.590819478,0,33956421.7001505,34230682.79686034,34660245.45031491,34285174.57115673,373427.4120613513,15594564.203597711,15594564.203597711,15594564.203597711,15594564.203597711,0,17268654.820684463,17408063.891689986,17626468.360890057,17435781.57526702,189846.57789742466,7930012.387221763,7930012.387221763,7930012.387221763,7930012.387221764,0,-19065681.246717192,-18636118.593262624,-18361857.496552803,-18690610.367559027,373427.41206134245,-9696455.973668298,-9478051.504468229,-9338642.4334627,-9505769.18804526,189846.5778974254,0,0,0,0,0,0,0,0,0,0,17268654.820684463,17408063.891689986,17626468.360890057,17435781.57526702,189846.57789742466,7930012.387221763,7930012.387221763,7930012.387221763,7930012.387221764,0
Female,added_sugar,FL,mrh-eq,-1358531.729978975,-1330637.4163219458,-1312086.605801912,-1333915.8384752774,24609.132316746698,0,0,0,0,0,-1358531.729978975,-1330637.4163219458,-1312086.605801912,-1333915.8384752774,24609.132316746698,-1150274478.728557,-1124467482.3989863,-1108578908.349978,-1127947630.5676048,22151032.12500959,-900579.148459024,-882084.1858285468,-869785.4344447786,-884258.2950379184,16316.21816694099,-457952.58151995117,-448553.23049339914,-442301.1713571338,-449657.5434373594,8292.914164874335,2429941.9975284487,2448492.808048483,2476387.1217055116,2451771.2302018143,24609.132316746665,1117855.391726537,1117855.391726537,1117855.391726537,1117855.391726537,0,1610850.9033031343,1623149.6546869026,1641644.61731738,1625323.7638962741,16316.218166941042,741065.4688583559,741065.4688583559,741065.4688583559,741065.468858356,0,819091.0942253149,825343.1533615805,834742.5043881321,826447.4663055404,8292.914164874228,376789.92286818114,376789.92286818114,376789.92286818114,376789.9228681812,0,-900579.148459024,-882084.1858285468,-869785.4344447786,-884258.2950379184,16316.21816694099,-457952.58151995117,-448553.23049339914,-442301.1713571338,-449657.5434373594,8292.914164874335,0,0,0,0,0,0,0,0,0,0,819091.0942253149,825343.1533615805,834742.5043881321,826447.4663055404,8292.914164874228,376789.92286818114,376789.92286818114,376789.92286818114,376789.9228681812,0
Female,added_sugar,Food_price,USD,-35531476.09877717,-34922765.14945016,-34334868.54568215,-34930068.428593665,629825.2073509756,0,0,0,0,0,-35531476.09877717,-34922765.14945016,-34334868.54568215,-34930068.428593665,629825.2073509756,-1150274478.728557,-1124467482.3989863,-1108578908.349978,-1127947630.5676048,22151032.12500959,-23553153.864932667,-23149622.390153654,-22759837.062847905,-23154445.599793393,417556.0519354009,-11978322.233844504,-11773142.759296512,-11575031.482834252,-11775622.828800278,212269.15634300822,63503036.9820463,64090933.5858143,64699644.53514131,64098236.86495781,629825.207350972,29168168.436364144,29168168.436364144,29168168.436364144,29168168.436364144,0,42095590.080635324,42485375.40794107,42888906.8827201,42490198.61758082,417556.0519354066,19335753.01778743,19335753.01778743,19335753.01778743,19335753.01778743,0,21407446.901410967,21605558.177873228,21810737.65242122,21608038.247376993,212269.15634301104,9832415.418576714,9832415.418576714,9832415.418576714,9832415.418576714,0,-23553153.864932667,-23149622.390153654,-22759837.062847905,-23154445.599793393,417556.0519354009,-11978322.233844504,-11773142.759296512,-11575031.482834252,-11775622.828800278,212269.15634300822,0,0,0,0,0,0,0,0,0,0,21407446.901410967,21605558.177873228,21810737.65242122,21608038.247376993,212269.15634301104,9832415.418576714,9832415.418576714,9832415.418576714,9832415.418576714,0
Female,oil,CED,MJ,-2542000.4112636996,-1996031.579602288,-1882253.3367485136,-2147677.4002365465,371240.75261657056,0,0,0,0,0,-2542000.4112636996,-1996031.579602288,-1882253.3367485136,-2147677.4002365465,371240.75261657056,-274232057.7103503,-215235616.79575998,-203136605.19839057,-231690855.1526796,40040444.67312837,-2119863.07083821,-1664530.5508362378,-1569863.3349880371,-1791079.780363877,309525.3850366674,-422137.3404254897,-331501.0287660506,-312390.00176047604,-356597.6198726697,61715.47421676498,25130926.957748875,25244705.20060265,25790674.03226406,25396351.021236908,371240.75261656876,23248673.62100036,23248673.62100036,23248673.62100036,23248673.62100036,0,20965102.36572369,21059769.581571884,21515102.101573855,21186318.811099526,309525.38503666554,19395239.030735645,19395239.030735645,19395239.030735645,19395239.030735645,0,4165824.5920251915,4184935.6190307667,4275571.930690206,4210032.210137386,61715.474216765426,3853434.5902647157,3853434.5902647157,3853434.5902647157,3853434.5902647157,0,-2119863.07083821,-1664530.5508362378,-1569863.3349880371,-1791079.780363877,309525.3850366674,-422137.3404254897,-331501.0287660506,-312390.00176047604,-356597.6198726697,61715.47421676498,0,0,0,0,0,0,0,0,0,0,4165824.5920251915,4184935.6190307667,4275571.930690206,4210032.210137386,61715.474216765426,3853434.5902647157,3853434.5902647157,3853434.5902647157,3853434.5902647157,0
Female,oil,FL,mrh-eq,-129450.59999989592,-100603.10889805651,-95156.70663706909,-108814.01726326773,19399.63237717067,0,0,0,0,0,-129450.59999989592,-100603.10889805651,-95156.70663706909,-108814.01726326773,19399.63237717067,-274232057.7103503,-215235616.79575998,-203136605.19839057,-231690855.1526796,40040444.67312837,-107952.708061502,-83895.11581190574,-79363.10137296864,-90746.19574547035,16174.67275841035,-21497.891938393885,-16707.99308615078,-15793.605264100432,-18067.82151779736,3224.9638725128452,1286004.3265096862,1291450.7287706735,1320298.2198725129,1299661.6371358847,19399.63237717066,1190847.6198726168,1190847.6198726168,1190847.6198726168,1190847.6198726168,0,1072813.3911244438,1077345.4055633813,1101402.9978129773,1084196.4854969457,16174.67275841029,993450.2897514752,993450.2897514752,993450.2897514752,993450.2897514752,0,213190.93538524213,214105.32320729247,218895.22205953562,215465.15163893907,3224.9638725128657,197397.33012114177,197397.33012114177,197397.33012114177,197397.33012114177,0,-107952.708061502,-83895.11581190574,-79363.10137296864,-90746.19574547035,16174.67275841035,-21497.891938393885,-16707.99308615078,-15793.605264100432,-18067.82151779736,3224.9638725128452,0,0,0,0,0,0,0,0,0,0,213190.93538524213,214105.32320729247,218895.22205953562,215465.15163893907,3224.9638725128657,197397.33012114177,197397.33012114177,197397.33012114177,197397.33012114177,0
Female,oil,Food_price,USD,-2749070.393387957,-2035709.7096536506,-1967002.1196450344,-2261903.777627577,455850.44420569646,0,0,0,0,0,-2749070.393387957,-2035709.7096536506,-1967002.1196450344,-2261903.777627577,455850.44420569646,-274232057.7103503,-215235616.79575998,-203136605.19839057,-231690855.1526796,40040444.67312837,-2292673.375086744,-1697852.5367241737,-1640667.755264146,-1886496.7672162938,380064.93522584246,-456397.01830121345,-337857.17292947735,-326334.3643808891,-375407.01041128364,75785.5310894609,26725984.23049437,26794691.82050298,27508052.504237298,27020885.888476912,455850.4442057011,24758982.11084933,24758982.11084933,24758982.11084933,24758982.110849332,0,22295833.469832137,22353018.251292165,22947839.089654744,22541662.481784288,380064.9352258467,20655165.714567997,20655165.714567997,20655165.714567997,20655165.714567997,0,4430150.76066223,4441673.569210815,4560213.414582552,4479223.406692623,75785.53108946048,4103816.3962813397,4103816.3962813397,4103816.3962813397,4103816.3962813397,0,-2292673.375086744,-1697852.5367241737,-1640667.755264146,-1886496.7672162938,380064.93522584246,-456397.01830121345,-337857.17292947735,-326334.3643808891,-375407.01041128364,75785.5310894609,0,0,0,0,0,0,0,0,0,0,4430150.76066223,4441673.569210815,4560213.414582552,4479223.406692623,75785.53108946048,4103816.3962813397,4103816.3962813397,4103816.3962813397,4103816.3962813397,0
Female,sat_fat,CED,MJ,-70502455.16275287,-70467125.29388086,-67998393.0936558,-69613299.91445874,1511190.2521522723,0,0,0,0,0,-70502455.16275287,-70467125.29388086,-67998393.0936558,-69613299.91445874,1511190.2521522723,-1355200696.0541124,-1354537886.0426033,-1307030207.9946759,-1338101090.2403514,29075679.61476126,-54827511.22219465,-54804758.112882465,-52876023.8016551,-54135992.77887714,1179138.2129221566,-15674943.940558214,-15662367.180998374,-15122369.292000696,-15477307.135581588,332064.4280039678,144804839.98658237,147273572.18680742,147308902.05567944,146419746.8073853,1511190.252152264,76806446.89292657,76806446.89292657,76806446.89292657,76806446.89292657,0,112590786.46091416,114519520.7721415,114542273.88145371,113850755.4381362,1179138.2129221437,59714762.65925904,59714762.65925904,59714762.65925904,59714762.65925904,0,32214053.525668245,32754051.41466592,32766628.174225766,32568991.369249135,332064.42800396844,17091684.23366754,17091684.23366754,17091684.23366754,17091684.23366754,0,-54827511.22219465,-54804758.112882465,-52876023.8016551,-54135992.77887714,1179138.2129221566,-15674943.940558214,-15662367.180998374,-15122369.292000696,-15477307.135581588,332064.4280039678,0,0,0,0,0,0,0,0,0,0,32214053.525668245,32754051.41466592,32766628.174225766,32568991.369249135,332064.42800396844,17091684.23366754,17091684.23366754,17091684.23366754,17091684.23366754,0
Female,sat_fat,FL,mrh-eq,-1876156.3671577699,-1874980.6469269756,-1809786.7895819796,-1852518.1426763784,39982.7806454032,0,0,0,0,0,-1876156.3671577699,-1874980.6469269756,-1809786.7895819796,-1852518.1426763784,39982.7806454032,-1355200696.0541124,-1354537886.0426033,-1307030207.9946759,-1338101090.2403514,29075679.61476126,-1458896.638244636,-1458110.7469875873,-1407177.9925149607,-1440515.3563856303,31195.275760867542,-417259.72891313396,-416869.8999393879,-402608.7970670193,-412002.78629074845,8787.85388714134,3853301.3730048216,3918495.2303498164,3919670.950580612,3896032.7260992206,39982.78064540295,2043514.5834228413,2043514.5834228413,2043514.5834228413,2043514.5834228413,0,2995800.8145152642,3046733.568987892,3047519.46024494,3029138.1783859343,31195.275760868008,1588622.8220003033,1588622.8220003033,1588622.8220003033,1588622.8220003033,0,857500.5584895567,871761.6613619252,872151.4903356713,866894.5477132858,8787.853887141326,454891.7614225374,454891.7614225374,454891.7614225374,454891.76142253744,0,-1458896.638244636,-1458110.7469875873,-1407177.9925149607,-1440515.3563856303,31195.275760867542,-417259.72891313396,-416869.8999393879,-402608.7970670193,-412002.78629074845,8787.85388714134,0,0,0,0,0,0,0,0,0,0,857500.5584895567,871761.6613619252,872151.4903356713,866894.5477132858,8787.853887141326,454891.7614225374,454891.7614225374,454891.7614225374,454891.76142253744,0
Female,sat_fat,Food_price,USD,-10705293.49811562,-10685570.890435085,-10314428.948468486,-10562265.860861026,231782.37417275461,0,0,0,0,0,-10705293.49811562,-10685570.890435085,-10314428.948468486,-10562265.860861026,231782.37417275461,-1355200696.0541124,-1354537886.0426033,-1307030207.9946759,-1338101090.2403514,29075679.61476126,-8324423.091763783,-8309928.924848765,-8019851.546188144,-8213233.061078378,180856.07081030004,-2380870.406351836,-2375641.965586322,-2294577.402280343,-2349032.79978265,50929.100988708225,22066576.57898233,22437718.52094893,22457441.12862946,22314413.49137487,231782.37417275392,11752147.630513841,11752147.630513841,11752147.630513841,11752147.630513841,0,17156038.03535404,17446115.414014664,17460609.580929678,17349419.550244275,180856.07081029835,9136186.489165902,9136186.489165902,9136186.489165902,9136186.489165902,0,4910538.543628286,4991603.106934263,4996831.54769978,4964993.9411305925,50929.10098870842,2615961.1413479433,2615961.1413479433,2615961.1413479433,2615961.1413479433,0,-8324423.091763783,-8309928.924848765,-8019851.546188144,-8213233.061078378,180856.07081030004,-2380870.406351836,-2375641.965586322,-2294577.402280343,-2349032.79978265,50929.100988708225,0,0,0,0,0,0,0,0,0,0,4910538.543628286,4991603.106934263,4996831.54769978,4964993.9411305925,50929.10098870842,2615961.1413479433,2615961.1413479433,2615961.1413479433,2615961.1413479433,0
Male,added_sugar,CED,MJ,-20862041.87044614,-20437194.44733419,-20085419.243879937,-20462833.82265268,409351.40707646677,0,0,0,0,0,-20862041.87044614,-20437194.44733419,-20085419.243879937,-20462833.82265268,409351.40707646677,-809850884.2932241,-793417889.5068128,-779718076.6611565,-794376900.7140951,15881104.212136913,-13831844.329818562,-13551188.280766642,-13316266.834294587,-13567235.509742035,271712.21324746526,-7030197.540627578,-6886006.166567543,-6769152.40958535,-6895598.312910645,137643.07644775815,40463721.17556862,40815496.37902286,41240343.80213482,40841135.75434136,409351.4070764652,20378301.931688674,20378301.931688674,20378301.931688674,20378301.931688674,0,26828607.978007637,27063529.42447969,27344185.473531608,27079576.653455082,271712.2132474634,13512341.143713046,13512341.143713046,13512341.143713046,13512341.143713048,0,13635113.197560979,13751966.954543171,13896158.32860321,13761559.100886276,137643.07644776054,6865960.787975629,6865960.787975629,6865960.787975629,6865960.787975629,0,-13831844.329818562,-13551188.280766642,-13316266.834294587,-13567235.509742035,271712.21324746526,-7030197.540627578,-6886006.166567543,-6769152.40958535,-6895598.312910645,137643.07644775815,0,0,0,0,0,0,0,0,0,0,13635113.197560979,13751966.954543171,13896158.32860321,13761559.100886276,137643.07644776054,6865960.787975629,6865960.787975629,6865960.787975629,6865960.787975629,0
