outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
CED,MJ,-290989260.7051496,-289249478.65058553,-285344226.40012896,-288489664.5467636,3043065.745354835,0,0,0,0,0,-290989260.7051496,-289249478.65058553,-285344226.40012896,-288489664.5467636,3043065.745354835,-7369570557.933651,-7317896182.425762,-7188850458.948713,-7290748341.033073,97978453.17708994,-215269004.419474,-214117159.51386046,-211382265.2941352,-213561703.61417213,2101449.7966965195,-75720256.2856755,-75132319.13672532,-73961961.10599372,-74927960.93259148,942189.5434325372,644701001.1589476,648606253.4094044,650346035.4639683,647846439.3055823,3043065.745354897,359356774.7588188,359356774.7588188,359356774.7588188,359356774.7588188,0,485426386.73103094,488161280.95075613,489313125.85637003,487605825.051068,2101449.7966966205,274044121.43689585,274044121.43689585,274044121.43689585,274044121.43689585,0,159274614.42791647,160444972.45864803,161032909.60759825,160240614.25451422,942189.5434325323,85312653.32192273,85312653.32192273,85312653.32192273,85312653.32192273,0,0,0,0,0,0,-75720256.2856755,-75132319.13672532,-73961961.10599372,-74927960.93259148,942189.5434325372,0,0,0,0,0,0,0,0,0,0,159274614.42791647,160444972.45864803,161032909.60759825,160240614.25451422,942189.5434325323,85312653.32192273,85312653.32192273,85312653.32192273,85312653.32192273,0
FL,mrh-eq,-9433135.850515641,-9351611.737642033,-9199048.59749335,-9326685.76315955,125080.60908857135,0,0,0,0,0,-9433135.850515641,-9351611.737642033,-9199048.59749335,-9326685.76315955,125080.60908857135,-7369570557.933651,-7317896182.425762,-7188850458.948713,-7290748341.033073,97978453.17708994,-6862283.415409769,-6807894.100070661,-6702529.728212016,-6790008.115326963,85495.77220166176,-2570852.4351058793,-2543717.637571381,-2496518.869281337,-2536677.647832593,39595.134739243585,21929896.13884065,22082459.278989337,22163983.391862947,22057533.304506853,125080.6090885754,12730847.541347297,12730847.541347297,12730847.541347297,12730847.541347297,0,16410683.228031743,16516047.599890396,16570436.915229494,16498161.615146691,85495.77220166233,9708153.499819728,9708153.499819728,9708153.499819728,9708153.499819728,0,5519212.910808909,5566411.679098953,5593546.476633452,5559371.689360165,39595.13473924375,3022694.041527571,3022694.041527571,3022694.041527571,3022694.041527571,0,0,0,0,0,0,-2570852.4351058793,-2543717.637571381,-2496518.869281337,-2536677.647832593,39595.134739243585,0,0,0,0,0,0,0,0,0,0,5519212.910808909,5566411.679098953,5593546.476633452,5559371.689360165,39595.13473924375,3022694.041527571,3022694.041527571,3022694.041527571,3022694.041527571,0
Food_price,USD,-162533373.25787595,-162262126.4234793,-158026701.39753565,-160871186.707147,2660281.7578037754,0,0,0,0,0,-162533373.25787595,-162262126.4234793,-158026701.39753565,-160871186.707147,2660281.7578037754,-7369570557.933651,-7317896182.425762,-7188850458.948713,-7290748341.033073,97978453.17708994,-110468344.45893307,-110243810.17912808,-107433451.52033816,-109336503.37948425,1780115.1872518866,-52065028.798942916,-52018316.24435128,-50593249.8771974,-51534683.32766277,880603.4831638504,350139813.0248848,354375238.0508287,354646484.88522524,352984298.3344963,2660281.7578039,192113111.6273493,192113111.6273493,192113111.6273493,192113111.6273493,0,246453081.1441659,249263439.8029558,249487974.08276078,248356133.00331196,1780115.1872518684,139019629.62382787,139019629.62382787,139019629.62382787,139019629.62382787,0,103686731.88071898,105111798.24787274,105158510.80246441,104628165.33118428,880603.4831637886,53093482.00352156,53093482.00352156,53093482.00352156,53093482.00352156,0,0,0,0,0,0,-52065028.798942916,-52018316.24435128,-50593249.8771974,-51534683.32766277,880603.4831638504,0,0,0,0,0,0,0,0,0,0,103686731.88071898,105111798.24787274,105158510.80246441,104628165.33118428,880603.4831637886,53093482.00352156,53093482.00352156,53093482.00352156,53093482.00352156,0
