age_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,CED,MJ,-75090621.0108725,-74340189.44023149,-72748222.03151983,-74044913.70757513,1259082.6623810825,0,0,0,0,0,-75090621.0108725,-74340189.44023149,-72748222.03151983,-74044913.70757513,1259082.6623810825,-1877015943.7362297,-1869865933.2781856,-1803391579.5635164,-1849050374.2407732,42737596.897598326,-55742401.16348901,-55122338.469818145,-53996317.56393748,-54944809.272551544,931763.1655684588,-19348219.847383536,-19217850.970413312,-18751904.467582356,-19100104.435023583,330000.2013962563,171134167.3560608,172726134.76477244,173476566.3354134,172430859.0321161,1259082.6623810406,98385945.32454096,98385945.32454096,98385945.32454096,98385945.32454096,0,129106478.78576532,130232499.69164596,130852562.38531673,130054970.49437934,931763.1655684042,75110161.22182776,75110161.22182776,75110161.22182776,75110161.22182776,0,42027688.5702955,42493635.07312648,42624003.95009668,42375888.53773673,330000.2013962666,23275784.102713145,23275784.102713145,23275784.102713145,23275784.10271315,0,0,0,0,0,0,-19348219.847383536,-19217850.970413312,-18751904.467582356,-19100104.435023583,330000.2013962563,0,0,0,0,0,0,0,0,0,0,42027688.5702955,42493635.07312648,42624003.95009668,42375888.53773673,330000.2013962666,23275784.102713145,23275784.102713145,23275784.102713145,23275784.10271315,0
20-34,FL,mrh-eq,-2327936.6133307074,-2312663.7941566966,-2253020.529718361,-2297095.2168709687,41671.000880086474,0,0,0,0,0,-2327936.6133307074,-2312663.7941566966,-2253020.529718361,-2297095.2168709687,41671.000880086474,-1877015943.7362297,-1869865933.2781856,-1803391579.5635164,-1849050374.2407732,42737596.897598326,-1703321.3696902837,-1690094.087261374,-1648041.2997833285,-1679979.8749634316,30384.680690961886,-624615.2436404227,-622569.7068953239,-604979.2299350321,-617115.341907537,11363.076509336937,5691521.15755835,5751164.421996686,5766437.241170697,5735595.844710958,41671.00088008709,3438500.627839988,3438500.627839988,3438500.627839988,3438500.627839988,0,4280343.469765375,4322396.257243421,4335623.53967233,4312282.044945478,30384.680690961795,2632302.1699820473,2632302.1699820473,2632302.1699820473,2632302.1699820473,0,1411177.6877929736,1428768.1647532668,1430813.701498365,1423313.799765479,11363.076509337545,806198.4578579423,806198.4578579423,806198.4578579423,806198.4578579423,0,0,0,0,0,0,-624615.2436404227,-622569.7068953239,-604979.2299350321,-617115.341907537,11363.076509336937,0,0,0,0,0,0,0,0,0,0,1411177.6877929736,1428768.1647532668,1430813.701498365,1423313.799765479,11363.076509337545,806198.4578579423,806198.4578579423,806198.4578579423,806198.4578579423,0
20-34,Food_price,USD,-45774303.08280131,-45752644.721300215,-43583403.74521585,-44999106.96179732,1324958.606951395,0,0,0,0,0,-45774303.08280131,-45752644.721300215,-43583403.74521585,-44999106.96179732,1324958.606951395,-1877015943.7362297,-1869865933.2781856,-1803391579.5635164,-1849050374.2407732,42737596.897598326,-31048611.70001889,-31028718.165114995,-29582719.86416112,-30528330.527904477,884893.8163474533,-14744537.889533488,-14702985.993128479,-13999636.852901902,-14470776.43389284,440620.75902406214,100294586.84588346,102463827.82196793,102485486.18346903,101710290.062465,1324958.6069514551,56711183.10066767,56711183.10066767,56711183.10066767,56711183.10066768,0,70265912.02845013,71711910.329404,71731803.8643079,71211522.69219346,884893.8163474425,40683192.16428905,40683192.16428905,40683192.16428905,40683192.16428905,0,30027627.789280586,30730976.929507162,30772528.825912163,30498767.370271523,440620.75902406033,16027990.93637867,16027990.93637867,16027990.93637867,16027990.93637867,0,0,0,0,0,0,-14744537.889533488,-14702985.993128479,-13999636.852901902,-14470776.43389284,440620.75902406214,0,0,0,0,0,0,0,0,0,0,30027627.789280586,30730976.929507162,30772528.825912163,30498767.370271523,440620.75902406033,16027990.93637867,16027990.93637867,16027990.93637867,16027990.93637867,0
35-44,CED,MJ,-49316639.375860356,-48614235.05834868,-46395482.92186878,-48082183.19204404,1605012.226409294,0,0,0,0,0,-49316639.375860356,-48614235.05834868,-46395482.92186878,-48082183.19204404,1605012.226409294,-1238997545.05805,-1237414389.9466937,-1169925567.6747224,-1214289594.451741,41504898.68941169,-36397525.57231211,-35810196.848202676,-34220685.49066748,-35458553.81893048,1185487.3527450138,-12919113.803548237,-12804038.210146017,-12174797.431201324,-12623629.37311357,421752.3160677235,106375448.4145562,108594200.55103607,109296604.8685477,108062148.68473142,1605012.2264092534,59979965.492687374,59979965.492687374,59979965.492687374,59979965.492687374,0,79921101.23528515,81510612.5928204,82097941.31692976,81158969.56354816,1185487.3527450105,45700415.7446177,45700415.7446177,45700415.7446177,45700415.7446177,0,26454347.179271005,27083587.95821568,27198663.551617913,26903179.121183246,421752.3160677171,14279549.74806967,14279549.74806967,14279549.74806967,14279549.748069668,0,0,0,0,0,0,-12919113.803548237,-12804038.210146017,-12174797.431201324,-12623629.37311357,421752.3160677235,0,0,0,0,0,0,0,0,0,0,26454347.179271005,27083587.95821568,27198663.551617913,26903179.121183246,421752.3160677171,14279549.74806967,14279549.74806967,14279549.74806967,14279549.748069668,0
35-44,FL,mrh-eq,-1586025.8951718744,-1578223.0200678455,-1498377.721370843,-1552944.97670189,51061.41894813473,0,0,0,0,0,-1586025.8951718744,-1578223.0200678455,-1498377.721370843,-1552944.97670189,51061.41894813473,-1238997545.05805,-1237414389.9466937,-1169925567.6747224,-1214289594.451741,41504898.68941169,-1151647.7760031673,-1143265.7142506132,-1086798.4006509096,-1126393.6960586312,37127.36171102417,-434926.82230941614,-434347.6356608886,-411548.8372121153,-426551.28064325853,14034.983695390238,3607612.0978661613,3687457.396563168,3695260.2716671946,3662179.35319721,51061.41894813656,2109234.3764953213,2109234.3764953213,2109234.3764953213,2109234.3764953213,0,2693908.7382372697,2750376.051836972,2758758.113589526,2733504.0336449905,37127.36171102342,1607110.3375863584,1607110.3375863584,1607110.3375863584,1607110.3375863584,0,913672.8761210776,936471.6745698511,937050.8612183781,928675.3195522208,14034.983695390198,502124.03890896204,502124.03890896204,502124.03890896204,502124.038908962,0,0,0,0,0,0,-434926.82230941614,-434347.6356608886,-411548.8372121153,-426551.28064325853,14034.983695390238,0,0,0,0,0,0,0,0,0,0,913672.8761210776,936471.6745698511,937050.8612183781,928675.3195522208,14034.983695390198,502124.03890896204,502124.03890896204,502124.03890896204,502124.038908962,0
35-44,Food_price,USD,-28487099.91957786,-28059388.101635758,-27039264.43063887,-27851524.29354636,782992.9681987573,0,0,0,0,0,-28487099.91957786,-28059388.101635758,-27039264.43063887,-27851524.29354636,782992.9681987573,-1238997545.05805,-1237414389.9466937,-1169925567.6747224,-1214289594.451741,41504898.68941169,-19263283.58148717,-18988969.986958683,-18277204.5525705,-18835478.113323703,535741.8779056385,-9223816.338090688,-9070418.114677075,-8762059.878068369,-9016046.180222657,247549.33489035806,57555645.74069935,58575769.41169622,59003481.22963837,58367905.60360684,782992.9681987674,30516381.31006047,30516381.31006047,30516381.31006047,30516381.31006047,0,40129021.39477491,40840786.829163074,41115100.42369157,40687294.9555281,535741.8779056319,21851816.84220441,21851816.84220441,21851816.84220441,21851816.84220441,0,17426624.345924463,17734982.582533166,17888380.805946775,17680610.648078743,247549.3348903528,8664564.467856089,8664564.467856089,8664564.467856089,8664564.467856089,0,0,0,0,0,0,-9223816.338090688,-9070418.114677075,-8762059.878068369,-9016046.180222657,247549.33489035806,0,0,0,0,0,0,0,0,0,0,17426624.345924463,17734982.582533166,17888380.805946775,17680610.648078743,247549.3348903528,8664564.467856089,8664564.467856089,8664564.467856089,8664564.467856089,0
45-54,CED,MJ,-46604808.40365175,-45726557.388163775,-43481335.5170571,-45246918.49145546,1695599.0489527583,0,0,0,0,0,-46604808.40365175,-45726557.388163775,-43481335.5170571,-45246918.49145546,1695599.0489527583,-1203629669.565609,-1186996143.6883342,-1081877096.976075,-1155948592.5181644,69492789.8994561,-34348132.6250517,-33732694.01794437,-32115112.35562615,-33381064.87576511,1214084.36952898,-12256675.778600048,-11993863.370219396,-11366223.161430918,-11865853.615690336,481592.5522208733,101064463.74450876,103309685.61561537,104187936.63110329,102830046.71890706,1695599.0489526952,57583128.2274516,57583128.2274516,57583128.2274516,57583128.2274516,0,76044757.78336772,77662339.44568594,78277778.05279328,77310710.30350669,1214084.369528984,43929645.42774158,43929645.42774158,43929645.42774158,43929645.42774158,0,25019705.961140927,25647346.169929422,25910158.578310087,25519336.41540036,481592.552220888,13653482.799710026,13653482.799710026,13653482.799710026,13653482.799710026,0,0,0,0,0,0,-12256675.778600048,-11993863.370219396,-11366223.161430918,-11865853.615690336,481592.5522208733,0,0,0,0,0,0,0,0,0,0,25019705.961140927,25647346.169929422,25910158.578310087,25519336.41540036,481592.552220888,13653482.799710026,13653482.799710026,13653482.799710026,13653482.799710026,0
45-54,FL,mrh-eq,-1527532.9152831477,-1497574.4466019757,-1401871.473429988,-1474506.1994122157,69089.00262762635,0,0,0,0,0,-1527532.9152831477,-1497574.4466019757,-1401871.473429988,-1474506.1994122157,69089.00262762635,-1203629669.565609,-1186996143.6883342,-1081877096.976075,-1155948592.5181644,69492789.8994561,-1107211.1996481428,-1086563.7670327453,-1017884.1078952804,-1069710.354217985,49227.72262423126,-420321.7156350055,-411010.67956923007,-383987.3655347083,-404795.8451942314,19866.311686505764,3459338.433569454,3555041.406741441,3584999.875422615,3531973.1595516824,69089.00262762647,2057466.9601394671,2057466.9601394671,2057466.9601394671,2057466.9601394671,0,2589271.963723925,2657951.622861391,2678599.0554767884,2641098.21004663,49227.722624231756,1571387.8558286454,1571387.8558286454,1571387.8558286454,1571387.8558286454,0,870066.4698455294,897089.783880052,906400.8199458272,890874.949505053,19866.311686506135,486079.10431082174,486079.10431082174,486079.10431082174,486079.10431082174,0,0,0,0,0,0,-420321.7156350055,-411010.67956923007,-383987.3655347083,-404795.8451942314,19866.311686505764,0,0,0,0,0,0,0,0,0,0,870066.4698455294,897089.783880052,906400.8199458272,890874.949505053,19866.311686506135,486079.10431082174,486079.10431082174,486079.10431082174,486079.10431082174,0
45-54,Food_price,USD,-27341886.244082093,-26683120.162981015,-24174698.475557886,-26034118.195850473,1759146.0234409883,0,0,0,0,0,-27341886.244082093,-26683120.162981015,-24174698.475557886,-26034118.195850473,1759146.0234409883,-1203629669.565609,-1186996143.6883342,-1081877096.976075,-1155948592.5181644,69492789.8994561,-18548814.14034074,-18105041.762775626,-16391726.119415712,-17659587.985303767,1199061.8945416466,-8793072.103741355,-8578078.400205376,-7782972.356142165,-8374530.210546698,560094.5398970726,53854377.72205184,56362799.40947493,57021565.49057602,55713797.442344405,1759146.0234409727,29679679.246493924,29679679.246493924,29679679.246493924,29679679.246493924,0,37923687.56457507,39637003.20793501,40080775.585500106,39191549.430463135,1199061.894541657,21531961.445159376,21531961.445159376,21531961.445159376,21531961.445159376,0,15930690.157476736,16725796.201539923,16940789.90507592,16522248.01188126,560094.5398970647,8147717.801334575,8147717.801334575,8147717.801334575,8147717.801334575,0,0,0,0,0,0,-8793072.103741355,-8578078.400205376,-7782972.356142165,-8374530.210546698,560094.5398970726,0,0,0,0,0,0,0,0,0,0,15930690.157476736,16725796.201539923,16940789.90507592,16522248.01188126,560094.5398970647,8147717.801334575,8147717.801334575,8147717.801334575,8147717.801334575,0
55-64,CED,MJ,-59829888.251628056,-56942733.112679124,-56433124.04117721,-57776959.80301142,1928230.9195089524,0,0,0,0,0,-59829888.251628056,-56942733.112679124,-56433124.04117721,-57776959.80301142,1928230.9195089524,-1563295952.3674562,-1476490539.419415,-1442416837.4601626,-1494992894.1523235,65607407.4470419,-44006368.363986015,-42018618.77281093,-41606890.19451827,-42571608.60189248,1350637.7786353366,-15823519.88764201,-14924114.339868195,-14826233.846658941,-15205351.201118918,578642.7233330385,126822909.57621856,127332518.64772047,130219673.78666948,128166745.3380528,1928230.919508995,70389785.5350415,70389785.5350415,70389785.5350415,70389785.5350415,0,95080383.20866643,95492111.78695904,97479861.37813419,96045101.61604063,1350637.7786353573,53473493.01414816,53473493.01414816,53473493.01414816,53473493.01414815,0,31742526.36755225,31840406.86076148,32739812.40853531,32121643.722012218,578642.7233330389,16916292.520893287,16916292.520893287,16916292.520893287,16916292.520893287,0,0,0,0,0,0,-15823519.88764201,-14924114.339868195,-14826233.846658941,-15205351.201118918,578642.7233330385,0,0,0,0,0,0,0,0,0,0,31742526.36755225,31840406.86076148,32739812.40853531,32121643.722012218,578642.7233330389,16916292.520893287,16916292.520893287,16916292.520893287,16916292.520893287,0
