age_gp,sex_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,CED,MJ,-40461183.254899904,-39203511.02987173,-38928449.60298418,-39548286.748517565,860186.4409432271,0,0,0,0,0,-40461183.254899904,-39203511.02987173,-38928449.60298418,-39548286.748517565,860186.4409432271,-1082977794.1519763,-1059529197.198394,-1055794098.669446,-1066446214.1894938,15510643.057320518,-30249549.610218406,-29281617.932153832,-29047415.6703497,-29539066.850139957,670836.6962130389,-10211633.64468154,-9921893.0977179,-9881033.932634521,-10009219.89837764,189724.60263302882,87097727.2218595,87372788.64874697,88630460.87377511,87717564.36739282,860186.4409431702,48169277.618875265,48169277.618875265,48169277.618875265,48169277.618875265,0,66031337.9599463,66265540.2217504,67233471.89981493,66522989.13973651,670836.6962129988,36983922.28959654,36983922.28959654,36983922.28959654,36983922.28959654,0,21066389.2619132,21107248.42699658,21396988.97396022,21194575.22765632,189724.60263302797,11185355.329278681,11185355.329278681,11185355.329278681,11185355.329278683,0,0,0,0,0,0,-10211633.64468154,-9921893.0977179,-9881033.932634521,-10009219.89837764,189724.60263302882,0,0,0,0,0,0,0,0,0,0,21066389.2619132,21107248.42699658,21396988.97396022,21194575.22765632,189724.60263302797,11185355.329278681,11185355.329278681,11185355.329278681,11185355.329278683,0
20-34,Female,FL,mrh-eq,-1284190.1317818633,-1250187.3876603185,-1246012.172804972,-1260653.1874028442,22043.252950753962,0,0,0,0,0,-1284190.1317818633,-1250187.3876603185,-1246012.172804972,-1260653.1874028442,22043.252950753962,-1082977794.1519763,-1059529197.198394,-1055794098.669446,-1066446214.1894938,15510643.057320518,-945044.1110211533,-919114.0993582264,-914970.538766569,-926758.468155163,17156.89560845113,-339146.02076070907,-331073.2883020935,-331041.63403840316,-333894.7192476813,4915.746186470892,2943264.158841683,2947439.3736970304,2981442.117818576,2957905.1734395563,22043.25295075468,1697251.9860367102,1697251.9860367102,1697251.9860367102,1697251.9860367102,0,2218245.6831768206,2222389.243768478,2248319.2554314043,2230033.6125654145,17156.89560845077,1303275.1444102519,1303275.1444102519,1303275.1444102519,1303275.1444102519,0,725018.4756648624,725050.1299285528,733122.8623871681,727871.5608741405,4915.746186470758,393976.84162645903,393976.84162645903,393976.84162645903,393976.84162645903,0,0,0,0,0,0,-339146.02076070907,-331073.2883020935,-331041.63403840316,-333894.7192476813,4915.746186470892,0,0,0,0,0,0,0,0,0,0,725018.4756648624,725050.1299285528,733122.8623871681,727871.5608741405,4915.746186470758,393976.84162645903,393976.84162645903,393976.84162645903,393976.84162645903,0
20-34,Female,Food_price,USD,-25807998.815277115,-25427710.602605313,-25124977.320796918,-25454922.859048616,360256.6353473993,0,0,0,0,0,-25807998.815277115,-25427710.602605313,-25124977.320796918,-25454922.859048616,360256.6353473993,-1082977794.1519763,-1059529197.198394,-1055794098.669446,-1066446214.1894938,15510643.057320518,-17606626.555895332,-17331045.646584313,-17126513.016088814,-17355974.867221337,253611.93030841963,-8201372.259381788,-8096664.956021007,-7998464.304708097,-8098947.991827278,106811.96132127522,53569993.708080396,53872726.98988888,54253015.202560686,53899939.246332146,360256.6353474461,28445016.38728353,28445016.38728353,28445016.38728353,28445016.38728353,0,37614658.58462967,37819191.215125136,38094772.12443614,37844120.43576217,253611.93030839224,20488145.568540867,20488145.568540867,20488145.568540867,20488145.568540867,0,15955335.123450788,16053535.774763698,16158243.078124478,16055818.810569966,106811.96132127567,7956870.818742679,7956870.818742679,7956870.818742679,7956870.81874268,0,0,0,0,0,0,-8201372.259381788,-8096664.956021007,-7998464.304708097,-8098947.991827278,106811.96132127522,0,0,0,0,0,0,0,0,0,0,15955335.123450788,16053535.774763698,16158243.078124478,16055818.810569966,106811.96132127567,7956870.818742679,7956870.818742679,7956870.818742679,7956870.81874268,0
20-34,Male,CED,MJ,-35109981.533813044,-34602740.87942589,-33793075.55198892,-34496626.95905754,699174.0792857875,0,0,0,0,0,-35109981.533813044,-34602740.87942589,-33793075.55198892,-34496626.95905754,699174.0792857875,-809478915.7379212,-793180329.242382,-746739660.5522,-782604160.0512794,34267412.27637015,-25822411.643748857,-25474542.659355123,-24930592.99967232,-25405742.42241159,473144.8306247676,-9287569.890064182,-9128198.220070766,-8862482.55231661,-9090884.536645943,226051.82076110024,84009743.2576546,84819408.58509162,85326649.23947878,84713294.66472325,699174.0792858189,50216667.70566566,50216667.70566566,50216667.70566566,50216667.70566567,0,63056831.93190357,63600781.591586344,63948650.575980105,63531981.35464283,473144.83062476566,38126238.9322312,38126238.9322312,38126238.9322312,38126238.9322312,0,20952911.325751066,21218626.99350523,21377998.66349866,21181313.31008041,226051.82076111098,12090428.773434468,12090428.773434468,12090428.773434468,12090428.773434468,0,0,0,0,0,0,-9287569.890064182,-9128198.220070766,-8862482.55231661,-9090884.536645943,226051.82076110024,0,0,0,0,0,0,0,0,0,0,20952911.325751066,21218626.99350523,21377998.66349866,21181313.31008041,226051.82076111098,12090428.773434468,12090428.773434468,12090428.773434468,12090428.773434468,0
20-34,Male,FL,mrh-eq,-1061490.6209728238,-1042760.6960252901,-1006022.5713898343,-1036442.0294681244,29702.135980009516,0,0,0,0,0,-1061490.6209728238,-1042760.6960252901,-1006022.5713898343,-1036442.0294681244,29702.135980009516,-809478915.7379212,-793180329.242382,-746739660.5522,-782604160.0512794,34267412.27637015,-770311.4232066206,-757608.6939726034,-732402.1963202321,-753221.4068082686,20310.77266034202,-291179.1977662034,-285152.0020526866,-273620.37506960146,-283220.6226598556,9391.630657926944,2747271.2131931125,2784009.3378285677,2802739.262776102,2777690.6712714024,29702.135980009465,1741248.641803278,1741248.641803278,1741248.641803278,1741248.641803278,0,2061429.221892028,2086635.7195443981,2099338.448778416,2082248.4323800642,20310.772660341576,1329027.0255717954,1329027.0255717954,1329027.0255717954,1329027.0255717954,0,685841.9913010842,697373.6182841699,703400.8139976868,695442.2388913388,9391.630657927291,412221.6162314831,412221.6162314831,412221.6162314831,412221.6162314831,0,0,0,0,0,0,-291179.1977662034,-285152.0020526866,-273620.37506960146,-283220.6226598556,9391.630657926944,0,0,0,0,0,0,0,0,0,0,685841.9913010842,697373.6182841699,703400.8139976868,695442.2388913388,9391.630657927291,412221.6162314831,412221.6162314831,412221.6162314831,412221.6162314831,0
20-34,Male,Food_price,USD,-20326577.311108004,-19924630.736935116,-18438411.255330943,-19544184.1027487,1046965.491584314,0,0,0,0,0,-20326577.311108004,-19924630.736935116,-18438411.255330943,-19544184.1027487,1046965.491584314,-809478915.7379212,-793180329.242382,-746739660.5522,-782604160.0512794,34267412.27637015,-13684215.288298724,-13428527.913891612,-12442749.617840344,-13172355.660683135,690038.8594680168,-6642362.022809281,-6496102.823043492,-5995661.637490603,-6371828.442065562,356978.83890847967,46704577.96871509,48190797.45031924,48592744.02449215,47810350.81613284,1046965.4915843108,28266166.713384144,28266166.713384144,28266166.713384144,28266166.71338414,0,32637796.21358851,33623574.50963979,33879261.8840469,33367402.25643131,690038.859468021,20195046.59574818,20195046.59574818,20195046.59574818,20195046.59574818,0,14066781.755126595,14567222.940679481,14713482.140445262,14442948.559701549,356978.8389084752,8071120.117635993,8071120.117635993,8071120.117635993,8071120.117635992,0,0,0,0,0,0,-6642362.022809281,-6496102.823043492,-5995661.637490603,-6371828.442065562,356978.83890847967,0,0,0,0,0,0,0,0,0,0,14066781.755126595,14567222.940679481,14713482.140445262,14442948.559701549,356978.8389084752,8071120.117635993,8071120.117635993,8071120.117635993,8071120.117635992,0
35-44,Female,CED,MJ,-25945219.81054588,-25790431.905908592,-25454382.889408804,-25726831.5157814,264141.71189679275,0,0,0,0,0,-25945219.81054588,-25790431.905908592,-25454382.889408804,-25726831.5157814,264141.71189679275,-713438799.5017769,-697230232.4762934,-683688325.732217,-698165902.7504714,15679097.087075913,-19307872.098071728,-19269023.371513586,-18975871.44125783,-19179794.177233722,191061.43418545972,-6637347.712474145,-6521408.534395003,-6478511.4481509775,-6547037.338547676,86494.26550949254,56059231.755600214,56395280.77209999,56550068.6767373,56331680.38197281,264141.7118967994,30604848.866191383,30604848.866191383,30604848.866191383,30604848.866191383,0,42463871.5298956,42757023.460151315,42795872.18670954,42667794.265871495,191061.4341854645,23488000.088637784,23488000.088637784,23488000.088637784,23488000.088637784,0,13595360.225704601,13638257.311948627,13754196.490027769,13663886.1161013,86494.26550949241,7116848.777553618,7116848.777553618,7116848.777553618,7116848.777553618,0,0,0,0,0,0,-6637347.712474145,-6521408.534395003,-6478511.4481509775,-6547037.338547676,86494.26550949254,0,0,0,0,0,0,0,0,0,0,13595360.225704601,13638257.311948627,13754196.490027769,13663886.1161013,86494.26550949241,7116848.777553618,7116848.777553618,7116848.777553618,7116848.777553618,0
35-44,Female,FL,mrh-eq,-863068.6875641563,-842628.4233879624,-836225.0788734081,-847553.6583569587,14758.045824155122,0,0,0,0,0,-863068.6875641563,-842628.4233879624,-836225.0788734081,-847553.6583569587,14758.045824155122,-713438799.5017769,-697230232.4762934,-683688325.732217,-698165902.7504714,15679097.087075913,-630471.7251006829,-618528.5534866445,-612010.5743777853,-620432.1298042512,9855.254241950766,-232602.99586317418,-224220.53789532214,-224105.9033010173,-227121.52855270714,5129.519599070143,1916498.595853585,1922901.9403681401,1943342.2045443358,1927827.1753371367,14758.045824156537,1080273.5169801787,1080273.5169801787,1080273.5169801787,1080273.5169801787,0,1438611.0134771306,1445128.9925859887,1457072.1642000268,1447032.568903596,9855.254241950111,826600.4390993437,826600.4390993437,826600.4390993437,826600.4390993438,0,477778.98118185234,477893.61577615706,486276.07374400896,480794.60643354204,5129.5195990699995,253673.07788083487,253673.07788083487,253673.07788083487,253673.07788083484,0,0,0,0,0,0,-232602.99586317418,-224220.53789532214,-224105.9033010173,-227121.52855270714,5129.519599070143,0,0,0,0,0,0,0,0,0,0,477778.98118185234,477893.61577615706,486276.07374400896,480794.60643354204,5129.5195990699995,253673.07788083487,253673.07788083487,253673.07788083487,253673.07788083484,0
35-44,Female,Food_price,USD,-15222953.388686437,-14574610.198583309,-14159707.184891151,-14656519.032411719,564081.2061812982,0,0,0,0,0,-15222953.388686437,-14574610.198583309,-14159707.184891151,-14656519.032411719,564081.2061812982,-713438799.5017769,-697230232.4762934,-683688325.732217,-698165902.7504714,15679097.087075913,-10365798.504085712,-9929313.451907758,-9667231.724946823,-9990507.601106713,371466.50485426217,-4857154.884600723,-4645296.74667556,-4492475.459944331,-4666011.431305011,192773.07575277291,29176153.131149534,29591056.144841716,30239399.334944848,29672964.97867012,564081.2061813123,15016445.946258398,15016445.946258398,15016445.946258398,15016445.946258398,0,20431792.33071806,20693874.057678986,21130359.109856937,20755068.206877943,371466.50485425856,10764560.605771232,10764560.605771232,10764560.605771232,10764560.605771232,0,8744360.800431514,8897182.087162739,9109040.225087894,8917896.771792188,192773.07575276683,4251885.3404871775,4251885.3404871775,4251885.3404871775,4251885.3404871775,0,0,0,0,0,0,-4857154.884600723,-4645296.74667556,-4492475.459944331,-4666011.431305011,192773.07575277291,0,0,0,0,0,0,0,0,0,0,8744360.800431514,8897182.087162739,9109040.225087894,8917896.771792188,192773.07575276683,4251885.3404871775,4251885.3404871775,4251885.3404871775,4251885.3404871775,0
35-44,Male,CED,MJ,-23518060.738128737,-22660868.51597979,-20932953.30063697,-22355351.676262643,1386070.3908675523,0,0,0,0,0,-23518060.738128737,-22660868.51597979,-20932953.30063697,-22355351.676262643,1386070.3908675523,-540914230.106731,-523122507.969891,-485384159.46748006,-516123691.7012696,29848237.463594582,-17126457.530979678,-16500280.080312107,-15242769.379590783,-16278759.641696757,1009805.3361710715,-6391603.207149067,-6160588.435667707,-5690183.921046181,-6076592.034565895,376266.65043814975,50308069.92713297,52035985.14247571,52893177.364624724,51730468.30275861,1386070.3908675348,29375116.626495983,29375116.626495983,29375116.626495983,29375116.626495983,0,37455185.035570696,38712695.736292005,39338873.18695959,38491175.29767666,1009805.3361710673,22212415.655979924,22212415.655979924,22212415.655979924,22212415.655979924,0,12852884.891562236,13323289.406183748,13554304.177665122,13239293.005081946,376266.6504381486,7162700.970516054,7162700.970516054,7162700.970516054,7162700.970516053,0,0,0,0,0,0,-6391603.207149067,-6160588.435667707,-5690183.921046181,-6076592.034565895,376266.65043814975,0,0,0,0,0,0,0,0,0,0,12852884.891562236,13323289.406183748,13554304.177665122,13239293.005081946,376266.6504381486,7162700.970516054,7162700.970516054,7162700.970516054,7162700.970516053,0
