race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
HIS,CED,MJ,-39283844.590113044,-38113083.327219054,-37593617.92364216,-38341608.190137334,911341.5298233357,0,0,0,0,0,-39283844.590113044,-38113083.327219054,-37593617.92364216,-38341608.190137334,911341.5298233357,-928026230.9826872,-905352813.2856158,-876241230.4128481,-903093807.9608101,27325385.906657584,-28816610.015100397,-27958904.220882084,-27602876.92589708,-28134931.764472723,656744.6334613214,-10467234.575012658,-10154179.106336983,-9990740.997745084,-10206676.425664624,254873.7746306532,94313515.9942661,94832981.39784297,96003742.660737,95061506.26076126,911341.5298233416,56719898.070623934,56719898.070623934,56719898.070623934,56719898.070623934,0,70704128.99280019,71060156.28778516,71917862.08200347,71236183.8313758,656744.6334613134,43101252.0669031,43101252.0669031,43101252.0669031,43101252.0669031,0,23609387.00146594,23772825.11005783,24085880.578733522,23825322.42938548,254873.77463066066,13618646.003720857,13618646.003720857,13618646.003720857,13618646.003720857,0,0,0,0,0,0,-10467234.575012658,-10154179.106336983,-9990740.997745084,-10206676.425664624,254873.7746306532,0,0,0,0,0,0,0,0,0,0,23609387.00146594,23772825.11005783,24085880.578733522,23825322.42938548,254873.77463066066,13618646.003720857,13618646.003720857,13618646.003720857,13618646.003720857,0
HIS,FL,mrh-eq,-1256589.7792020566,-1220842.5666479298,-1193099.7712457348,-1223651.1340696604,33504.19830754311,0,0,0,0,0,-1256589.7792020566,-1220842.5666479298,-1193099.7712457348,-1223651.1340696604,33504.19830754311,-928026230.9826872,-905352813.2856158,-876241230.4128481,-903093807.9608101,27325385.906657584,-905863.7148517533,-880107.7527715372,-860981.675284178,-882434.0280672765,23707.87861640893,-350726.064350304,-340734.8138763928,-332118.09596155665,-341217.10600238404,9802.57001005427,3197180.9135384117,3224923.708940605,3260670.921494733,3227732.2763623367,33504.19830754271,2004081.1422926765,2004081.1422926765,2004081.1422926765,2004081.1422926765,0,2386416.4593530395,2405542.5368404,2431298.4989206158,2407868.8121361393,23707.87861640934,1525434.7840688627,1525434.7840688627,1525434.7840688627,1525434.7840688627,0,810764.4541853698,819381.172100206,829372.4225741172,819863.4642261971,9802.570010054296,478646.3582238132,478646.3582238132,478646.3582238132,478646.3582238132,0,0,0,0,0,0,-350726.064350304,-340734.8138763928,-332118.09596155665,-341217.10600238404,9802.57001005427,0,0,0,0,0,0,0,0,0,0,810764.4541853698,819381.172100206,829372.4225741172,819863.4642261971,9802.570010054296,478646.3582238132,478646.3582238132,478646.3582238132,478646.3582238132,0
HIS,Food_price,USD,-20327149.598614182,-20284463.60824657,-19361912.723498855,-19975739.083902676,574079.1259120249,0,0,0,0,0,-20327149.598614182,-20284463.60824657,-19361912.723498855,-19975739.083902676,574079.1259120249,-928026230.9826872,-905352813.2856158,-876241230.4128481,-903093807.9608101,27325385.906657584,-13719719.173335051,-13702601.788294002,-13063004.828524906,-13484187.902424512,394011.26449110365,-6607430.425279136,-6581861.8199525885,-6298907.894973934,-6491551.181478165,180234.19101112804,47641767.98786699,48564318.872614704,48607004.86298233,48255594.34827081,574079.1259120307,28279855.264368128,28279855.264368128,28279855.264368128,28279855.264368128,0,33576939.06625949,34216536.02602857,34233653.41106966,33998122.14015911,394011.26449110574,20513934.2377346,20513934.2377346,20513934.2377346,20513934.2377346,0,14064828.921607494,14347782.84658614,14373351.451912683,14257472.208111718,180234.19101112147,7765921.02663355,7765921.02663355,7765921.02663355,7765921.02663355,0,0,0,0,0,0,-6607430.425279136,-6581861.8199525885,-6298907.894973934,-6491551.181478165,180234.19101112804,0,0,0,0,0,0,0,0,0,0,14064828.921607494,14347782.84658614,14373351.451912683,14257472.208111718,180234.19101112147,7765921.02663355,7765921.02663355,7765921.02663355,7765921.02663355,0
NHB,CED,MJ,-32252608.54470651,-32194131.5213648,-31251165.95679595,-31883784.664793868,591645.572058779,0,0,0,0,0,-32252608.54470651,-32194131.5213648,-31251165.95679595,-31883784.664793868,591645.572058779,-934641615.3980316,-933060764.889887,-888738651.8692846,-918063830.6749896,27429186.42762768,-23550831.799579408,-23520427.54324983,-22818287.838043347,-23284730.89452109,436248.8552585276,-8701776.7451271,-8673703.978114964,-8432878.118752602,-8599053.77027278,155592.3634812177,70971583.58299135,71914549.14756018,71973026.17090188,71604202.29098926,591645.5720587678,39720417.626195386,39720417.626195386,39720417.626195386,39720417.626195386,0,53006882.798454195,53709022.50366066,53739426.75999022,53473325.85493192,436248.85525851126,30188594.96041081,30188594.96041081,30188594.96041081,30188594.960410815,0,17964700.78453715,18205526.6438995,18233599.410911642,18130876.43605732,155592.3634812121,9531822.665784547,9531822.665784547,9531822.665784547,9531822.665784547,0,0,0,0,0,0,-8701776.7451271,-8673703.978114964,-8432878.118752602,-8599053.77027278,155592.3634812177,0,0,0,0,0,0,0,0,0,0,17964700.78453715,18205526.6438995,18233599.410911642,18130876.43605732,155592.3634812121,9531822.665784547,9531822.665784547,9531822.665784547,9531822.665784547,0
NHB,FL,mrh-eq,-1054601.7844504525,-1051067.9459557696,-1017050.3732489729,-1040371.8988637999,21826.95204903641,0,0,0,0,0,-1054601.7844504525,-1051067.9459557696,-1017050.3732489729,-1040371.8988637999,21826.95204903641,-934641615.3980316,-933060764.889887,-888738651.8692846,-918063830.6749896,27429186.42762768,-759326.1509181516,-757424.690929663,-732011.1206523317,-749174.8276704199,16053.787607217264,-295275.6335323007,-293643.2550261068,-285039.25259664067,-291197.07119337976,5789.107038688271,2389285.1454595346,2423302.7181663318,2426836.556661014,2412606.671074361,21826.95204903658,1372234.7722105614,1372234.7722105614,1372234.7722105614,1372234.7722105614,0,1777438.7671425838,1802852.3374199152,1804753.7974084036,1794602.474160672,16053.787607217257,1045427.6464902522,1045427.6464902522,1045427.6464902522,1045427.6464902522,0,611846.3783169504,620450.3807464169,622082.7592526108,618004.1969136897,5789.10703868847,326807.12572030997,326807.12572030997,326807.12572030997,326807.12572030997,0,0,0,0,0,0,-295275.6335323007,-293643.2550261068,-285039.25259664067,-291197.07119337976,5789.107038688271,0,0,0,0,0,0,0,0,0,0,611846.3783169504,620450.3807464169,622082.7592526108,618004.1969136897,5789.10703868847,326807.12572030997,326807.12572030997,326807.12572030997,326807.12572030997,0
NHB,Food_price,USD,-21724019.775891826,-21401476.604649693,-20876899.878696024,-21330587.63808424,450059.3905513973,0,0,0,0,0,-21724019.775891826,-21401476.604649693,-20876899.878696024,-21330587.63808424,450059.3905513973,-934641615.3980316,-933060764.889887,-888738651.8692846,-918063830.6749896,27429186.42762768,-14696035.01633593,-14479764.038699733,-14103177.492994191,-14423512.962184174,315810.1177921895,-7027984.759555902,-6921712.565949968,-6773722.38570184,-6907074.675900076,134421.3873943779,40437479.61116239,40962056.337116055,41284599.50835818,40891167.3705506,450059.3905513919,19560579.73246635,19560579.73246635,19560579.73246635,19560579.73246635,0,28048163.150544796,28424749.696250316,28641020.673886526,28368498.619734768,315810.1177921832,13944985.657550598,13944985.657550598,13944985.657550598,13944985.657550598,0,12389316.460617606,12537306.640865738,12643578.834471665,12522668.75081584,134421.3873943778,5615594.074915764,5615594.074915764,5615594.074915764,5615594.074915764,0,0,0,0,0,0,-7027984.759555902,-6921712.565949968,-6773722.38570184,-6907074.675900076,134421.3873943779,0,0,0,0,0,0,0,0,0,0,12389316.460617606,12537306.640865738,12643578.834471665,12522668.75081584,134421.3873943778,5615594.074915764,5615594.074915764,5615594.074915764,5615594.074915764,0
NHW,CED,MJ,-198100688.7098052,-196648663.39931294,-193109118.7203539,-195916200.4630088,2702637.9847973655,0,0,0,0,0,-198100688.7098052,-196648663.39931294,-193109118.7203539,-195916200.4630088,2702637.9847973655,-4975762456.571236,-4914113469.690238,-4795925851.773327,-4894275353.537285,96197429.94818774,-146968016.45325625,-145962227.80554345,-143503125.3149592,-145452293.12383416,1876336.8992348711,-51132672.25654891,-50686435.59376947,-49605993.4053947,-50463907.33917462,826302.4690165719,419159041.56593704,422698586.24489576,424150611.5553884,421966123.30859184,2702637.9847973296,226049922.84558317,226049922.84558317,226049922.84558317,226049922.84558317,0,316083184.0469882,318542286.5375725,319548075.1852854,318032351.8558633,1876336.8992349703,172580058.73202908,172580058.73202908,172580058.73202908,172580058.73202908,0,103075857.51894866,104156299.70732349,104602536.37010293,103933771.45272861,826302.4690166101,53469864.11355397,53469864.11355397,53469864.11355397,53469864.11355397,0,0,0,0,0,0,-51132672.25654891,-50686435.59376947,-49605993.4053947,-50463907.33917462,826302.4690165719,0,0,0,0,0,0,0,0,0,0,103075857.51894866,104156299.70732349,104602536.37010293,103933771.45272861,826302.4690166101,53469864.11355397,53469864.11355397,53469864.11355397,53469864.11355397,0
NHW,FL,mrh-eq,-6430385.255058151,-6366553.674300352,-6226605.949126428,-6339846.255206975,109717.88048507289,0,0,0,0,0,-6430385.255058151,-6366553.674300352,-6226605.949126428,-6339846.255206975,109717.88048507289,-4975762456.571236,-4914113469.690238,-4795925851.773327,-4894275353.537285,96197429.94818774,-4690421.844632472,-4645769.929419259,-4549734.0455779545,-4627740.466742735,75674.54897729114,-1739963.4104256833,-1720783.744881092,-1676871.9035484742,-1712105.7884642407,34045.88620428259,14237093.41002208,14377041.135196004,14440872.715953805,14350333.716102628,109717.8804850742,8010487.460895652,8010487.460895652,8010487.460895652,8010487.460895653,0,10661544.035425192,10757579.919266494,10802231.8344797,10739550.456589969,75674.54897728864,6111809.9898472335,6111809.9898472335,6111809.9898472335,6111809.989847233,0,3575549.374596893,3619461.215929512,3638640.881474102,3610783.259512659,34045.886204282775,1898677.4710484177,1898677.4710484177,1898677.4710484177,1898677.4710484177,0,0,0,0,0,0,-1739963.4104256833,-1720783.744881092,-1676871.9035484742,-1712105.7884642407,34045.88620428259,0,0,0,0,0,0,0,0,0,0,3575549.374596893,3619461.215929512,3638640.881474102,3610783.259512659,34045.886204282775,1898677.4710484177,1898677.4710484177,1898677.4710484177,1898677.4710484177,0
NHW,Food_price,USD,-110140133.22449054,-109393805.28104375,-105473952.57535109,-108280287.8206066,2638429.416272782,0,0,0,0,0,-110140133.22449054,-109393805.28104375,-105473952.57535109,-108280287.8206066,2638429.416272782,-4975762456.571236,-4914113469.690238,-4795925851.773327,-4894275353.537285,96197429.94818774,-74921604.62593327,-74365707.77182579,-71766041.46719302,-73648595.68392219,1773138.291573188,-35218528.59855726,-35028097.50921793,-33707911.10815805,-34631692.1366844,866011.6854101487,229963861.9572201,233883714.66291267,234630042.60635942,232770197.20247555,2638429.416272723,124489909.38186893,124489909.38186893,124489909.38186893,124489909.38186891,0,161957984.34603974,164557650.65067253,165113547.50477996,163840538.5627689,1773138.2915731885,90191942.87884673,90191942.87884673,90191942.87884673,90191942.87884672,0,68005877.6111803,69326064.01224014,69516495.10157947,68929658.63970663,866011.6854101256,34297966.50302225,34297966.50302225,34297966.50302225,34297966.50302225,0,0,0,0,0,0,-35218528.59855726,-35028097.50921793,-33707911.10815805,-34631692.1366844,866011.6854101487,0,0,0,0,0,0,0,0,0,0,68005877.6111803,69326064.01224014,69516495.10157947,68929658.63970663,866011.6854101256,34297966.50302225,34297966.50302225,34297966.50302225,34297966.50302225,0
OTH,CED,MJ,-22392037.055939324,-22356717.292948414,-22296756.247201983,-22348071.228823666,50703.7184923691,0,0,0,0,0,-22392037.055939324,-22356717.292948414,-22296756.247201983,-22348071.228823666,50703.7184923691,-582656186.83558,-577657643.9815204,-565983560.0310974,-575315348.8599894,9006473.01137905,-16725431.253699487,-16675599.94418509,-16666090.113074116,-16689747.831344187,33549.531377651576,-5689863.414267797,-5665842.036633337,-5620392.537410391,-5658323.397479482,37138.87066905292,59163292.46361818,59223253.50936464,59258573.27235554,59214607.44523988,50703.718492376385,36866536.21641622,36866536.21641622,36866536.21641622,36866536.21641622,0,44840305.79062702,44849815.621737964,44899646.93125237,44863963.508897066,33549.531377644314,28174215.677552905,28174215.677552905,28174215.677552905,28174215.677552905,0,14312713.076273708,14358162.575496659,14382183.953131115,14350643.9363428,37138.87066905339,8692320.538863316,8692320.538863316,8692320.538863316,8692320.538863316,0,0,0,0,0,0,-5689863.414267797,-5665842.036633337,-5620392.537410391,-5658323.397479482,37138.87066905292,0,0,0,0,0,0,0,0,0,0,14312713.076273708,14358162.575496659,14382183.953131115,14350643.9363428,37138.87066905339,8692320.538863316,8692320.538863316,8692320.538863316,8692320.538863316,0
