sex_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
Female,HIS,CED,MJ,-20900310.188420754,-20506080.623596832,-20438352.691349544,-20620642.599939514,262598.96843845473,0,0,0,0,0,-20900310.188420754,-20506080.623596832,-20438352.691349544,-20620642.599939514,262598.96843845473,-539926205.3633392,-522001440.9556056,-506327829.8568564,-522791319.3096352,17696581.41143022,-15470665.086863805,-15158604.61387664,-15136712.81080904,-15260418.18226947,196640.81673925728,-5429645.101556966,-5347476.009720194,-5301639.880540511,-5360224.41767005,68269.80178266077,49032049.75712794,49099777.68937521,49494007.25419915,49214339.6657179,262598.96843845746,28593697.065778386,28593697.065778386,28593697.065778386,28593697.065778386,0,37001146.73367184,37023038.536739446,37335099.00972659,37124852.10513226,196640.81673924963,21864433.92286279,21864433.92286279,21864433.92286279,21864433.92286279,0,12030903.023456106,12076739.152635783,12158908.244472563,12089487.560585646,68269.80178266247,6729263.14291559,6729263.14291559,6729263.14291559,6729263.142915589,0,0,0,0,0,0,-5429645.101556966,-5347476.009720194,-5301639.880540511,-5360224.41767005,68269.80178266077,0,0,0,0,0,0,0,0,0,0,12030903.023456106,12076739.152635783,12158908.244472563,12089487.560585646,68269.80178266247,6729263.14291559,6729263.14291559,6729263.14291559,6729263.142915589,0
Female,HIS,FL,mrh-eq,-690294.3981690577,-678195.5092100034,-667008.5224379972,-678515.4748896695,12258.856226503327,0,0,0,0,0,-690294.3981690577,-678195.5092100034,-667008.5224379972,-678515.4748896695,12258.856226503327,-539926205.3633392,-522001440.9556056,-506327829.8568564,-522791319.3096352,17696581.41143022,-501758.79407743056,-491811.71898989,-484741.7318941266,-492821.22354840836,8998.916788018705,-188535.60409162726,-186383.7902201133,-182266.79054387056,-185694.25134126112,3352.980305429538,1686664.7227570887,1697851.7095290942,1709950.5984881478,1698171.6752087602,12258.856226502687,1019656.2003190897,1019656.2003190897,1019656.2003190897,1019656.2003190896,0,1263327.455164338,1270397.4422601028,1280344.5173476422,1271406.9468186202,8998.916788018732,778585.7232702118,778585.7232702118,778585.7232702118,778585.7232702118,0,423337.26759274874,427454.2672689912,429606.08114050544,426764.72839013924,3352.9803054294825,241070.47704887798,241070.47704887798,241070.47704887798,241070.47704887798,0,0,0,0,0,0,-188535.60409162726,-186383.7902201133,-182266.79054387056,-185694.25134126112,3352.980305429538,0,0,0,0,0,0,0,0,0,0,423337.26759274874,427454.2672689912,429606.08114050544,426764.72839013924,3352.9803054294825,241070.47704887798,241070.47704887798,241070.47704887798,241070.47704887798,0
Female,HIS,Food_price,USD,-11376626.18661879,-11099443.826096851,-10634269.284952132,-11033481.657457279,394868.0914350756,0,0,0,0,0,-11376626.18661879,-11099443.826096851,-10634269.284952132,-11033481.657457279,394868.0914350756,-539926205.3633392,-522001440.9556056,-506327829.8568564,-522791319.3096352,17696581.41143022,-7735702.522873063,-7578219.344630547,-7240593.458365979,-7515011.376903512,266271.1204000026,-3640923.66374573,-3521224.481466301,-3393675.8265861603,-3518470.2805537707,130152.29844467122,25041166.314797487,25506340.855942175,25783523.21646413,25440378.68730262,394868.0914350662,14406897.029845342,14406897.029845342,14406897.029845342,14406897.029845342,0,17751877.860745985,18089503.74701055,18246986.92525307,18026295.77928352,266271.12040000496,10511284.402380018,10511284.402380018,10511284.402380018,10511284.402380018,0,7289288.454051497,7416837.108931639,7536536.291211059,7414082.908019106,130152.29844466686,3895612.6274653357,3895612.6274653357,3895612.6274653357,3895612.6274653357,0,0,0,0,0,0,-3640923.66374573,-3521224.481466301,-3393675.8265861603,-3518470.2805537707,130152.29844467122,0,0,0,0,0,0,0,0,0,0,7289288.454051497,7416837.108931639,7536536.291211059,7414082.908019106,130152.29844466686,3895612.6274653357,3895612.6274653357,3895612.6274653357,3895612.6274653357,0
Female,NHB,CED,MJ,-18868578.33088179,-18446766.62677041,-18164792.42769088,-18495832.418009657,372842.92752594815,0,0,0,0,0,-18868578.33088179,-18446766.62677041,-18164792.42769088,-18495832.418009657,372842.92752594815,-580964118.7736759,-572024362.1645494,-552778547.8644962,-568408201.5712419,15161470.23971969,-13858614.745388227,-13540264.621899799,-13323637.567021763,-13575956.926675374,283258.5301515788,-5009963.585493563,-4906502.004870604,-4841154.86066912,-4919875.491334279,89598.39966206324,39732087.70549591,40014061.90457542,40435873.60868679,40063127.69581467,372842.927525939,21567295.277805023,21567295.277805023,21567295.277805023,21567295.277805023,0,29791807.180154376,30008434.235032395,30326784.35852081,30044126.53980797,283258.5301515631,16468169.61313258,16468169.61313258,16468169.61313258,16468169.61313258,0,9940280.525341544,10005627.66954303,10109089.250165988,10019001.156006705,89598.39966206267,5099125.664672425,5099125.664672425,5099125.664672425,5099125.664672425,0,0,0,0,0,0,-5009963.585493563,-4906502.004870604,-4841154.86066912,-4919875.491334279,89598.39966206324,0,0,0,0,0,0,0,0,0,0,9940280.525341544,10005627.66954303,10109089.250165988,10019001.156006705,89598.39966206267,5099125.664672425,5099125.664672425,5099125.664672425,5099125.664672425,0
Female,NHB,FL,mrh-eq,-628462.5407749556,-616134.4398206683,-605119.7536535787,-616595.287114422,12292.158278420313,0,0,0,0,0,-628462.5407749556,-616134.4398206683,-605119.7536535787,-616595.287114422,12292.158278420313,-580964118.7736759,-572024362.1645494,-552778547.8644962,-568408201.5712419,15161470.23971969,-454885.39017712313,-445813.7506990264,-437218.22877155006,-445980.80948871776,9299.631463987971,-173577.15059783257,-170320.689121642,-167901.52488202808,-170614.477625704,2997.9871434494803,1351735.1226212473,1362749.8087883377,1375077.9097426252,1363210.6560820912,12292.158278420717,746615.3689676696,746615.3689676696,746615.3689676696,746615.3689676696,0,1007755.0353189317,1016350.5572464077,1025422.1967245047,1016517.6160360993,9299.631463987886,570536.8065473817,570536.8065473817,570536.8065473817,570536.8065473817,0,343980.0873023159,346399.25154193,349655.71301812044,346693.0400459919,2997.9871434495008,176078.562420288,176078.562420288,176078.562420288,176078.562420288,0,0,0,0,0,0,-173577.15059783257,-170320.689121642,-167901.52488202808,-170614.477625704,2997.9871434494803,0,0,0,0,0,0,0,0,0,0,343980.0873023159,346399.25154193,349655.71301812044,346693.0400459919,2997.9871434495008,176078.562420288,176078.562420288,176078.562420288,176078.562420288,0
Female,NHB,Food_price,USD,-13218429.420923403,-13087271.999299003,-12873546.137203682,-13058300.616677627,183243.3218629231,0,0,0,0,0,-13218429.420923403,-13087271.999299003,-12873546.137203682,-13058300.616677627,183243.3218629231,-580964118.7736759,-572024362.1645494,-552778547.8644962,-568408201.5712419,15161470.23971969,-8980132.910657914,-8881502.091916565,-8721509.809549736,-8859971.753802361,137388.56963839702,-4238296.510265496,-4205769.9073824445,-4152036.3276539417,-4198328.862875269,45855.15875490564,24246944.918519534,24460670.78061487,24591828.202239256,24431699.397993486,183243.32186292543,11373398.781315858,11373398.781315858,11373398.781315858,11373398.781315858,0,16896818.63544898,17056810.917815793,17155441.736557145,17035280.5797016,137388.56963838876,8175308.825899241,8175308.825899241,8175308.825899241,8175308.825899241,0,7350126.283070562,7403859.862799068,7436386.465682113,7396418.818291889,45855.158754903925,3198089.95541662,3198089.95541662,3198089.95541662,3198089.95541662,0,0,0,0,0,0,-4238296.510265496,-4205769.9073824445,-4152036.3276539417,-4198328.862875269,45855.15875490564,0,0,0,0,0,0,0,0,0,0,7350126.283070562,7403859.862799068,7436386.465682113,7396418.818291889,45855.158754903925,3198089.95541662,3198089.95541662,3198089.95541662,3198089.95541662,0
Female,NHW,CED,MJ,-107576770.1856244,-106831103.8332375,-105274877.67667648,-106546696.88440448,1236305.7651746608,0,0,0,0,0,-107576770.1856244,-106831103.8332375,-105274877.67667648,-106546696.88440448,1236305.7651746608,-2810902401.956825,-2794232401.439305,-2718456346.4989333,-2773493434.975147,51864894.07272752,-80572569.59118055,-79909662.69956939,-78890396.44951697,-79784624.3281865,891951.879788858,-27004200.594443865,-26921441.133668117,-26384481.227159575,-26762072.556218013,354167.1628869175,221769422.25223374,223325648.4087947,224071314.7611817,223041241.45996174,1236305.7651746797,116494544.57555732,116494544.57555732,116494544.57555732,116494544.5755573,0,168473702.60059613,169492968.85064864,170155875.74225983,169367930.47926572,891951.879788934,89583306.1510793,89583306.1510793,89583306.1510793,89583306.1510793,0,53295719.65163755,53832679.55814608,53915439.01892187,53673310.98069599,354167.16288692877,26911238.424477976,26911238.424477976,26911238.424477976,26911238.424477976,0,0,0,0,0,0,-27004200.594443865,-26921441.133668117,-26384481.227159575,-26762072.556218013,354167.1628869175,0,0,0,0,0,0,0,0,0,0,53295719.65163755,53832679.55814608,53915439.01892187,53673310.98069599,354167.16288692877,26911238.424477976,26911238.424477976,26911238.424477976,26911238.424477976,0
Female,NHW,FL,mrh-eq,-3506352.126600986,-3505100.0166675625,-3421554.4644851703,-3476225.12465038,51158.45528725871,0,0,0,0,0,-3506352.126600986,-3505100.0166675625,-3421554.4644851703,-3476225.12465038,51158.45528725871,-2810902401.956825,-2794232401.439305,-2718456346.4989333,-2773493434.975147,51864894.07272752,-2576732.723391684,-2573898.72630066,-2516343.1633383646,-2554698.1768721435,35870.83973478093,-932304.2425586922,-928218.135534248,-905062.1434051719,-921526.9477782367,15464.66026635241,7557310.338192935,7640855.890375328,7642108.000308746,7611980.998358143,51158.45528725759,4135755.873707763,4135755.873707763,4135755.873707763,4135755.8737077625,0,5687137.874968289,5744693.43793058,5747527.435021605,5725492.888502066,35870.83973477855,3170794.711629923,3170794.711629923,3170794.711629923,3170794.711629923,0,1870023.3054830125,1893179.2976120897,1897265.4046365335,1886488.1098560782,15464.660266352954,964961.1620778407,964961.1620778407,964961.1620778407,964961.1620778408,0,0,0,0,0,0,-932304.2425586922,-928218.135534248,-905062.1434051719,-921526.9477782367,15464.66026635241,0,0,0,0,0,0,0,0,0,0,1870023.3054830125,1893179.2976120897,1897265.4046365335,1886488.1098560782,15464.660266352954,964961.1620778407,964961.1620778407,964961.1620778407,964961.1620778408,0
Female,NHW,Food_price,USD,-61728288.17581378,-60633074.30255939,-59560641.79773025,-60641067.76516474,1140887.5168619421,0,0,0,0,0,-61728288.17581378,-60633074.30255939,-59560641.79773025,-60641067.76516474,1140887.5168619421,-2810902401.956825,-2794232401.439305,-2718456346.4989333,-2773493434.975147,51864894.07272752,-42129391.04183461,-41402528.69428087,-40651674.68579907,-41394110.56763945,777779.6181988728,-19598897.13397919,-19230545.60827853,-18908967.111931175,-19246957.197525304,363399.10909073724,124623069.4258206,125695501.93064979,126790715.80390406,125703495.39325507,1140887.5168619084,65062427.6280903,65062427.6280903,65062427.6280903,65062427.6280903,0,87904370.27653344,88655224.28501527,89382086.632569,88646806.15837383,777779.6181988915,47252695.59073443,47252695.59073443,47252695.59073443,47252695.59073443,0,36718699.14928711,37040277.64563445,37408629.17133512,37056689.23488124,363399.10909073584,17809732.037355945,17809732.037355945,17809732.037355945,17809732.037355945,0,0,0,0,0,0,-19598897.13397919,-19230545.60827853,-18908967.111931175,-19246957.197525304,363399.10909073724,0,0,0,0,0,0,0,0,0,0,36718699.14928711,37040277.64563445,37408629.17133512,37056689.23488124,363399.10909073584,17809732.037355945,17809732.037355945,17809732.037355945,17809732.037355945,0
Female,OTH,CED,MJ,-12970063.859435722,-12577547.470538624,-12117783.791089144,-12553951.929993927,449033.65440415614,0,0,0,0,0,-12970063.859435722,-12577547.470538624,-12117783.791089144,-12553951.929993927,449033.65440415614,-355647897.13333553,-354202729.7345401,-330822139.3200439,-346506090.0799083,14668127.82076918,-9777681.366173124,-9493994.914066978,-9120762.267622994,-9462575.196755456,346815.965130571,-3192382.4932625988,-3083552.5564716477,-2997021.523466154,-3091376.733238475,103044.58809059537,30683396.4799895,31143160.159438983,31535676.548336074,31119564.618894283,449033.65440415626,18565612.688900348,18565612.688900348,18565612.688900348,18565612.688900348,0,23431804.145987827,23805036.792431794,24088723.24453793,23773617.07512027,346815.96513055795,14311041.878364826,14311041.878364826,14311041.878364826,14311041.878364826,0,7251592.334001688,7338123.367007181,7446953.3037981335,7345947.543774009,103044.58809059518,4254570.810535531,4254570.810535531,4254570.810535531,4254570.810535531,0,0,0,0,0,0,-3192382.4932625988,-3083552.5564716477,-2997021.523466154,-3091376.733238475,103044.58809059537,0,0,0,0,0,0,0,0,0,0,7251592.334001688,7338123.367007181,7446953.3037981335,7345947.543774009,103044.58809059518,4254570.810535531,4254570.810535531,4254570.810535531,4254570.810535531,0
