sex_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
Female,added_sugar,CED,MJ,-45236386.41364272,-44696928.277934134,-43354799.34971864,-44415289.4033703,1019903.0442270237,0,0,0,0,0,-45236386.41364272,-44696928.277934134,-43354799.34971864,-44415289.4033703,1019903.0442270237,-1807788994.533415,-1785891407.6985283,-1732664257.4678957,-1774898578.436863,40669285.18134332,-29984269.390496764,-29626385.652861103,-28736614.242991265,-29439758.399445605,676258.4177430886,-15252117.023145951,-15070542.625073016,-14618185.106727405,-14975531.003924707,343644.6502294056,77580439.87220995,78922568.80042544,79462026.93613404,78640929.92586161,1019903.0442270186,34225640.52249132,34225640.52249132,34225640.52249132,34225640.52249132,0,51423791.23910156,52313562.6489714,52671446.38660708,52126935.395555906,676258.4177430928,22687176.996110313,22687176.996110313,22687176.996110313,22687176.99611031,0,26156648.63310838,26609006.151454028,26790580.549526937,26513994.530305702,343644.6502294162,11538463.52638099,11538463.52638099,11538463.52638099,11538463.526380992,0,0,0,0,0,0,-15252117.023145951,-15070542.625073016,-14618185.106727405,-14975531.003924707,343644.6502294056,0,0,0,0,0,0,0,0,0,0,26156648.63310838,26609006.151454028,26790580.549526937,26513994.530305702,343644.6502294162,11538463.52638099,11538463.52638099,11538463.52638099,11538463.526380992,0
Female,added_sugar,FL,mrh-eq,-2128209.9960559164,-2100918.6957643195,-2040541.861861788,-2089309.7366025879,47223.71443792651,0,0,0,0,0,-2128209.9960559164,-2100918.6957643195,-2040541.861861788,-2089309.7366025879,47223.71443792651,-1807788994.533415,-1785891407.6985283,-1732664257.4678957,-1774898578.436863,40669285.18134332,-1410723.0783712033,-1392618.343157112,-1352590.0918938187,-1384925.8813854621,31313.169441184884,-717486.917684713,-708300.3526072082,-687951.7699679688,-704383.8552171258,15910.546012715327,3656731.537222841,3717108.371125374,3744399.6714169686,3705499.4119636416,47223.71443792628,1616189.6753610524,1616189.6753610524,1616189.6753610524,1616189.6753610524,0,2423967.71401365,2463995.9652769407,2482100.700491032,2456303.503505292,31313.169441183345,1071377.6221198298,1071377.6221198298,1071377.6221198298,1071377.6221198298,0,1232763.8232091912,1253112.405848432,1262298.9709259365,1249195.908458349,15910.546012715897,544812.0532412236,544812.0532412236,544812.0532412236,544812.0532412236,0,0,0,0,0,0,-717486.917684713,-708300.3526072082,-687951.7699679688,-704383.8552171258,15910.546012715327,0,0,0,0,0,0,0,0,0,0,1232763.8232091912,1253112.405848432,1262298.9709259365,1249195.908458349,15910.546012715897,544812.0532412236,544812.0532412236,544812.0532412236,544812.0532412236,0
Female,added_sugar,Food_price,USD,-77524775.75043218,-77276217.09017865,-75652322.79240952,-76793643.18227844,1070453.876167147,0,0,0,0,0,-77524775.75043218,-77276217.09017865,-75652322.79240952,-76793643.18227844,1070453.876167147,-1807788994.533415,-1785891407.6985283,-1732664257.4678957,-1774898578.436863,40669285.18134332,-51383545.99216914,-51218995.129311316,-50142276.91984568,-50898936.41120332,709667.8373221079,-26141229.758263048,-26057221.960867338,-25510045.87256385,-25894706.771075133,360786.07090176974,135326279.729599,136950174.0273682,137198732.68762153,136467600.11946788,1070453.8761671223,59673956.93718939,59673956.93718939,59673956.93718939,59673956.93718939,0,89696753.77452455,90773471.98399024,90938022.84684807,90453413.26588221,709667.8373221403,39554476.85467896,39554476.85467896,39554476.85467896,39554476.85467896,0,45629525.95507435,46176702.04337782,46260709.84077354,46014186.85358562,360786.0709017621,20119480.082510505,20119480.082510505,20119480.082510505,20119480.082510505,0,0,0,0,0,0,-26141229.758263048,-26057221.960867338,-25510045.87256385,-25894706.771075133,360786.07090176974,0,0,0,0,0,0,0,0,0,0,45629525.95507435,46176702.04337782,46260709.84077354,46014186.85358562,360786.0709017621,20119480.082510505,20119480.082510505,20119480.082510505,20119480.082510505,0
Female,oil,CED,MJ,-2874089.6792188385,-2775505.6409828356,-2664802.75026198,-2771253.412040782,110212.55485077016,0,0,0,0,0,-2874089.6792188385,-2775505.6409828356,-2664802.75026198,-2771253.412040782,110212.55485077016,-309952303.33221376,-299236567.59617573,-287374890.1760102,-298834482.7947275,11887949.999914907,-2396657.090710034,-2314829.7349632615,-2222166.2697523874,-2311027.591291647,91896.28476004775,-477432.5885088058,-460675.9060195714,-442636.4805095932,-460225.820749135,18317.888630807323,40810915.53996331,40921618.430684164,41020202.46892017,40917366.20174211,110212.55485077127,38146112.78970133,38146112.78970133,38146112.78970133,38146112.78970133,0,34045228.461222105,34137891.926432975,34219719.282179736,34134089.78276136,91896.28476004061,31823062.19146972,31823062.19146972,31823062.19146972,31823062.191469718,0,6765687.078741213,6783726.504251186,6800483.186740423,6783276.418980752,18317.888630805614,6323050.5982316155,6323050.5982316155,6323050.5982316155,6323050.598231616,0,0,0,0,0,0,-477432.5885088058,-460675.9060195714,-442636.4805095932,-460225.820749135,18317.888630807323,0,0,0,0,0,0,0,0,0,0,6765687.078741213,6783726.504251186,6800483.186740423,6783276.418980752,18317.888630805614,6323050.5982316155,6323050.5982316155,6323050.5982316155,6323050.598231616,0
Female,oil,FL,mrh-eq,-146049.16937120698,-140192.84165802965,-134131.4842077164,-140120.90139938545,6272.775279745823,0,0,0,0,0,-146049.16937120698,-140192.84165802965,-134131.4842077164,-140120.90139938545,6272.775279745823,-309952303.33221376,-299236567.59617573,-287374890.1760102,-298834482.7947275,11887949.999914907,-121787.88959230199,-116922.67042464347,-111850.89798782935,-116850.19559336081,5230.372188602758,-24261.27977890486,-23270.17123338616,-22280.58621988714,-23270.705806024645,1042.4703970169858,2090669.3571762445,2096730.7146265572,2102587.0423397357,2096658.7743679136,6272.775279746225,1956537.872968527,1956537.872968527,1956537.872968527,1956537.8729685273,0,1744053.554217986,1749125.3266548002,1753990.5458224586,1749052.8518235174,5230.372188602759,1632202.656230156,1632202.656230156,1632202.656230156,1632202.656230156,0,346615.8029582583,347605.38797175715,348596.49651727616,347605.9225443958,1042.4703970170422,324335.216738371,324335.216738371,324335.216738371,324335.216738371,0,0,0,0,0,0,-24261.27977890486,-23270.17123338616,-22280.58621988714,-23270.705806024645,1042.4703970169858,0,0,0,0,0,0,0,0,0,0,346615.8029582583,347605.38797175715,348596.49651727616,347605.9225443958,1042.4703970170422,324335.216738371,324335.216738371,324335.216738371,324335.216738371,0
Female,oil,Food_price,USD,-2110494.834478063,-1904364.6771863005,-1870059.9435279323,-1964654.2995138075,136892.9684708082,0,0,0,0,0,-2110494.834478063,-1904364.6771863005,-1870059.9435279323,-1964654.2995138075,136892.9684708082,-309952303.33221376,-299236567.59617573,-287374890.1760102,-298834482.7947275,11887949.999914907,-1759966.7922554198,-1588207.8299990233,-1559398.052326137,-1638365.4386248162,114150.2499537408,-350528.04222264345,-316156.8471872787,-310661.8912017967,-326288.86088899197,22743.028668807063,30566636.69447679,30600941.428135134,30807071.585426904,30661231.050462652,136892.96847080445,28696576.750948854,28696576.750948854,28696576.750948854,28696576.750948858,0,25499413.658854738,25528223.43652764,25699982.398784027,25578381.04515342,114150.24995374016,23940015.606528625,23940015.606528625,23940015.606528625,23940015.606528625,0,5067223.0356220305,5072717.991607515,5107089.186642879,5082850.005309227,22743.028668807125,4756561.144420235,4756561.144420235,4756561.144420235,4756561.144420235,0,0,0,0,0,0,-350528.04222264345,-316156.8471872787,-310661.8912017967,-326288.86088899197,22743.028668807063,0,0,0,0,0,0,0,0,0,0,5067223.0356220305,5072717.991607515,5107089.186642879,5082850.005309227,22743.028668807125,4756561.144420235,4756561.144420235,4756561.144420235,4756561.144420235,0
Female,sat_fat,CED,MJ,-112040441.55725984,-111152948.25021525,-109916708.32832618,-111030581.01693648,1122766.6940839,0,0,0,0,0,-112040441.55725984,-111152948.25021525,-109916708.32832618,-111030581.01693648,1122766.6940839,-2156492121.400327,-2140516207.0199275,-2115847159.0401077,-2137465984.7043417,21554563.60375937,-87121569.381382,-86434602.98311381,-85457465.7159474,-86332788.64314954,880271.2039647902,-24918872.175877854,-24718345.26710148,-24459242.612378772,-24697792.373786975,242564.2340873403,222766104.62417454,224002344.54606363,224889837.8531082,223879977.31278488,1122766.6940839016,112849396.29584846,112849396.29584846,112849396.29584846,112849396.29584844,0,173174178.09380692,174151315.36097312,174838281.75924146,174049501.02100897,880271.203964765,87716712.37785947,87716712.37785947,87716712.37785947,87716712.37785947,0,49591926.530367695,49851029.1850904,50051556.09386679,49830476.291775905,242564.2340873474,25132683.917988915,25132683.917988915,25132683.917988915,25132683.917988915,0,0,0,0,0,0,-24918872.175877854,-24718345.26710148,-24459242.612378772,-24697792.373786975,242564.2340873403,0,0,0,0,0,0,0,0,0,0,49591926.530367695,49851029.1850904,50051556.09386679,49830476.291775905,242564.2340873474,25132683.917988915,25132683.917988915,25132683.917988915,25132683.917988915,0
Female,sat_fat,FL,mrh-eq,-2980837.1883367384,-2956207.9043528195,-2924883.2879774785,-2953858.664917233,29519.61391882174,0,0,0,0,0,-2980837.1883367384,-2956207.9043528195,-2924883.2879774785,-2953858.664917233,29519.61391882174,-2156492121.400327,-2140516207.0199275,-2115847159.0401077,-2137465984.7043417,21554563.60375937,-2317668.6411548452,-2298596.746043087,-2273825.815400814,-2296597.084453433,23140.06314334961,-663168.5471818935,-657611.158309731,-651057.4725766634,-657261.5804637993,6381.435098508206,5926945.599251758,5958270.215627101,5982899.499611023,5955920.976191514,29519.613918824507,3002062.311274284,3002062.311274284,3002062.311274284,3002062.311274284,0,4607083.884827886,4631854.815470158,4650926.710581917,4629855.153880504,23140.063143350057,2333258.0694270716,2333258.0694270716,2333258.0694270716,2333258.0694270716,0,1319861.7144238744,1326415.4001569422,1331972.7890291053,1326065.822311011,6381.435098508545,668804.2418472114,668804.2418472114,668804.2418472114,668804.2418472114,0,0,0,0,0,0,-663168.5471818935,-657611.158309731,-651057.4725766634,-657261.5804637993,6381.435098508206,0,0,0,0,0,0,0,0,0,0,1319861.7144238744,1326415.4001569422,1331972.7890291053,1326065.822311011,6381.435098508545,668804.2418472114,668804.2418472114,668804.2418472114,668804.2418472114,0
Female,sat_fat,Food_price,USD,-13052554.798366928,-12934846.107443599,-12710862.765791211,-12897556.756310597,182714.38457604317,0,0,0,0,0,-13052554.798366928,-12934846.107443599,-12710862.765791211,-12897556.756310597,182714.38457604317,-2156492121.400327,-2140516207.0199275,-2115847159.0401077,-2137465984.7043417,21554563.60375937,-10149444.800347809,-10058709.07543924,-9881803.923291743,-10028474.188688738,143276.5527996538,-2903109.998019124,-2876137.0320043694,-2829058.842499458,-2869082.5676218583,39450.21631397023,25851156.2477274,26075139.589379817,26192848.280303102,26037850.238246787,182714.3845760417,13140293.481936198,13140293.481936198,13140293.481936198,13140293.481936196,0,20095960.953347847,20272866.105495337,20363601.83040389,20242631.218744833,143276.55279964118,10214157.030056084,10214157.030056084,10214157.030056084,10214157.030056084,0,5755195.294379568,5802273.483884478,5829246.449899232,5795219.019501966,39450.21631396952,2926136.4518801086,2926136.4518801086,2926136.4518801086,2926136.4518801086,0,0,0,0,0,0,-2903109.998019124,-2876137.0320043694,-2829058.842499458,-2869082.5676218583,39450.21631397023,0,0,0,0,0,0,0,0,0,0,5755195.294379568,5802273.483884478,5829246.449899232,5795219.019501966,39450.21631396952,2926136.4518801086,2926136.4518801086,2926136.4518801086,2926136.4518801086,0
Male,added_sugar,CED,MJ,-36044944.7688306,-35644534.5020026,-34306946.326735035,-35315700.14816415,958040.1945780972,0,0,0,0,0,-36044944.7688306,-35644534.5020026,-34306946.326735035,-35315700.14816415,958040.1945780972,-1399042906.4147592,-1381046689.9523978,-1328664005.790905,-1368981262.6895447,38487083.51388131,-23891308.88885282,-23624433.34449655,-22740112.36025014,-23407785.82172808,634277.8018945237,-12153635.87997777,-12020101.157506054,-11566833.966484882,-11907914.32643607,323764.546938427,67034398.01873496,68371986.19400254,68772396.46083052,68043151.84016408,958040.1945781027,32727451.69199997,32727451.69199997,32727451.69199997,32727451.69199997,0,44434517.37407954,45318838.358325936,45585713.90268218,45102190.83555746,634277.8018945056,21694405.01382937,21694405.01382937,21694405.01382937,21694405.01382937,0,22599880.644655455,23053147.83567664,23186682.558148354,22940961.00460665,323764.5469384354,11033046.678170571,11033046.678170571,11033046.678170571,11033046.678170571,0,0,0,0,0,0,-12153635.87997777,-12020101.157506054,-11566833.966484882,-11907914.32643607,323764.546938427,0,0,0,0,0,0,0,0,0,0,22599880.644655455,23053147.83567664,23186682.558148354,22940961.00460665,323764.5469384354,11033046.678170571,11033046.678170571,11033046.678170571,11033046.678170571,0
