age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,HIS,added_sugar,CED,MJ,-2338855.253711377,-2247511.584265504,-2172502.4458124405,-2253242.9986489457,87694.69145587838,0,0,0,0,0,-2338855.253711377,-2247511.584265504,-2172502.4458124405,-2253242.9986489457,87694.69145587838,-91518036.340089,-87943812.0495862,-85008748.39060493,-88168078.93783937,3431441.9187577968,-1549509.0394108528,-1488993.177527243,-1439299.0641839737,-1492790.2822782397,58098.38676575145,-789346.214300531,-758518.406738257,-733203.3816284685,-760452.716370708,29596.304690129695,3976529.6164623867,4051538.7549154502,4142882.4243613365,4057270.1692988966,87694.69145588533,1804027.170649948,1804027.170649948,1804027.170649948,1804027.1706499483,0,2634480.5119580952,2684174.62530136,2744690.4871849744,2687971.73005236,58098.38676575161,1195181.447774122,1195181.447774122,1195181.447774122,1195181.447774122,0,1342049.1045042963,1367364.129614086,1398191.937176359,1369298.4392465362,29596.304690129724,608845.7228758291,608845.7228758291,608845.7228758291,608845.7228758291,0,0,0,0,0,0,-789346.214300531,-758518.406738257,-733203.3816284685,-760452.716370708,29596.304690129695,0,0,0,0,0,0,0,0,0,0,1342049.1045042963,1367364.129614086,1398191.937176359,1369298.4392465362,29596.304690129724,608845.7228758291,608845.7228758291,608845.7228758291,608845.7228758291,0
20-34,Female,HIS,added_sugar,FL,mrh-eq,-101381.30118860576,-97421.8684494183,-94170.48123965396,-97670.30547728606,3801.262140110009,0,0,0,0,0,-101381.30118860576,-97421.8684494183,-94170.48123965396,-97670.30547728606,3801.262140110009,-91518036.340089,-87943812.0495862,-85008748.39060493,-88168078.93783937,3431441.9187577968,-67165.86773367037,-64542.714030347095,-62388.64576803794,-64707.30541315907,2518.364502430852,-34215.4334549354,-32879.1544190712,-31781.835471616123,-32963.00006412704,1282.8976376791104,172368.8313298816,175620.218539646,179579.65127883365,175868.6555675138,3801.262140110156,78198.3500902276,78198.3500902276,78198.3500902276,78198.3500902276,0,114195.63559331525,116349.7038556244,118972.85755894786,116514.29523843643,2518.36450243095,51806.9898252774,51806.9898252774,51806.9898252774,51806.98982527739,0,58173.19573656633,59270.5146840215,60606.7937198857,59354.360329077295,1282.8976376791613,26391.3602649503,26391.3602649503,26391.3602649503,26391.3602649503,0,0,0,0,0,0,-34215.4334549354,-32879.1544190712,-31781.835471616123,-32963.00006412704,1282.8976376791104,0,0,0,0,0,0,0,0,0,0,58173.19573656633,59270.5146840215,60606.7937198857,59354.360329077295,1282.8976376791613,26391.3602649503,26391.3602649503,26391.3602649503,26391.3602649503,0
20-34,Female,HIS,added_sugar,Food_price,USD,-3604062.734459661,-3429462.7683536,-3381345.8138149953,-3473842.7724123565,123359.57113020241,0,0,0,0,0,-3604062.734459661,-3429462.7683536,-3381345.8138149953,-3473842.7724123565,123359.57113020241,-91518036.340089,-87943812.0495862,-85008748.39060493,-88168078.93783937,3431441.9187577968,-2387718.426263148,-2272044.647249737,-2240166.806204132,-2301446.7307472127,81726.63539600167,-1216344.3081965111,-1157418.121103865,-1141179.007610866,-1172396.0416651447,41632.935734198494,6118865.179749335,6166982.13428793,6341582.100393983,6211362.138346687,123359.5711301932,2737519.36593433,2737519.36593433,2737519.36593433,2737519.36593433,0,4053793.7916049827,4085671.6326505803,4201345.411663995,4115073.71614806,81726.63539600116,1813626.9854008518,1813626.9854008518,1813626.9854008518,1813626.9854008518,0,2065071.3881443492,2081310.50163735,2140236.6887299963,2096288.422198629,41632.935734199214,923892.3805334831,923892.3805334831,923892.3805334831,923892.3805334832,0,0,0,0,0,0,-1216344.3081965111,-1157418.121103865,-1141179.007610866,-1172396.0416651447,41632.935734198494,0,0,0,0,0,0,0,0,0,0,2065071.3881443492,2081310.50163735,2140236.6887299963,2096288.422198629,41632.935734199214,923892.3805334831,923892.3805334831,923892.3805334831,923892.3805334832,0
20-34,Female,HIS,oil,CED,MJ,-80610.38700527053,-68709.4078875922,-64861.057938963735,-71534.89180655706,8642.744888667557,0,0,0,0,0,-80610.38700527053,-68709.4078875922,-64861.057938963735,-71534.89180655706,8642.744888667557,-8543943.226058181,-7282551.31747821,-6874662.400223224,-7582026.05127645,916049.710085777,-67231.3671715288,-57305.6103740953,-54095.97650415906,-59662.14473462065,7208.296307296768,-13379.019833741684,-11403.79751349692,-10765.081434804668,-11872.747071936397,1434.44858137076,2065434.3155855183,2069282.6655341499,2081183.6446518267,2072108.149453113,8642.744888668036,2000573.257646555,2000573.257646555,2000573.257646555,2000573.257646555,0,1722631.2637691037,1725840.897639041,1735766.6544364735,1728197.4319995658,7208.296307296679,1668535.287264945,1668535.287264945,1668535.287264945,1668535.287264945,0,342803.0518164166,343441.767895109,345416.9902153535,343910.71745354834,1434.4485813706435,332037.97038161196,332037.97038161196,332037.97038161196,332037.97038161196,0,0,0,0,0,0,-13379.019833741684,-11403.79751349692,-10765.081434804668,-11872.747071936397,1434.44858137076,0,0,0,0,0,0,0,0,0,0,342803.0518164166,343441.767895109,345416.9902153535,343910.71745354834,1434.4485813706435,332037.97038161196,332037.97038161196,332037.97038161196,332037.97038161196,0
20-34,Female,HIS,oil,FL,mrh-eq,-4160.900351090336,-3546.60249161189,-3347.960588908713,-3692.446686971634,446.1162088117731,0,0,0,0,0,-4160.900351090336,-3546.60249161189,-3347.960588908713,-3692.446686971634,446.1162088117731,-8543943.226058181,-7282551.31747821,-6874662.400223224,-7582026.05127645,916049.710085777,-3470.3098404676703,-2957.96786472975,-2792.294839299225,-3079.6060929077835,372.0736712730738,-690.590510622664,-588.6346268821419,-555.665749609491,-612.8405940638511,74.04253753869675,106612.39435945047,106811.0362621537,107425.33412163207,106956.8804575134,446.11620881174554,103264.4337705417,103264.4337705417,103264.4337705417,103264.4337705417,0,88917.78462429921,89083.4576497298,89595.7996254676,89205.09587790776,372.07367127303627,86125.489785,86125.489785,86125.489785,86125.489785,0,17694.60973515121,17727.57861242387,17829.534496164393,17751.784579605577,74.04253753870103,17138.94398554173,17138.94398554173,17138.94398554173,17138.94398554173,0,0,0,0,0,0,-690.590510622664,-588.6346268821419,-555.665749609491,-612.8405940638511,74.04253753869675,0,0,0,0,0,0,0,0,0,0,17694.60973515121,17727.57861242387,17829.534496164393,17751.784579605577,74.04253753870103,17138.94398554173,17138.94398554173,17138.94398554173,17138.94398554173,0
20-34,Female,HIS,oil,Food_price,USD,-43376.01075654011,-35072.220246034005,-16548.181071446426,-31486.1680831984,14457.409732612003,0,0,0,0,0,-43376.01075654011,-35072.220246034005,-16548.181071446426,-31486.1680831984,14457.409732612003,-8543943.226058181,-7282551.31747821,-6874662.400223224,-7582026.05127645,916049.710085777,-36176.83296097405,-29251.234294752496,-13801.656076438534,-26260.364276474458,12057.893010970518,-7199.177795566138,-5820.98595128157,-2746.5249950079037,-5225.803806723991,2399.5167216415184,1372915.4125850198,1391439.4517596131,1399743.2422701225,1387853.3995967766,14457.409732616967,1356367.23151358,1356367.23151358,1356367.23151358,1356367.23151358,0,1145050.7016288107,1160500.2798471241,1167425.878513345,1157509.409828846,12057.893010969932,1131249.045552372,1131249.045552372,1131249.045552372,1131249.045552372,0,227864.71095621472,230939.1719124886,232317.36375677303,230343.9897679309,2399.516721641566,225118.18596120708,225118.18596120708,225118.18596120708,225118.18596120705,0,0,0,0,0,0,-7199.177795566138,-5820.98595128157,-2746.5249950079037,-5225.803806723991,2399.5167216415184,0,0,0,0,0,0,0,0,0,0,227864.71095621472,230939.1719124886,232317.36375677303,230343.9897679309,2399.516721641566,225118.18596120708,225118.18596120708,225118.18596120708,225118.18596120705,0
20-34,Female,HIS,sat_fat,CED,MJ,-5342770.421765724,-5294724.7370424,-4995125.527255622,-5206460.342283294,198296.08750624277,0,0,0,0,0,-5342770.421765724,-5294724.7370424,-4995125.527255622,-5206460.342283294,198296.08750624277,-101918230.47862443,-101001715.11625999,-95286586.27788255,-99317991.08958876,3782679.1634426774,-4092284.0625576368,-4055483.5687413597,-3826006.1675843615,-3987877.6363411066,151884.48211502098,-1250486.359208091,-1239241.1683010352,-1169119.3596712586,-1218582.7059421858,46411.6053912229,10970766.655436542,11270365.86522332,11318411.549946643,11182101.470464213,198296.0875062421,5975641.12818093,5975641.12818093,5975641.12818093,5975641.128180931,0,8403036.251601513,8632513.65275852,8669314.146574778,8564907.720358258,151884.48211501967,4577030.08401714,4577030.08401714,4577030.08401714,4577030.08401714,0,2567730.4038350303,2637852.2124648103,2649097.403371867,2617193.7501059603,46411.605391225094,1398611.044163776,1398611.044163776,1398611.044163776,1398611.0441637759,0,0,0,0,0,0,-1250486.359208091,-1239241.1683010352,-1169119.3596712586,-1218582.7059421858,46411.6053912229,0,0,0,0,0,0,0,0,0,0,2567730.4038350303,2637852.2124648103,2649097.403371867,2617193.7501059603,46411.605391225094,1398611.044163776,1398611.044163776,1398611.044163776,1398611.0441637759,0
20-34,Female,HIS,sat_fat,FL,mrh-eq,-146259.59117649862,-144944.3293084609,-136742.73079662843,-142528.07083695396,5428.401821723275,0,0,0,0,0,-146259.59117649862,-144944.3293084609,-136742.73079662843,-142528.07083695396,5428.401821723275,-101918230.47862443,-101001715.11625999,-95286586.27788255,-99317991.08958876,3782679.1634426774,-112027.23432199645,-111019.8121878293,-104737.81460456486,-109169.08396007586,4157.873257982064,-34232.35685450216,-33924.5171206317,-32004.916192063578,-33358.98687687814,1270.5285637412253,300327.30573263514,308528.90424446703,309844.16611250583,306112.6457729607,5428.401821723343,163584.5749360064,163584.5749360064,163584.5749360064,163584.5749360064,0,230035.08475558975,236317.0823388538,237324.50447302058,234466.3541111004,4157.8732579817015,125297.27015102471,125297.27015102471,125297.27015102471,125297.27015102473,0,70292.22097704528,72211.8219056135,72519.66163948405,71646.29166185994,1270.5285637413194,38287.3047849817,38287.3047849817,38287.3047849817,38287.3047849817,0,0,0,0,0,0,-34232.35685450216,-33924.5171206317,-32004.916192063578,-33358.98687687814,1270.5285637412253,0,0,0,0,0,0,0,0,0,0,70292.22097704528,72211.8219056135,72519.66163948405,71646.29166185994,1270.5285637413194,38287.3047849817,38287.3047849817,38287.3047849817,38287.3047849817,0
20-34,Female,HIS,sat_fat,Food_price,USD,-809358.8750252315,-808257.338472633,-772059.2595826358,-795942.7622138966,22341.16238073526,0,0,0,0,0,-809358.8750252315,-808257.338472633,-772059.2595826358,-795942.7622138966,22341.16238073526,-101918230.47862443,-101001715.11625999,-95286586.27788255,-99317991.08958876,3782679.1634426774,-619926.7727586002,-619083.0530920841,-591357.2086999562,-609650.7286269572,17112.167570823676,-189432.10226663118,-189174.2853805486,-180702.05088267953,-186292.0335869393,5228.994809911451,1652741.2053398392,1688939.284229835,1690040.8207824305,1676624.707971098,22341.162380733607,880681.945757201,880681.945757201,880681.945757201,880681.945757201,0,1265913.7414160597,1293639.585808184,1294483.3054746983,1284207.2613430577,17112.167570821068,674556.532716103,674556.532716103,674556.532716103,674556.532716103,0,386827.46392377716,395299.6984216462,395557.51530772867,392417.4466280369,5228.994809911416,206125.41304109758,206125.41304109758,206125.41304109758,206125.41304109758,0,0,0,0,0,0,-189432.10226663118,-189174.2853805486,-180702.05088267953,-186292.0335869393,5228.994809911451,0,0,0,0,0,0,0,0,0,0,386827.46392377716,395299.6984216462,395557.51530772867,392417.4466280369,5228.994809911416,206125.41304109758,206125.41304109758,206125.41304109758,206125.41304109758,0
20-34,Female,NHB,added_sugar,CED,MJ,-2070652.0738206108,-2008339.027375261,-1941868.7052461465,-2006880.3341528876,67792.49135518688,0,0,0,0,0,-2070652.0738206108,-2008339.027375261,-1941868.7052461465,-2006880.3341528876,67792.49135518688,-80208864.49596642,-77795103.7479119,-75220306.59678082,-77738599.7468324,2626012.7530353027,-1369149.3356052747,-1327946.920569526,-1283995.646219209,-1326982.4085293266,44825.51447028833,-701502.7382153368,-680392.106805736,-657873.0590269412,-679897.9256235627,22966.976884896903,3223169.9403664656,3289640.26249558,3351953.308940921,3288181.5692732036,67792.49135518238,1281301.235120317,1281301.235120317,1281301.235120317,1281301.235120317,0,2131213.175882856,2175164.45023317,2216366.865268923,2174199.9381929734,44825.51447028922,847217.529663644,847217.529663644,847217.529663644,847217.5296636441,0,1091956.7644836141,1114475.812262408,1135586.4436720079,1113981.6310802347,22966.976884895972,434083.705456673,434083.705456673,434083.705456673,434083.705456673,0,0,0,0,0,0,-701502.7382153368,-680392.106805736,-657873.0590269412,-679897.9256235627,22966.976884896903,0,0,0,0,0,0,0,0,0,0,1091956.7644836141,1114475.812262408,1135586.4436720079,1113981.6310802347,22966.976884895972,434083.705456673,434083.705456673,434083.705456673,434083.705456673,0
