age_gp,sex_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,added_sugar,CED,MJ,-11089130.568839112,-11033605.661976472,-10965965.72809896,-11029354.775304588,64928.05014465928,0,0,0,0,0,-11089130.568839112,-11033605.661976472,-10965965.72809896,-11029354.775304588,64928.05014465928,-439024065.3460803,-436816754.3993391,-433774327.80040014,-436523731.36348027,2774648.6396830804,-7345085.553608712,-7308211.213244999,-7263284.739438433,-7305385.903265051,43122.531992481534,-3744045.015230413,-3725394.448731474,-3702680.9886605274,-3723968.8720395416,21805.518260975456,20005718.830256194,20073358.764133707,20128883.670996357,20069107.877461825,64928.0501446666,9039753.102157233,9039753.102157233,9039753.102157233,9039753.102157233,0,13251349.083922273,13296275.55772883,13333149.89809255,13293450.247748887,43122.53199248039,5988064.344483834,5988064.344483834,5988064.344483834,5988064.344483834,0,6754369.746333918,6777083.206404861,6795733.772903801,6775657.629712931,21805.51826097421,3051688.757673391,3051688.757673391,3051688.757673391,3051688.7576733916,0,0,0,0,0,0,-3744045.015230413,-3725394.448731474,-3702680.9886605274,-3723968.8720395416,21805.518260975456,0,0,0,0,0,0,0,0,0,0,6754369.746333918,6777083.206404861,6795733.772903801,6775657.629712931,21805.51826097421,3051688.757673391,3051688.757673391,3051688.757673391,3051688.7576733916,0
20-34,Female,added_sugar,FL,mrh-eq,-490474.34792644094,-487727.8841131116,-484253.6216376671,-487472.51616149227,3281.5272097681823,0,0,0,0,0,-490474.34792644094,-487727.8841131116,-484253.6216376671,-487472.51616149227,3281.5272097681823,-439024065.3460803,-436816754.3993391,-433774327.80040014,-436523731.36348027,2774648.6396830804,-324888.5497086202,-323065.49268601974,-320759.0299959419,-322895.87666234345,2178.389627142085,-165585.7982178208,-164662.39142709132,-163494.5916417256,-164576.6394991488,1103.1375871782748,886205.2653948257,889679.5278702695,892425.9916835991,889424.1599186505,3281.5272097679017,401951.6437571579,401951.6437571579,401951.6437571579,401951.6437571579,0,587027.4205984814,589333.8832885593,591156.9403111603,589164.2672648832,2178.389627142392,266268.3906025399,266268.3906025399,266268.3906025399,266268.3906025399,0,299177.8447963439,300345.6445817096,301269.05137243937,300259.8926537671,1103.1375871783853,135683.25315461837,135683.25315461837,135683.25315461837,135683.25315461837,0,0,0,0,0,0,-165585.7982178208,-164662.39142709132,-163494.5916417256,-164576.6394991488,1103.1375871782748,0,0,0,0,0,0,0,0,0,0,299177.8447963439,300345.6445817096,301269.05137243937,300259.8926537671,1103.1375871783853,135683.25315461837,135683.25315461837,135683.25315461837,135683.25315461837,0
20-34,Female,added_sugar,Food_price,USD,-21653024.713270545,-21442728.783890996,-21191090.711907562,-21428222.768942263,243447.5068793917,0,0,0,0,0,-21653024.713270545,-21442728.783890996,-21191090.711907562,-21428222.768942263,243447.5068793917,-439024065.3460803,-436816754.3993391,-433774327.80040014,-436523731.36348027,2774648.6396830804,-14342614.487223078,-14203012.07999241,-14036534.479520107,-14193582.187626923,161301.6047563218,-7310410.226047466,-7239716.7038985845,-7154556.232387452,-7234640.581315339,82146.12941774714,38855675.16719087,39107313.23917439,39317609.16855391,39092807.22422562,243447.50687942674,17664584.455283348,17664584.455283348,17664584.455283348,17664584.455283348,0,25738149.76260242,25904627.36307471,26044229.77030535,25895197.470709216,161301.60475630066,11701615.283082321,11701615.283082321,11701615.283082321,11701615.283082321,0,13117525.404588496,13202685.876099631,13273379.398248516,13197609.753516385,82146.12941775087,5962969.172201037,5962969.172201037,5962969.172201037,5962969.172201037,0,0,0,0,0,0,-7310410.226047466,-7239716.7038985845,-7154556.232387452,-7234640.581315339,82146.12941774714,0,0,0,0,0,0,0,0,0,0,13117525.404588496,13202685.876099631,13273379.398248516,13197609.753516385,82146.12941775087,5962969.172201037,5962969.172201037,5962969.172201037,5962969.172201037,0
20-34,Female,oil,CED,MJ,-832223.8924382331,-822031.9147025009,-801205.5327082996,-818300.5447872486,16642.19757328514,0,0,0,0,0,-832223.8924382331,-822031.9147025009,-801205.5327082996,-818300.5447872486,16642.19757328514,-89211886.98974252,-88020175.25649683,-85812261.29864639,-87663613.072425,1815726.7082967074,-694492.6291354849,-685953.244175294,-668570.6290474244,-682850.3563971611,13905.275726433558,-137731.26330274765,-136078.6705272086,-132634.90366087508,-135450.18839008771,2736.9593332089335,10858387.827181788,10879214.209175995,10889406.186911728,10875482.83926074,16642.197573288813,10057182.294473495,10057182.294473495,10057182.294473495,10057182.294473495,0,9058871.195057502,9076253.81018537,9084793.195145566,9073150.92240724,13905.275726435666,8390300.56601008,8390300.56601008,8390300.56601008,8390300.56601008,0,1799516.6321242931,1802960.3989906255,1804612.9917661648,1802331.9168535052,2736.9593332084128,1666881.7284634183,1666881.7284634183,1666881.7284634183,1666881.728463418,0,0,0,0,0,0,-137731.26330274765,-136078.6705272086,-132634.90366087508,-135450.18839008771,2736.9593332089335,0,0,0,0,0,0,0,0,0,0,1799516.6321242931,1802960.3989906255,1804612.9917661648,1802331.9168535052,2736.9593332084128,1666881.7284634183,1666881.7284634183,1666881.7284634183,1666881.728463418,0
20-34,Female,oil,FL,mrh-eq,-43580.43707388552,-42991.160504755484,-41941.0281137113,-42829.456707592624,874.1371318457643,0,0,0,0,0,-43580.43707388552,-42991.160504755484,-41941.0281137113,-42829.456707592624,874.1371318457643,-89211886.98974252,-88020175.25649683,-85812261.29864639,-87663613.072425,1815726.7082967074,-36367.59048613349,-35874.10025587441,-34997.60213639765,-35739.711522815574,730.3788767767187,-7212.846587752016,-7117.060248881093,-6943.425977313608,-7089.745184777036,143.75992369685008,569731.3170470255,570781.4494380697,571370.7260071993,570619.7456409066,874.1371318455091,527790.2889333132,527790.2889333132,527790.2889333132,527790.2889333132,0,475308.9024893978,476185.4006088742,476678.8908391338,476051.0118758157,730.3788767767915,440311.300353,440311.300353,440311.300353,440311.300353,0,94422.4145576273,94596.04882919473,94691.83516806565,94568.7337650907,143.7599236968252,87478.98858031358,87478.98858031358,87478.98858031358,87478.98858031358,0,0,0,0,0,0,-7212.846587752016,-7117.060248881093,-6943.425977313608,-7089.745184777036,143.75992369685008,0,0,0,0,0,0,0,0,0,0,94422.4145576273,94596.04882919473,94691.83516806565,94568.7337650907,143.7599236968252,87478.98858031358,87478.98858031358,87478.98858031358,87478.98858031358,0
20-34,Female,oil,Food_price,USD,-591689.7400684124,-568740.6792941864,-521712.10802257305,-560291.7282424715,37550.126283883335,0,0,0,0,0,-591689.7400684124,-568740.6792941864,-521712.10802257305,-560291.7282424715,37550.126283883335,-89211886.98974252,-88020175.25649683,-85812261.29864639,-87663613.072425,1815726.7082967074,-493721.7466861728,-474629.86129797646,-435419.30383049493,-467570.6781122624,31288.55589383681,-97967.99338223993,-94110.81799620947,-86292.8041920793,-92721.05013020958,6261.5976889988515,7679816.212732308,7726844.7840039255,7749793.844778161,7718395.832952212,37550.12628389009,7158104.104709743,7158104.104709743,7158104.104709743,7158104.104709742,0,6407260.008011341,6446470.565478823,6465562.450867023,6439411.38229311,31288.55589383869,5971840.704180854,5971840.704180854,5971840.704180854,5971840.704180854,0,1272556.2047209723,1280374.2185251028,1284231.3939111328,1278984.4506591025,6261.597688998741,1186263.4005288929,1186263.4005288929,1186263.4005288929,1186263.4005288929,0,0,0,0,0,0,-97967.99338223993,-94110.81799620947,-86292.8041920793,-92721.05013020958,6261.5976889988515,0,0,0,0,0,0,0,0,0,0,1272556.2047209723,1280374.2185251028,1284231.3939111328,1278984.4506591025,6261.597688998741,1186263.4005288929,1186263.4005288929,1186263.4005288929,1186263.4005288929,0
20-34,Female,sat_fat,CED,MJ,-28629395.63685418,-27408344.985973578,-27020310.69608161,-27700631.42842573,883906.5526757627,0,0,0,0,0,-28629395.63685418,-27408344.985973578,-27020310.69608161,-27700631.42842573,883906.5526757627,-560446184.4995538,-536640388.4538141,-528847264.11243165,-542258869.7535886,17328185.623153154,-22274682.877865266,-21325755.673519198,-21018291.982504975,-21550830.59047774,689388.61700805,-6354712.7589889495,-6082589.312454384,-6002018.7135766605,-6149800.837948013,194540.38512700913,56092652.91832621,56480687.208218075,57701737.85909865,56772973.65067025,883906.5526757082,29072342.222244535,29072342.222244535,29072342.222244535,29072342.222244535,0,43623849.36160767,43931313.05262183,44880240.25696789,44156387.96958039,689388.6170080197,22605557.37910263,22605557.37910263,22605557.37910263,22605557.37910263,0,12468803.55671853,12549374.155596258,12821497.60213082,12616585.681089884,194540.3851270083,6466784.843141871,6466784.843141871,6466784.843141871,6466784.8431418715,0,0,0,0,0,0,-6354712.7589889495,-6082589.312454384,-6002018.7135766605,-6149800.837948013,194540.38512700913,0,0,0,0,0,0,0,0,0,0,12468803.55671853,12549374.155596258,12821497.60213082,12616585.681089884,194540.3851270083,6466784.843141871,6466784.843141871,6466784.843141871,6466784.8431418715,0
20-34,Female,sat_fat,FL,mrh-eq,-754673.0609185307,-722505.1703122562,-712698.5057372658,-730351.2145337594,23113.223017694505,0,0,0,0,0,-754673.0609185307,-722505.1703122562,-712698.5057372658,-730351.2145337594,23113.223017694505,-560446184.4995538,-536640388.4538141,-528847264.11243165,-542258869.7535886,17328185.623153154,-587076.4358018843,-562082.8984792993,-554303.3084052227,-568122.879970004,18024.692250995773,-167596.62511664594,-160422.27183295775,-158395.19733204308,-162228.33456375552,5089.170682514858,1480208.5590835041,1490015.2236584956,1522183.1142647709,1497861.2678799985,23113.223017695305,767510.053346239,767510.053346239,767510.053346239,767510.053346239,0,1150998.7618599345,1158778.3519340113,1183771.8892565956,1164818.3334247158,18024.69225099552,596695.453454712,596695.453454712,596695.453454712,596695.453454712,0,329209.79722357023,331236.871724485,338411.22500817315,333042.9344552827,5089.170682514865,170814.599891527,170814.599891527,170814.599891527,170814.599891527,0,0,0,0,0,0,-167596.62511664594,-160422.27183295775,-158395.19733204308,-162228.33456375552,5089.170682514858,0,0,0,0,0,0,0,0,0,0,329209.79722357023,331236.871724485,338411.22500817315,333042.9344552827,5089.170682514865,170814.599891527,170814.599891527,170814.599891527,170814.599891527,0
20-34,Female,sat_fat,Food_price,USD,-3565759.549899825,-3465744.8986534085,-3367621.117556832,-3466408.361863879,104284.9683183965,0,0,0,0,0,-3565759.549899825,-3465744.8986534085,-3367621.117556832,-3466408.361863879,104284.9683183965,-560446184.4995538,-536640388.4538141,-528847264.11243165,-542258869.7535886,17328185.623153154,-2772354.0355370003,-2694677.9763123253,-2617412.388821651,-2694822.00148215,81548.33050123096,-793405.5143628264,-771066.9223410869,-750208.7287351788,-771586.3603817296,22739.600314247986,6989948.94484727,7088072.725943848,7188087.37719027,7088736.1891543195,104284.96831840022,3622327.8272904386,3622327.8272904386,3622327.8272904386,3622327.8272904386,0,5432101.970099347,5509367.557590013,5587043.616814684,5509511.5827598395,81548.33050122515,2814689.581277687,2814689.581277687,2814689.581277687,2814689.581277687,0,1557846.9747479304,1578705.1683538388,1601043.7603755777,1579224.606394481,22739.600314247866,807638.2460127509,807638.2460127509,807638.2460127509,807638.2460127509,0,0,0,0,0,0,-793405.5143628264,-771066.9223410869,-750208.7287351788,-771586.3603817296,22739.600314247986,0,0,0,0,0,0,0,0,0,0,1557846.9747479304,1578705.1683538388,1601043.7603755777,1579224.606394481,22739.600314247866,807638.2460127509,807638.2460127509,807638.2460127509,807638.2460127509,0
20-34,Male,added_sugar,CED,MJ,-9475003.510353908,-9103248.487446053,-8246322.4053811915,-8933013.028092718,663266.6807037075,0,0,0,0,0,-9475003.510353908,-9103248.487446053,-8246322.4053811915,-8933013.028092718,663266.6807037075,-360788994.48695004,-346690411.79039586,-314014276.9325175,-340171972.43554527,25257214.3066783,-6271330.61063486,-6025270.830054829,-5457965.737966115,-5912553.176893887,439075.43657841126,-3203672.899719053,-3077977.6573912157,-2788356.6674150783,-3020459.8511988297,224191.24560611873,17921612.354455106,18778538.436519973,19150293.459427826,18608302.977166634,663266.6807037116,9675289.949073922,9675289.949073922,9675289.949073922,9675289.949073922,0,11862254.343832847,12429559.435921572,12675619.2165016,12316841.782760626,439075.43657841644,6404288.605866733,6404288.605866733,6404288.605866733,6404288.605866733,0,6059358.010622255,6348979.000598397,6474674.242926234,6291461.19440601,224191.2456061213,3271001.34320718,3271001.34320718,3271001.34320718,3271001.34320718,0,0,0,0,0,0,-3203672.899719053,-3077977.6573912157,-2788356.6674150783,-3020459.8511988297,224191.24560611873,0,0,0,0,0,0,0,0,0,0,6059358.010622255,6348979.000598397,6474674.242926234,6291461.19440601,224191.2456061213,3271001.34320718,3271001.34320718,3271001.34320718,3271001.34320718,0
