age_gp,race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,HIS,added_sugar,CED,MJ,-4212777.652514221,-4105721.024506648,-4049864.3663462643,-4123685.9262074158,87143.89525593142,0,0,0,0,0,-4212777.652514221,-4105721.024506648,-4049864.3663462643,-4123685.9262074158,87143.89525593142,-163526916.13707808,-159359279.765629,-157322209.5409112,-160106846.83465752,3329191.2945671333,-2787309.4406958967,-2716443.6323602227,-2679854.2449776926,-2728470.446729747,57506.4573786851,-1425468.211818315,-1389277.3921464272,-1370010.1213685807,-1395215.4794776698,29638.022259419417,7788960.722960914,7844817.381121281,7951874.009128852,7862782.282822053,87143.89525592302,3739096.3566146363,3739096.3566146363,3739096.3566146363,3739096.3566146363,0,5153410.22891533,5189999.61629787,5260865.424633533,5202026.430667386,57506.45737868302,2473555.983937639,2473555.983937639,2473555.983937639,2473555.983937639,0,2635550.4940455784,2654817.7648234246,2691008.5844953163,2660755.852154669,29638.022259421105,1265540.372676999,1265540.372676999,1265540.372676999,1265540.372676999,0,0,0,0,0,0,-1425468.211818315,-1389277.3921464272,-1370010.1213685807,-1395215.4794776698,29638.022259419417,0,0,0,0,0,0,0,0,0,0,2635550.4940455784,2654817.7648234246,2691008.5844953163,2660755.852154669,29638.022259421105,1265540.372676999,1265540.372676999,1265540.372676999,1265540.372676999,0
20-34,HIS,added_sugar,FL,mrh-eq,-169277.18245398768,-164853.6185946664,-163936.85191995214,-166084.0737471601,3005.9193238904895,0,0,0,0,0,-169277.18245398768,-164853.6185946664,-163936.85191995214,-166084.0737471601,3005.9193238904895,-163526916.13707808,-159359279.765629,-157322209.5409112,-160106846.83465752,3329191.2945671333,-112012.53286228956,-109084.0836158027,-108491.93695341982,-109903.83890847077,1984.2895518057665,-57264.649591698144,-55769.534978863696,-55444.91496653231,-56180.23483868933,1021.6655751067384,312912.75577792194,313829.5224526358,318253.0863119572,315059.97760512965,3005.919323890391,148975.9038579694,148975.9038579694,148975.9038579694,148975.9038579694,0,207057.0598340374,207649.2064964201,210577.65574290688,208468.9617890882,1984.2895518056314,98565.1228806175,98565.1228806175,98565.1228806175,98565.1228806175,0,105855.6959438844,106180.3159562158,107675.43056905034,106591.01581604146,1021.6655751067937,50410.7809773521,50410.7809773521,50410.7809773521,50410.78097735209,0,0,0,0,0,0,-57264.649591698144,-55769.534978863696,-55444.91496653231,-56180.23483868933,1021.6655751067384,0,0,0,0,0,0,0,0,0,0,105855.6959438844,106180.3159562158,107675.43056905034,106591.01581604146,1021.6655751067937,50410.7809773521,50410.7809773521,50410.7809773521,50410.78097735209,0
20-34,HIS,added_sugar,Food_price,USD,-7037577.055213245,-6941918.84650417,-6846548.827250378,-6942019.965611286,100541.21074966436,0,0,0,0,0,-7037577.055213245,-6941918.84650417,-6846548.827250378,-6942019.965611286,100541.21074966436,-163526916.13707808,-159359279.765629,-157322209.5409112,-160106846.83465752,3329191.2945671333,-4655686.682188176,-4592401.422126442,-4529813.659468953,-4592646.158057756,66249.29836249372,-2381890.3730250606,-2349517.42437773,-2316735.167781431,-2349373.8075535307,34292.43883722697,13102859.364016319,13198229.38327013,13293887.591979185,13198330.502377233,100541.2107496648,6256310.5367659405,6256310.5367659405,6256310.5367659405,6256310.5367659405,0,8668077.440026868,8730665.202684369,8793950.462746095,8730909.938615676,66249.2983624965,4138263.780557925,4138263.780557925,4138263.780557925,4138263.780557925,0,4434781.923989468,4467564.180585763,4499937.129233094,4467420.563761566,34292.43883722463,2118046.7562080324,2118046.7562080324,2118046.7562080324,2118046.7562080324,0,0,0,0,0,0,-2381890.3730250606,-2349517.42437773,-2316735.167781431,-2349373.8075535307,34292.43883722697,0,0,0,0,0,0,0,0,0,0,4434781.923989468,4467564.180585763,4499937.129233094,4467420.563761566,34292.43883722463,2118046.7562080324,2118046.7562080324,2118046.7562080324,2118046.7562080324,0
20-34,HIS,oil,CED,MJ,117713.88139031499,188334.8382837698,252601.8606662591,186105.38757816787,71019.92316883952,0,0,0,0,0,117713.88139031499,188334.8382837698,252601.8606662591,186105.38757816787,71019.92316883952,12928991.943786014,20598687.04412059,27599134.242948808,20363863.219030637,7723805.211322292,98631.60042392295,157717.0264964296,211507.32159150022,155859.08580259237,59430.059842380244,19082.280966392034,30617.811787340677,41094.53907475943,30246.3017755758,11589.865610000563,3797064.675865402,3861331.6982478937,3931952.655141348,3863561.148953495,71019.92316884018,4049666.536531664,4049666.536531664,4049666.536531664,4049666.536531664,0,3171135.3482826306,3224925.6433777018,3284011.069450207,3226783.584071538,59430.05984237984,3382642.66987413,3382642.66987413,3382642.66987413,3382642.66987413,0,625929.3275827729,636406.054870192,647941.5856911405,636777.5648819567,11589.86561000064,667023.8666575319,667023.8666575319,667023.8666575319,667023.8666575319,0,0,0,0,0,0,19082.280966392034,30617.811787340677,41094.53907475943,30246.3017755758,11589.865610000563,0,0,0,0,0,0,0,0,0,0,625929.3275827729,636406.054870192,647941.5856911405,636777.5648819567,11589.86561000064,667023.8666575319,667023.8666575319,667023.8666575319,667023.8666575319,0
20-34,HIS,oil,FL,mrh-eq,6217.204459247735,9920.035637040352,13296.206066440016,9805.417830586683,3727.1123455840593,0,0,0,0,0,6217.204459247735,9920.035637040352,13296.206066440016,9805.417830586683,3727.1123455840593,12928991.943786014,20598687.04412059,27599134.242948808,20363863.219030637,7723805.211322292,5209.15643374437,8307.14342771886,11132.907737584223,8211.626696452498,3118.861005592374,1008.0480255033572,1612.892209321488,2163.2983288558025,1593.7911341341842,608.2514555276442,197320.9426145263,200697.11304392602,204399.94422171856,200811.73085037965,3727.112345584025,210617.1486809663,210617.1486809663,210617.1486809663,210617.14868096626,0,164795.26846841566,167621.0327782812,170719.01977225562,167716.54950954748,3118.861005592431,175928.17620599997,175928.17620599997,175928.17620599997,175928.176206,0,32525.674146110454,33076.08026564476,33680.92444946288,33095.18134083207,608.2514555276321,34688.97247496625,34688.97247496625,34688.97247496625,34688.97247496625,0,0,0,0,0,0,1008.0480255033572,1612.892209321488,2163.2983288558025,1593.7911341341842,608.2514555276442,0,0,0,0,0,0,0,0,0,0,32525.674146110454,33076.08026564476,33680.92444946288,33095.18134083207,608.2514555276321,34688.97247496625,34688.97247496625,34688.97247496625,34688.97247496625,0
20-34,HIS,oil,Food_price,USD,87080.94760461341,88388.49844820879,122337.49796140124,99841.63833227793,21040.64834488343,0,0,0,0,0,87080.94760461341,88388.49844820879,122337.49796140124,99841.63833227793,21040.64834488343,12928991.943786014,20598687.04412059,27599134.242948808,20363863.219030637,7723805.211322292,72887.2650426949,74047.89493362393,102426.22224477062,83597.96420387573,17609.840043403754,14193.682561918644,14340.60351458398,19911.2757166307,16243.674128402008,3431.0204591220086,2283618.723012437,2317567.722525633,2318875.273369218,2306114.582641559,21040.648344882175,2405956.22097384,2405956.22097384,2405956.22097384,2405956.22097384,0,1906824.93969638,1935203.267007525,1936363.8968984557,1925653.1977372745,17609.840043403383,2009251.1619411511,2009251.1619411511,2009251.1619411511,2009251.1619411511,0,376793.7833160565,382364.4555181031,382511.37647076877,380461.38490428525,3431.02045912205,396705.0590326871,396705.0590326871,396705.0590326871,396705.05903268716,0,0,0,0,0,0,14193.682561918644,14340.60351458398,19911.2757166307,16243.674128402008,3431.0204591220086,0,0,0,0,0,0,0,0,0,0,376793.7833160565,382364.4555181031,382511.37647076877,380461.38490428525,3431.02045912205,396705.0590326871,396705.0590326871,396705.0590326871,396705.05903268716,0
20-34,HIS,sat_fat,CED,MJ,-10567611.600798573,-10195329.259090599,-9988557.144850474,-10253403.023114406,308887.4122546188,0,0,0,0,0,-10567611.600798573,-10195329.259090599,-9988557.144850474,-10253403.023114406,308887.4122546188,-203430286.12857157,-196181640.3585191,-192286546.84615687,-197358325.3612174,5952994.453769238,-8076929.186557392,-7793160.919392101,-7634321.524322317,-7836995.611355436,236024.29000987895,-2490682.414241181,-2402168.3396985037,-2354235.6205281513,-2416407.4117589686,72865.13994599399,22160025.834583394,22366797.94882352,22739080.290531497,22424871.712847326,308887.41225462075,12171468.68973293,12171468.68973293,12171468.68973293,12171468.68973293,0,16936681.921251155,17095521.316320933,17379289.58348623,17139356.008284274,236024.29000988038,9302360.39692883,9302360.39692883,9302360.39692883,9302360.39692883,0,5223343.913332238,5271276.632502589,5359790.707045264,5285515.704563053,72865.13994599247,2869108.292804092,2869108.292804092,2869108.292804092,2869108.292804092,0,0,0,0,0,0,-2490682.414241181,-2402168.3396985037,-2354235.6205281513,-2416407.4117589686,72865.13994599399,0,0,0,0,0,0,0,0,0,0,5223343.913332238,5271276.632502589,5359790.707045264,5285515.704563053,72865.13994599247,2869108.292804092,2869108.292804092,2869108.292804092,2869108.292804092,0
20-34,HIS,sat_fat,FL,mrh-eq,-290314.1798521747,-280041.24907721917,-274408.1671115139,-281669.2662032719,8489.480323742499,0,0,0,0,0,-290314.1798521747,-280041.24907721917,-274408.1671115139,-281669.2662032719,8489.480323742499,-203430286.12857157,-196181640.3585191,-192286546.84615687,-197358325.3612174,5952994.453769238,-221888.2899376712,-214057.8227949329,-209730.41835096842,-215286.9676015202,6486.81433272446,-68425.88991450358,-65983.4262822863,-64677.74876054551,-66382.29860175174,2002.7213478037177,608808.0073906882,614441.089356394,624714.0201313482,616069.1064824461,8489.48032374199,334399.8402791738,334399.8402791738,334399.8402791738,334399.8402791738,0,465302.2229714347,469629.6274153983,477460.09455813793,470858.7722219864,6486.81433272481,255571.80462046622,255571.80462046622,255571.80462046622,255571.80462046622,0,143505.78441925324,144811.46194099408,147253.92557321137,145210.3342604595,2002.7213478037643,78828.0356587077,78828.0356587077,78828.0356587077,78828.0356587077,0,0,0,0,0,0,-68425.88991450358,-65983.4262822863,-64677.74876054551,-66382.29860175174,2002.7213478037177,0,0,0,0,0,0,0,0,0,0,143505.78441925324,144811.46194099408,147253.92557321137,145210.3342604595,2002.7213478037643,78828.0356587077,78828.0356587077,78828.0356587077,78828.0356587077,0
20-34,HIS,sat_fat,Food_price,USD,-1379025.90981077,-1323726.046609928,-1322497.0243379697,-1342698.2714972554,33987.39720413573,0,0,0,0,0,-1379025.90981077,-1323726.046609928,-1322497.0243379697,-1342698.2714972554,33987.39720413573,-203430286.12857157,-196181640.3585191,-192286546.84615687,-197358325.3612174,5952994.453769238,-1054381.0391688072,-1012086.9648609774,-1011272.1508201486,-1026641.0912704514,25954.81868106981,-324644.8706419634,-311639.0817489519,-311224.8735178214,-316057.18022680486,8032.924354446841,2867231.902685576,2868460.924957537,2923760.788158378,2887433.149844864,33987.39720413609,1544734.878347607,1544734.878347607,1544734.878347607,1544734.878347607,0,2192277.4864724814,2193092.300513315,2235386.3748211428,2207646.4269227865,25954.818681070123,1181005.335652339,1181005.335652339,1181005.335652339,1181005.335652339,0,674954.416213089,675368.6244442196,688374.4133372311,679786.7229220726,8032.924354446841,363729.5426952677,363729.5426952677,363729.5426952677,363729.54269526777,0,0,0,0,0,0,-324644.8706419634,-311639.0817489519,-311224.8735178214,-316057.18022680486,8032.924354446841,0,0,0,0,0,0,0,0,0,0,674954.416213089,675368.6244442196,688374.4133372311,679786.7229220726,8032.924354446841,363729.5426952677,363729.5426952677,363729.5426952677,363729.54269526777,0
20-34,NHB,added_sugar,CED,MJ,-3687718.6118697007,-3619839.353066583,-3439140.1552988766,-3580253.4095702358,135247.82691511422,0,0,0,0,0,-3687718.6118697007,-3619839.353066583,-3439140.1552988766,-3580253.4095702358,135247.82691511422,-141596376.94660646,-138971310.15617502,-132060125.87409358,-137467409.28191188,5185310.745362177,-2439341.208415459,-2394455.014705515,-2274905.8527777633,-2368257.4819975123,89469.30710355371,-1248377.4034542437,-1225384.338361069,-1164234.302521117,-1211995.927572726,45778.52129601426,5910257.646069528,6090956.843837241,6158836.102640345,6051370.900340888,135247.82691511212,2471117.490770651,2471117.490770651,2471117.490770651,2471117.490770651,0,3909556.463872086,4029105.6257998347,4073991.8195097838,4002908.0930918343,89469.30710355425,1634650.61109432,1634650.61109432,1634650.61109432,1634650.61109432,0,2000701.1821974479,2061851.218037399,2084844.2831305717,2048462.8072490555,45778.52129601284,836466.8796763311,836466.8796763311,836466.8796763311,836466.8796763312,0,0,0,0,0,0,-1248377.4034542437,-1225384.338361069,-1164234.302521117,-1211995.927572726,45778.52129601426,0,0,0,0,0,0,0,0,0,0,2000701.1821974479,2061851.218037399,2084844.2831305717,2048462.8072490555,45778.52129601284,836466.8796763311,836466.8796763311,836466.8796763311,836466.8796763312,0
