age_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,HIS,CED,MJ,-14370508.665847398,-14225406.632689869,-13982198.847335625,-14190983.561743654,206536.37600728357,0,0,0,0,0,-14370508.665847398,-14225406.632689869,-13982198.847335625,-14190983.561743654,206536.37600728357,-339308532.6929489,-338915497.9094721,-333352024.6680062,-337101308.9768443,3506666.878216498,-10549005.889329672,-10426483.112977657,-10255863.335644705,-10409606.972282592,154976.2415432174,-3821502.7765177335,-3798923.5197122097,-3726335.511690918,-3781376.5894610635,52342.451536709414,33942430.43021484,34185638.21556908,34330740.24872663,34151215.14462287,206536.37600728986,19960231.58287923,19960231.58287923,19960231.58287923,19960231.58287923,0,25414422.386385318,25585042.163718253,25707564.940070283,25568166.0230232,154976.24154321375,15158559.0507406,15158559.0507406,15158559.0507406,15158559.0507406,0,8528008.043829532,8600596.05185083,8623175.308656346,8583049.121599678,52342.45153670998,4801672.532138623,4801672.532138623,4801672.532138623,4801672.532138623,0,0,0,0,0,0,-3821502.7765177335,-3798923.5197122097,-3726335.511690918,-3781376.5894610635,52342.451536709414,0,0,0,0,0,0,0,0,0,0,8528008.043829532,8600596.05185083,8623175.308656346,8583049.121599678,52342.45153670998,4801672.532138623,4801672.532138623,4801672.532138623,4801672.532138623,0
20-34,HIS,FL,mrh-eq,-441187.64485617745,-439631.2150446571,-433277.4003974232,-437947.92211984535,4411.129250059314,0,0,0,0,0,-441187.64485617745,-439631.2150446571,-433277.4003974232,-437947.92211984535,4411.129250059314,-339308532.6929489,-338915497.9094721,-333352024.6680062,-337101308.9768443,3506666.878216498,-319401.4480612167,-317917.3411372134,-313759.47444073664,-316979.1798135385,3078.603824340834,-121786.19679496085,-121713.87390744372,-119517.92595668661,-120968.74230630689,1357.06969347794,1127270.293215533,1133624.1078627678,1135180.537674287,1131940.8149379555,4411.129250059404,693992.8928181095,693992.8928181095,693992.8928181095,693992.8928181095,0,843824.5781478201,847982.4448442962,849466.5517683008,847044.2835206221,3078.6038243410585,530065.1037070837,530065.1037070837,530065.1037070837,530065.1037070837,0,283445.71506771265,285641.66301846993,285713.985905987,284896.531417333,1357.0696934780271,163927.78911102604,163927.78911102604,163927.78911102604,163927.78911102604,0,0,0,0,0,0,-121786.19679496085,-121713.87390744372,-119517.92595668661,-120968.74230630689,1357.06969347794,0,0,0,0,0,0,0,0,0,0,283445.71506771265,285641.66301846993,285713.985905987,284896.531417333,1357.0696934780271,163927.78911102604,163927.78911102604,163927.78911102604,163927.78911102604,0
20-34,HIS,Food_price,USD,-8271754.399568457,-8178632.763974938,-8103306.0575652,-8184876.598776265,88821.76914274349,0,0,0,0,0,-8271754.399568457,-8178632.763974938,-8103306.0575652,-8184876.598776265,88821.76914274349,-339308532.6929489,-338915497.9094721,-333352024.6680062,-337101308.9768443,3506666.878216498,-5592972.023858433,-5531662.207728458,-5481829.562176722,-5535689.285124331,58599.90467825363,-2678782.3757100175,-2646970.556246482,-2621476.495388482,-2649187.3136519333,30222.025185051483,18310307.693652585,18385634.400062338,18478756.035655845,18391878.234863658,88821.76914274445,10207001.636087388,10207001.636087388,10207001.636087388,10207001.636087388,0,12810349.840328123,12860182.485879876,12921492.302009838,12864209.56327574,58599.90467825495,7328520.278151415,7328520.278151415,7328520.278151415,7328520.278151415,0,5499957.853324476,5525451.914182472,5557263.733646006,5527668.671587924,30222.02518504895,2878481.357935987,2878481.357935987,2878481.357935987,2878481.357935987,0,0,0,0,0,0,-2678782.3757100175,-2646970.556246482,-2621476.495388482,-2649187.3136519333,30222.025185051483,0,0,0,0,0,0,0,0,0,0,5499957.853324476,5525451.914182472,5557263.733646006,5527668.671587924,30222.02518504895,2878481.357935987,2878481.357935987,2878481.357935987,2878481.357935987,0
20-34,NHB,CED,MJ,-10455695.488023425,-10352290.355254184,-9762801.176909592,-10181734.54978915,393458.1955692777,0,0,0,0,0,-10455695.488023425,-10352290.355254184,-9762801.176909592,-10181734.54978915,393458.1955692777,-303931503.3909458,-297272573.0158172,-275141114.8222481,-291843615.8865399,15865485.279919174,-7661613.97944444,-7589702.069478087,-7149160.25615096,-7460358.243737464,292048.27343604283,-2794081.5085789836,-2762588.285776103,-2613640.920758627,-2721376.306051683,101453.83292131478,22196801.638981603,22786290.81732621,22889695.95009544,22615735.011861164,393458.19556928327,12434000.462072007,12434000.462072007,12434000.462072007,12434000.462072007,0,16619976.941591041,17060518.754918166,17132430.664884534,16931174.92917755,292048.27343604655,9470816.68544007,9470816.68544007,9470816.68544007,9470816.68544007,0,5576824.697390556,5725772.062408034,5757265.28521091,5684560.082683613,101453.8329213135,2963183.776631932,2963183.776631932,2963183.776631932,2963183.7766319313,0,0,0,0,0,0,-2794081.5085789836,-2762588.285776103,-2613640.920758627,-2721376.306051683,101453.83292131478,0,0,0,0,0,0,0,0,0,0,5576824.697390556,5725772.062408034,5757265.28521091,5684560.082683613,101453.8329213135,2963183.776631932,2963183.776631932,2963183.776631932,2963183.7766319313,0
20-34,NHB,FL,mrh-eq,-330261.13716419885,-325483.1078205805,-305891.72730158,-320285.440741499,13592.947305661413,0,0,0,0,0,-330261.13716419885,-325483.1078205805,-305891.72730158,-320285.440741499,13592.947305661413,-303931503.3909458,-297272573.0158172,-275141114.8222481,-291843615.8865399,15865485.279919174,-239309.56932989357,-235864.97123741393,-221267.09813533907,-231951.54140948577,10082.704369898518,-90951.5678343054,-89618.13658316652,-84624.62916624088,-88333.89933201327,3510.788231210398,730400.0106884103,749991.3912074111,754769.4205510294,744793.7241283295,13592.947305661655,424508.28338683036,424508.28338683036,424508.28338683036,424508.2833868304,0,546102.5555908495,560700.4286929243,564145.026785404,556786.9988649961,10082.704369898518,324835.4574555104,324835.4574555104,324835.4574555104,324835.4574555104,0,184297.45509756077,189290.96251448654,190624.39376562543,188006.72526333327,3510.78823121048,99672.82593131994,99672.82593131994,99672.82593131994,99672.82593131992,0,0,0,0,0,0,-90951.5678343054,-89618.13658316652,-84624.62916624088,-88333.89933201327,3510.788231210398,0,0,0,0,0,0,0,0,0,0,184297.45509756077,189290.96251448654,190624.39376562543,188006.72526333327,3510.78823121048,99672.82593131994,99672.82593131994,99672.82593131994,99672.82593131992,0
20-34,NHB,Food_price,USD,-7526043.389301747,-7292464.341287195,-7102117.925917824,-7307633.686074979,223505.07915948596,0,0,0,0,0,-7526043.389301747,-7292464.341287195,-7102117.925917824,-7307633.686074979,223505.07915948596,-303931503.3909458,-297272573.0158172,-275141114.8222481,-291843615.8865399,15865485.279919174,-5086273.1745266635,-4920714.148331013,-4792964.0932484055,-4933980.453984712,154800.13318866145,-2439770.214775081,-2371750.1929561887,-2309153.83266942,-2373653.232090267,68765.2166842081,13801390.634251712,13991737.04962108,14225316.09763563,14006906.394408861,223505.0791594837,6699272.708333881,6699272.708333881,6699272.708333881,6699272.708333881,0,9558893.834532596,9686643.8896152,9852202.915810846,9699910.1952689,154800.1331886572,4765929.741284187,4765929.741284187,4765929.741284187,4765929.741284187,0,4242496.799719119,4305093.160005888,4373113.181824782,4306996.199139967,68765.21668420882,1933342.9670496976,1933342.9670496976,1933342.9670496976,1933342.9670496976,0,0,0,0,0,0,-2439770.214775081,-2371750.1929561887,-2309153.83266942,-2373653.232090267,68765.2166842081,0,0,0,0,0,0,0,0,0,0,4242496.799719119,4305093.160005888,4373113.181824782,4306996.199139967,68765.21668420882,1933342.9670496976,1933342.9670496976,1933342.9670496976,1933342.9670496976,0
20-34,NHW,CED,MJ,-43861887.30474905,-42707136.8526742,-42018692.61596311,-42870753.068591304,980396.0921893507,0,0,0,0,0,-43861887.30474905,-42707136.8526742,-42018692.61596311,-42870753.068591304,980396.0921893507,-1066556095.9027756,-1040766584.8518585,-1024945304.9109464,-1044264209.8027374,22108895.71731917,-32809911.230628535,-31885629.990700398,-31395851.04445339,-32038086.935851675,755862.9486832732,-11051976.074120542,-10821506.861973785,-10622841.57150974,-10832666.13273965,226066.92833646675,96988561.3665626,97677005.60327363,98831756.05534846,97840621.81919074,980396.0921893117,54969868.7505994,54969868.7505994,54969868.7505994,54969868.75059941,0,73470337.34794356,73960116.29419056,74884397.53411867,74112573.23934183,755862.9486832467,42074486.3034901,42074486.3034901,42074486.3034901,42074486.3034901,0,23518224.018619023,23716889.30908309,23947358.52122982,23728048.579848934,226066.9283364642,12895382.447109278,12895382.447109278,12895382.447109278,12895382.447109276,0,0,0,0,0,0,-11051976.074120542,-10821506.861973785,-10622841.57150974,-10832666.13273965,226066.92833646675,0,0,0,0,0,0,0,0,0,0,23518224.018619023,23716889.30908309,23947358.52122982,23728048.579848934,226066.9283364642,12895382.447109278,12895382.447109278,12895382.447109278,12895382.447109276,0
20-34,NHW,FL,mrh-eq,-1349915.681863531,-1318888.9295779928,-1297919.5679464631,-1322417.8385793993,27536.492523864425,0,0,0,0,0,-1349915.681863531,-1318888.9295779928,-1297919.5679464631,-1322417.8385793993,27536.492523864425,-1066556095.9027756,-1040766584.8518585,-1024945304.9109464,-1044264209.8027374,22108895.71731917,-994588.8013063964,-969544.3432854553,-954997.4841890037,-973227.7113291359,21080.281746864133,-355326.8805571331,-349344.5862925387,-342922.0837574588,-349190.12725026306,6530.210596767772,3226938.7933818367,3247908.155013366,3278934.9072989034,3251437.0640147724,27536.492523863824,1929019.225435372,1929019.225435372,1929019.225435372,1929019.2254353717,0,2433678.095802919,2448224.954899371,2473269.4129203116,2451908.322943051,21080.281746864082,1478680.6116139158,1478680.6116139158,1478680.6116139158,1478680.6116139155,0,793260.6975789161,799683.2001139967,805665.494378591,799528.7410717207,6530.210596768068,450338.6138214576,450338.6138214576,450338.6138214576,450338.6138214576,0,0,0,0,0,0,-355326.8805571331,-349344.5862925387,-342922.0837574588,-349190.12725026306,6530.210596767772,0,0,0,0,0,0,0,0,0,0,793260.6975789161,799683.2001139967,805665.494378591,799528.7410717207,6530.210596768068,450338.6138214576,450338.6138214576,450338.6138214576,450338.6138214576,0
20-34,NHW,Food_price,USD,-25896815.611069705,-25343829.331675895,-24521796.71352376,-25249427.10755017,728297.375555774,0,0,0,0,0,-25896815.611069705,-25343829.331675895,-24521796.71352376,-25249427.10755017,728297.375555774,-1066556095.9027756,-1040766584.8518585,-1024945304.9109464,-1044264209.8027374,22108895.71731917,-17618029.269802395,-17204407.42779297,-16666024.189798547,-17160631.49937718,502487.4803076038,-8278786.341267303,-8139421.903882932,-7855772.523725203,-8088795.608172982,226914.79565701293,57605465.5347537,58427498.1529059,58980484.432299696,58333095.92878014,728297.3755558042,33083668.821229976,33083668.821229976,33083668.821229976,33083668.821229976,0,40391067.395227596,40929450.633222006,41343072.47523142,40885674.704806216,502487.4803075862,23725043.205429066,23725043.205429066,23725043.205429066,23725043.205429066,0,17214398.139526136,17498047.519683857,17637411.957068246,17447421.22397392,226914.79565701654,9358625.615800936,9358625.615800936,9358625.615800936,9358625.615800936,0,0,0,0,0,0,-8278786.341267303,-8139421.903882932,-7855772.523725203,-8088795.608172982,226914.79565701293,0,0,0,0,0,0,0,0,0,0,17214398.139526136,17498047.519683857,17637411.957068246,17447421.22397392,226914.79565701654,9358625.615800936,9358625.615800936,9358625.615800936,9358625.615800936,0
20-34,OTH,CED,MJ,-7173878.311070124,-6629756.777051287,-6574939.631671618,-6801442.527450994,348536.2360333489,0,0,0,0,0,-7173878.311070124,-6629756.777051287,-6574939.631671618,-6801442.527450994,348536.2360333489,-185250634.73768035,-172877029.73645842,-168951422.77408662,-175841239.57465145,8954391.47881894,-5303219.6615940025,-4900293.247970114,-4886288.871568863,-5036757.120679812,249237.84137719613,-1870658.6494761256,-1729463.529081177,-1688650.76010276,-1764685.406771188,100532.85174782304,17596784.160661906,17651601.306041576,18195722.840060417,17823287.056441285,348536.2360333527,11021844.528990282,11021844.528990282,11021844.528990282,11021844.528990282,0,13292588.053725835,13306592.430127067,13709518.843750961,13443056.302836774,249237.8413771929,8406299.182156976,8406299.182156976,8406299.182156976,8406299.182156976,0,4304196.106936074,4345008.87591449,4486203.996309438,4380230.753604501,100532.85174782212,2615545.346833313,2615545.346833313,2615545.346833313,2615545.346833313,0,0,0,0,0,0,-1870658.6494761256,-1729463.529081177,-1688650.76010276,-1764685.406771188,100532.85174782304,0,0,0,0,0,0,0,0,0,0,4304196.106936074,4345008.87591449,4486203.996309438,4380230.753604501,100532.85174782212,2615545.346833313,2615545.346833313,2615545.346833313,2615545.346833313,0
