age_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,added_sugar,CED,MJ,-20440969.23845287,-20136854.149422523,-19335452.9742203,-19962367.8033973,601152.4852494121,0,0,0,0,0,-20440969.23845287,-20136854.149422523,-19335452.9742203,-19962367.8033973,601152.4852494121,-794563322.2873502,-783507166.1897349,-753038342.2785978,-776695703.7990255,22637338.24274684,-13534615.350073293,-13333482.043299828,-12803051.291574826,-13217939.08015894,397823.57136626885,-6906353.88837958,-6803372.10612269,-6532401.682645491,-6744428.723238371,203328.9299356427,38050496.02545146,38851897.20065368,39156012.28968403,38677410.854628466,601152.48524941,18715043.051231157,18715043.051231157,18715043.051231157,18715043.051231157,0,25195404.24192539,25725834.993650403,25926968.30042387,25610292.030509513,397823.57136627485,12392352.950350564,12392352.950350564,12392352.950350564,12392352.950350562,0,12855091.783526057,13126062.20700326,13229043.989260152,13067118.82411894,203328.9299356468,6322690.100880571,6322690.100880571,6322690.100880571,6322690.100880571,0,0,0,0,0,0,-6906353.88837958,-6803372.10612269,-6532401.682645491,-6744428.723238371,203328.9299356427,0,0,0,0,0,0,0,0,0,0,12855091.783526057,13126062.20700326,13229043.989260152,13067118.82411894,203328.9299356468,6322690.100880571,6322690.100880571,6322690.100880571,6322690.100880571,0
20-34,added_sugar,FL,mrh-eq,-862616.7925998884,-850884.7198323129,-819388.730546861,-843950.0122821807,23530.90430292984,0,0,0,0,0,-862616.7925998884,-850884.7198323129,-819388.730546861,-843950.0122821807,23530.90430292984,-794563322.2873502,-783507166.1897349,-753038342.2785978,-776695703.7990255,22637338.24274684,-571204.0258535399,-563446.0564825287,-542597.5700157764,-558852.8925892863,15572.632624379556,-291412.7667463488,-287438.6633497839,-276791.1605310843,-285097.1196928946,7958.272784056892,1609089.1368442478,1640585.1261296994,1652317.1988972751,1633650.4185795675,23530.904302929855,789700.406297387,789700.406297387,789700.406297387,789700.406297387,0,1065539.5422418676,1086388.0287086195,1094145.9980796305,1081794.8648153772,15572.632624379266,522941.972226091,522941.972226091,522941.972226091,522941.972226091,0,543549.5946023804,554197.0974210798,558171.2008176448,551855.5537641905,7958.272784056778,266758.434071296,266758.434071296,266758.434071296,266758.434071296,0,0,0,0,0,0,-291412.7667463488,-287438.6633497839,-276791.1605310843,-285097.1196928946,7958.272784056892,0,0,0,0,0,0,0,0,0,0,543549.5946023804,554197.0974210798,558171.2008176448,551855.5537641905,7958.272784056778,266758.434071296,266758.434071296,266758.434071296,266758.434071296,0
20-34,added_sugar,Food_price,USD,-39234051.50958695,-38996048.50478488,-37012724.689691566,-38383655.238016024,1283787.0761888109,0,0,0,0,0,-39234051.50958695,-38996048.50478488,-37012724.689691566,-38383655.238016024,1283787.0761888109,-794563322.2873502,-783507166.1897349,-753038342.2785978,-776695703.7990255,22637338.24274684,-25978941.352380738,-25821770.176267345,-24508396.633878343,-25416085.135468885,849980.1322498656,-13255110.157206215,-13174278.328517517,-12504328.05581323,-12967570.102547137,433807.0248938271,72991924.16453731,74975247.97963068,75213250.98443279,74362854.7128618,1283787.076188855,35979199.474845774,35979199.474845774,35979199.474845774,35979199.474845774,0,48332988.02370852,49646361.56609748,49803532.7422109,49240676.52529905,849980.1322498543,23824591.389830194,23824591.389830194,23824591.389830194,23824591.38983019,0,24658936.14082885,25328886.413533144,25409718.242221825,25122178.187562753,433807.0248938245,12154608.08501561,12154608.08501561,12154608.08501561,12154608.08501561,0,0,0,0,0,0,-13255110.157206215,-13174278.328517517,-12504328.05581323,-12967570.102547137,433807.0248938271,0,0,0,0,0,0,0,0,0,0,24658936.14082885,25328886.413533144,25409718.242221825,25122178.187562753,433807.0248938245,12154608.08501561,12154608.08501561,12154608.08501561,12154608.08501561,0
20-34,oil,CED,MJ,-201024.25984400077,-181491.52447904088,-35987.504458628246,-137291.07372274168,94921.92273986725,0,0,0,0,0,-201024.25984400077,-181491.52447904088,-35987.504458628246,-137291.07372274168,94921.92273986725,-21343884.44882936,-19013845.048766356,-3323195.571064359,-14325911.688191272,10316960.122147748,-166713.79579184964,-150301.6672945501,-28741.436700356266,-113407.59638335912,79335.44325957037,-34310.46405215086,-31189.85718448984,-7246.067758272411,-23883.47733938233,15586.56040906215,20363962.293830607,20509466.313851014,20528999.049215976,20465265.863094717,94921.92273986519,20327974.789371975,20327974.789371975,20327974.789371975,20327974.789371975,0,17004825.82770974,17126386.058303945,17142798.18680124,17089491.98739275,79335.4432595768,16976084.391009398,16976084.391009398,16976084.391009398,16976084.391009398,0,3359136.466120856,3383080.255547073,3386200.862414734,3375773.8757019658,15586.560409061964,3351890.398362584,3351890.398362584,3351890.398362584,3351890.398362584,0,0,0,0,0,0,-34310.46405215086,-31189.85718448984,-7246.067758272411,-23883.47733938233,15586.56040906215,0,0,0,0,0,0,0,0,0,0,3359136.466120856,3383080.255547073,3386200.862414734,3375773.8757019658,15586.560409061964,3351890.398362584,3351890.398362584,3351890.398362584,3351890.398362584,0
20-34,oil,FL,mrh-eq,-10937.983381933524,-9744.424362527554,-2332.744068759085,-7562.627424154748,4907.411086593865,0,0,0,0,0,-10937.983381933524,-9744.424362527554,-2332.744068759085,-7562.627424154748,4907.411086593865,-21343884.44882936,-19013845.048766356,-3323195.571064359,-14325911.688191272,10316960.122147748,-9073.305441292458,-8071.312382272781,-1879.020499903019,-6250.154900395559,4101.802514943322,-1864.677940641013,-1673.1119802547407,-453.72356885606706,-1312.4725237591613,805.6125665856106,1058578.0124439762,1065989.6927377444,1067183.2517571507,1063807.8957993716,4907.411086593803,1056245.2683752156,1056245.2683752156,1056245.2683752156,1056245.2683752156,0,883955.4464119029,890147.7382942727,891149.7313532927,888326.5808123956,4101.8025149434625,882076.4259120001,882076.4259120001,882076.4259120001,882076.4259120001,0,174622.5660320727,175841.95444347142,176033.52040385775,175481.31498697583,805.6125665856556,174168.8424632166,174168.8424632166,174168.8424632166,174168.8424632166,0,0,0,0,0,0,-1864.677940641013,-1673.1119802547407,-453.72356885606706,-1312.4725237591613,805.6125665856106,0,0,0,0,0,0,0,0,0,0,174622.5660320727,175841.95444347142,176033.52040385775,175481.31498697583,805.6125665856556,174168.8424632166,174168.8424632166,174168.8424632166,174168.8424632166,0
20-34,oil,Food_price,USD,-236513.05656955703,-140387.19811493103,-89229.45583118965,-156165.48449068,78712.81449883632,0,0,0,0,0,-236513.05656955703,-140387.19811493103,-89229.45583118965,-156165.48449068,78712.81449883632,-21343884.44882936,-19013845.048766356,-3323195.571064359,-14325911.688191272,10316960.122147748,-196696.87080503345,-116420.78955141289,-73787.32729793969,-129628.72604269267,65692.72494618209,-39816.1857645246,-23966.408563517645,-15442.128533251114,-26536.75844798797,13020.145292171052,13745979.38840877,13797137.13069251,13893262.989147143,13812915.417068264,78712.81449884044,13656749.932577584,13656749.932577584,13656749.932577584,13656749.932577586,0,11478809.696218675,11521443.158472145,11601719.239725776,11534651.094963431,65692.72494618593,11405022.368920747,11405022.368920747,11405022.368920747,11405022.368920749,0,2267169.6921901,2275693.972220366,2291543.7494213725,2278264.3221048363,13020.145292170559,2251727.563656847,2251727.563656847,2251727.563656847,2251727.563656847,0,0,0,0,0,0,-39816.1857645246,-23966.408563517645,-15442.128533251114,-26536.75844798797,13020.145292171052,0,0,0,0,0,0,0,0,0,0,2267169.6921901,2275693.972220366,2291543.7494213725,2278264.3221048363,13020.145292170559,2251727.563656847,2251727.563656847,2251727.563656847,2251727.563656847,0
20-34,sat_fat,CED,MJ,-54755241.240950115,-53681161.84591379,-53359747.45682007,-53945254.83045506,769256.5342554282,0,0,0,0,0,-54755241.240950115,-53681161.84591379,-53359747.45682007,-53945254.83045506,769256.5342554282,-1073790395.8925867,-1053254189.9368651,-1046325505.1087133,-1058028758.7535563,15034970.956621196,-42247167.693143524,-41409559.564201914,-41153075.0759112,-41613462.59600925,602305.56193066,-12508073.547806645,-12271602.28171187,-12206672.380908888,-12331792.234445833,166976.9310312007,112702674.94075796,113024089.32985163,114098168.72488795,113288182.31439291,769256.5342554095,59342927.4839378,59342927.4839378,59342927.4839378,59342927.4839378,0,86894798.9563791,87151283.44466975,87988891.57361132,87355186.47647709,602305.5619306086,45741723.88046778,45741723.88046778,45741723.88046778,45741723.88046778,0,25807875.98437887,25872805.88518187,26109277.15127663,25932995.83791582,166976.9310311977,13601203.603469992,13601203.603469992,13601203.603469992,13601203.603469992,0,0,0,0,0,0,-12508073.547806645,-12271602.28171187,-12206672.380908888,-12331792.234445833,166976.9310312007,0,0,0,0,0,0,0,0,0,0,25807875.98437887,25872805.88518187,26109277.15127663,25932995.83791582,166976.9310311977,13601203.603469992,13601203.603469992,13601203.603469992,13601203.603469992,0
20-34,sat_fat,FL,mrh-eq,-1466627.1727260263,-1438428.7217650337,-1430618.7586928995,-1445582.5771646332,19938.75220554369,0,0,0,0,0,-1466627.1727260263,-1438428.7217650337,-1430618.7586928995,-1445582.5771646332,19938.75220554369,-1073790395.8925867,-1053254189.9368651,-1046325505.1087133,-1058028758.7535563,15034970.956621196,-1131342.9501712702,-1109355.7053123298,-1103103.6586134369,-1114876.8274737499,15612.958441692641,-335284.2225547551,-329073.01645270525,-327515.10007946246,-330705.74969088315,4326.590009328313,3023173.711860285,3030983.6749324193,3059182.1258934126,3038137.530332019,19938.752205543995,1592554.9531673852,1592554.9531673852,1592554.9531673852,1592554.9531673852,0,2330387.4304573936,2336639.477156286,2358626.722015226,2342160.5993177057,15612.958441691935,1227283.771843956,1227283.771843956,1227283.771843956,1227283.771843956,0,692786.2814028916,694344.1977761354,700555.4038781853,695976.9310143129,4326.590009328654,365271.1813234295,365271.1813234295,365271.1813234295,365271.1813234295,0,0,0,0,0,0,-335284.2225547551,-329073.01645270525,-327515.10007946246,-330705.74969088315,4326.590009328313,0,0,0,0,0,0,0,0,0,0,692786.2814028916,694344.1977761354,700555.4038781853,695976.9310143129,4326.590009328654,365271.1813234295,365271.1813234295,365271.1813234295,365271.1813234295,0
20-34,sat_fat,Food_price,USD,-6511389.112523818,-6442328.069961202,-6421597.809987394,-6459286.239290609,49487.958540992186,0,0,0,0,0,-6511389.112523818,-6442328.069961202,-6421597.809987394,-6459286.239290609,49487.958540992186,-1073790395.8925867,-1053254189.9368651,-1046325505.1087133,-1058028758.7535563,15034970.956621196,-5024116.352217045,-4969961.184706843,-4951874.14000189,-4982616.666392895,39570.31582801381,-1487272.7603067816,-1472366.8852543682,-1469723.6699854985,-1476669.5728977167,9959.681130706813,13496831.503231712,13517561.763205532,13586622.805768147,13534519.932534933,49487.95854099499,7075233.693244319,7075233.693244319,7075233.693244319,7075233.693244319,0,10405452.545540001,10423539.590244945,10477694.757755142,10436195.071930999,39570.31582800784,5453578.405538103,5453578.405538103,5453578.405538103,5453578.405538103,0,3091378.9576917146,3094022.1729605854,3108928.048012998,3098324.8606039337,9959.681130706778,1621655.2877062152,1621655.2877062152,1621655.2877062152,1621655.2877062152,0,0,0,0,0,0,-1487272.7603067816,-1472366.8852543682,-1469723.6699854985,-1476669.5728977167,9959.681130706813,0,0,0,0,0,0,0,0,0,0,3091378.9576917146,3094022.1729605854,3108928.048012998,3098324.8606039337,9959.681130706778,1621655.2877062152,1621655.2877062152,1621655.2877062152,1621655.2877062152,0
35-44,added_sugar,CED,MJ,-14475844.362206941,-13976736.420443356,-13494799.51741768,-13982761.346316308,516365.75460028776,0,0,0,0,0,-14475844.362206941,-13976736.420443356,-13494799.51741768,-13982761.346316308,516365.75460028776,-571434190.0827196,-551343645.634417,-532604786.61726445,-551817921.2242942,20440655.209817898,-9589791.527681133,-9259055.883081846,-8940246.830011109,-9263240.652039232,341884.8394340276,-4886052.834525819,-4717680.5373615,-4554552.687406581,-4719520.694277079,174481.0394699429,24638276.782856546,25120213.685882203,25619321.627645824,25126238.611755174,516365.7546002964,11143477.265438879,11143477.265438879,11143477.265438879,11143477.265438879,0,16324698.364612084,16643507.417682823,16974243.062282093,16647692.186640201,341884.8394340191,7384451.534600975,7384451.534600975,7384451.534600975,7384451.534600976,0,8313578.418244482,8476706.268199412,8645078.56536373,8478546.425114987,174481.03946994751,3759025.7308379007,3759025.7308379007,3759025.7308379007,3759025.7308379007,0,0,0,0,0,0,-4886052.834525819,-4717680.5373615,-4554552.687406581,-4719520.694277079,174481.0394699429,0,0,0,0,0,0,0,0,0,0,8313578.418244482,8476706.268199412,8645078.56536373,8478546.425114987,174481.03946994751,3759025.7308379007,3759025.7308379007,3759025.7308379007,3759025.7308379007,0
