sex_gp,race_gp,age_gp,subgroup_id,population,Foodgroup,Intake_unit,outcome,outcome_unit,subgroup,Age,Age_label,Sex,Sex_label,Race,Race_label,population.se,agecat,female,race,age,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
Female,HIS,45-54,19,2981376,sat_fat,g/day,CED,MJ,19,3,45-54,1,Female,3,HIS,0,3,1,3,45,1.2037039617085947,0.021228027713280268,1.1969492151368395,1.1871889271941458,1.2259605308090356
Female,HIS,45-54,19,2981376,sat_fat,g/day,Food_price,USD,19,3,45-54,1,Female,3,HIS,0,3,1,3,45,0.15010116129729303,0.0034945818481759874,0.1487841799411973,0.1475228179347843,0.15379893881248316
Female,HIS,45-54,19,2981376,sat_fat,g/day,FL,mrh-eq,19,3,45-54,1,Female,3,HIS,0,3,1,3,45,0.032056361344007904,5.65332796638539e-4,0.031876472763609755,0.03161654230972264,0.03264908567163159
Female,HIS,55-64,27,2911586,added_sugar,tsp eq/day,CED,MJ,27,4,55-64,1,Female,3,HIS,0,4,1,3,55,0.41198331035030805,0.008890432801070162,0.4082589944261636,0.405695642667539,0.42143664656859986
Female,HIS,55-64,27,2911586,added_sugar,tsp eq/day,Food_price,USD,27,4,55-64,1,Female,3,HIS,0,4,1,3,55,0.5571021912738328,0.012443210897720231,0.5546181293787111,0.5465148711018123,0.5698009640567067
Female,HIS,55-64,27,2911586,added_sugar,tsp eq/day,FL,mrh-eq,27,4,55-64,1,Female,3,HIS,0,4,1,3,55,0.01971985324070778,4.255464376321617e-4,0.019541586399306563,0.01941888987443667,0.02017234342216992
Female,HIS,55-64,27,2911586,oil,g/day,CED,MJ,27,4,55-64,1,Female,3,HIS,0,4,1,3,55,0.2491878530077549,0.005893147810668719,0.24824310220867732,0.24404510050890152,0.2551336436858242
Female,HIS,55-64,27,2911586,oil,g/day,Food_price,USD,27,4,55-64,1,Female,3,HIS,0,4,1,3,55,0.20959833463210814,0.004553350650421201,0.2091655694911288,0.2054712546615567,0.21409326497249198
Female,HIS,55-64,27,2911586,oil,g/day,FL,mrh-eq,27,4,55-64,1,Female,3,HIS,0,4,1,3,55,0.013381008975886958,3.1645308067376364e-4,0.013330277293865373,0.013104850982961918,0.013700288898530345
Female,HIS,55-64,27,2911586,sat_fat,g/day,CED,MJ,27,4,55-64,1,Female,3,HIS,0,4,1,3,55,1.3180840803864275,0.014485100096331568,1.3200487410447022,1.3035835153318434,1.3309146838814783
Female,HIS,55-64,27,2911586,sat_fat,g/day,Food_price,USD,27,4,55-64,1,Female,3,HIS,0,4,1,3,55,0.13348219061374098,7.385832233019923e-4,0.13329027906538887,0.13288009441695203,0.13424741162662923
Female,HIS,55-64,27,2911586,sat_fat,g/day,FL,mrh-eq,27,4,55-64,1,Female,3,HIS,0,4,1,3,55,0.03530151766875779,3.8794643269988776e-4,0.0353541360896714,0.034913157046625565,0.03564515263311346
Female,HIS,65-74,35,1616432,added_sugar,tsp eq/day,CED,MJ,35,5,65-74,1,Female,3,HIS,0,5,1,3,65,0.3356848179569302,0.006033466482615211,0.3328038298003324,0.3316904902264052,0.34212798562056346
Female,HIS,65-74,35,1616432,added_sugar,tsp eq/day,Food_price,USD,35,5,65-74,1,Female,3,HIS,0,5,1,3,65,0.411227638852875,0.007356344354863163,0.40921961986311334,0.40529059358036756,0.41887150026667974
