sex_gp,race_gp,age_gp,subgroup_id,population,Foodgroup,Intake_unit,outcome,outcome_unit,subgroup,Age,Age_label,Sex,Sex_label,Race,Race_label,population.se,agecat,female,race,age,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
Female,HIS,20-34,3,6549965,added_sugar,tsp eq/day,CED,MJ,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.19013829168000013,0,0.19013829168000013,0.19013829168000013,0.19013829168000013
Female,HIS,20-34,3,6549965,added_sugar,tsp eq/day,Food_price,USD,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.28852517529969274,0,0.28852517529969274,0.28852517529969274,0.28852517529969274
Female,HIS,20-34,3,6549965,added_sugar,tsp eq/day,FL,mrh-eq,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.008241838559999999,0,0.008241838559999999,0.008241838559999999,0.008241838559999999
Female,HIS,20-34,3,6549965,oil,g/day,CED,MJ,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.254739573,0,0.254739573,0.254739573,0.254739573
Female,HIS,20-34,3,6549965,oil,g/day,Food_price,USD,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.1727107008285345,0,0.1727107008285345,0.1727107008285345,0.1727107008285345
Female,HIS,20-34,3,6549965,oil,g/day,FL,mrh-eq,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.013149,0,0.013149,0.013149,0.013149
Female,HIS,20-34,3,6549965,sat_fat,g/day,CED,MJ,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.7281433440300003,0,0.7281433440300003,0.7281433440300003,0.7281433440300003
Female,HIS,20-34,3,6549965,sat_fat,g/day,Food_price,USD,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.10731278589744443,0,0.10731278589744443,0.10731278589744443,0.10731278589744443
Female,HIS,20-34,3,6549965,sat_fat,g/day,FL,mrh-eq,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.01993309452,0,0.01993309452,0.01993309452,0.01993309452
Female,HIS,35-44,11,4706043,added_sugar,tsp eq/day,CED,MJ,11,2,35-44,1,Female,3,HIS,0,2,1,3,35,0.18441772776000004,0,0.18441772776000004,0.18441772776000004,0.18441772776000004
