Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
sat_fat,Male,NHB,20-34,6,4186659,g/day,CED,MJ,-690147.700314921,-627669.03609154,-644316.475788764
sat_fat,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,-65739.7189887333,-57116.5492571842,-59684.1217335884
sat_fat,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,-18571.8986354704,-16890.5956067032,-17338.5787883553
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,CED,MJ,-681509.999762546,-623636.4874955,-656005.006697438
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,Food_price,USD,-1218812.17761294,-1097272.34461665,-1191887.11918339
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,FL,mrh-eq,-24927.0728929522,-22810.2774543607,-23994.1961611511
oil,Male,HIS,20-34,7,6886181,g/day,CED,MJ,37606.3738868144,37736.7490176771,42540.7867575316
oil,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,19107.9566868977,15722.5923366999,27319.6368882578
oil,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,1970.21110570555,1977.04150449663,2228.72672508655
sat_fat,Male,HIS,20-34,7,6886181,g/day,CED,MJ,-1124907.51702203,-1124571.78022101,-1131803.32255064
sat_fat,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,-119815.013082962,-119939.840054203,-120474.071058924
sat_fat,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,-31013.0283804267,-31003.772317345,-31203.1416202517
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,CED,MJ,-284057.910738414,-285442.686648248,-261725.267010895
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,Food_price,USD,-497785.599759778,-514558.266176928,-482900.890275589
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,FL,mrh-eq,-12146.6057598039,-12205.820188998,-11191.6391537792
oil,Male,OTH,20-34,8,3785306,g/day,CED,MJ,9706.72621100842,5635.07293110481,9332.24213397162
oil,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,11303.8820975871,7997.83339985172,6985.83294870883
oil,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,514.253549495673,298.541052203694,494.413722796185
sat_fat,Male,OTH,20-34,8,3785306,g/day,CED,MJ,-594865.805721627,-576130.318379294,-568443.042697255
sat_fat,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,-81628.8228926917,-80126.2386768434,-82295.0564346602
