age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
45-54,Male,NHW,Food_price,USD,-0.325433641719048,-0.333337100470415,-0.306159682882694
45-54,Male,NHW,FL,mrh-eq,-0.0234704109835474,-0.0253906578552761,-0.0235328919899446
45-54,Male,OTH,CED,MJ,-0.333406120855818,-0.468361331456126,-0.381840687216174
45-54,Male,OTH,Food_price,USD,-0.125008797600619,-0.253495777813142,-0.17546365785417
45-54,Male,OTH,FL,mrh-eq,-0.0102036675231149,-0.0158939966138364,-0.0120498438409021
55-64,Female,HIS,CED,MJ,-0.79822575293911,-0.729297395244384,-0.776470267694778
55-64,Female,HIS,Food_price,USD,-0.253500377302628,-0.277402248616481,-0.26030803415599
55-64,Female,HIS,FL,mrh-eq,-0.025324863704995,-0.0243600150551714,-0.0250056143530108
55-64,Female,NHB,CED,MJ,-0.717844288577696,-0.720070637956727,-0.72169052191731
55-64,Female,NHB,Food_price,USD,-0.420657825153825,-0.418512512305264,-0.483983015314504
55-64,Female,NHB,FL,mrh-eq,-0.0244161225693811,-0.0244811736904364,-0.0256333727375316
55-64,Female,NHW,CED,MJ,-0.925622458680629,-1.03234998820884,-0.934565895788741
55-64,Female,NHW,Food_price,USD,-0.433766592228682,-0.540465231151657,-0.460179020385314
55-64,Female,NHW,FL,mrh-eq,-0.0302836004975514,-0.0349009174821698,-0.0310400592485462
55-64,Female,OTH,CED,MJ,-0.677191978355688,-0.572622859833694,-0.703454354073766
55-64,Female,OTH,Food_price,USD,-0.319540706638559,-0.264754534113949,-0.386258463000735
55-64,Female,OTH,FL,mrh-eq,-0.0213843540674971,-0.0180863996842022,-0.0234910052412355
55-64,Male,HIS,CED,MJ,-0.539239551184761,-0.506043352667255,-0.475653682689075
55-64,Male,HIS,Food_price,USD,-0.194906931071236,-0.184976250422695,-0.139009356845854
55-64,Male,HIS,FL,mrh-eq,-0.0179431013482971,-0.016942160185436,-0.0149624566248386
55-64,Male,NHB,CED,MJ,-0.64141646730378,-0.636984687012929,-0.60204432434709
55-64,Male,NHB,Food_price,USD,-0.233591019129804,-0.241264945622994,-0.226338514807464
55-64,Male,NHB,FL,mrh-eq,-0.0205783997206094,-0.0204471572677062,-0.0193226900004708
55-64,Male,NHW,CED,MJ,-0.73919860365753,-0.862938584916473,-0.804337896935515
55-64,Male,NHW,Food_price,USD,-0.314365071670452,-0.407172988807852,-0.336484623832648
55-64,Male,NHW,FL,mrh-eq,-0.0245297438697352,-0.0292777974044951,-0.0265398705985955
55-64,Male,OTH,CED,MJ,-0.529657269732419,-0.71857091130743,-0.55735370373236
55-64,Male,OTH,Food_price,USD,-0.149212548998304,-0.263536209658015,-0.140091906527618
55-64,Male,OTH,FL,mrh-eq,-0.017321511520653,-0.0255001882015264,-0.017478185734379
65-74,Female,HIS,CED,MJ,-0.666817229757361,-0.707936139392283,-0.610396031717908
65-74,Female,HIS,Food_price,USD,-0.265221711535471,-0.321299605288377,-0.238772619788858
65-74,Female,HIS,FL,mrh-eq,-0.0231445070503159,-0.0258311628083161,-0.0212570232791242
65-74,Female,NHB,CED,MJ,-0.91758106628863,-0.925217287589146,-0.990260860579126
65-74,Female,NHB,Food_price,USD,-0.404801158720269,-0.404855415895263,-0.397844513208839
65-74,Female,NHB,FL,mrh-eq,-0.0326604403620834,-0.0330454382446983,-0.033994852685129
65-74,Female,NHW,CED,MJ,-1.02684457184705,-0.984824116122786,-0.989891346730144
65-74,Female,NHW,Food_price,USD,-0.452616151543854,-0.455976587660318,-0.414291776147977
65-74,Female,NHW,FL,mrh-eq,-0.0334257121162044,-0.0324793086035203,-0.031841735442142
65-74,Female,OTH,CED,MJ,-0.78439709648158,-0.807699482648097,-0.819835340788227
65-74,Female,OTH,Food_price,USD,-0.288177217924513,-0.407551503360212,-0.317920896920215
65-74,Female,OTH,FL,mrh-eq,-0.0240810843574925,-0.0273561752182235,-0.0255505572418138
65-74,Male,HIS,CED,MJ,-0.577038673856988,-0.526398885765628,-0.542431020862599
65-74,Male,HIS,Food_price,USD,-0.164121718073721,-0.166139812407009,-0.154953957606427
65-74,Male,HIS,FL,mrh-eq,-0.018275376665213,-0.0173415562906136,-0.0172259804297115
65-74,Male,NHB,CED,MJ,-0.699236241874542,-0.645127876797598,-0.534510517248432
65-74,Male,NHB,Food_price,USD,-0.256015647414873,-0.225866652387766,-0.231699867052314
65-74,Male,NHB,FL,mrh-eq,-0.0224773480130929,-0.0202391426407046,-0.0177165855608893
65-74,Male,NHW,CED,MJ,-0.876986910762088,-0.89395552801295,-0.927122557791611
65-74,Male,NHW,Food_price,USD,-0.358716401934435,-0.385896668825172,-0.408783145566076
65-74,Male,NHW,FL,mrh-eq,-0.0286890702526284,-0.0297509562871581,-0.0310282970302497
65-74,Male,OTH,CED,MJ,-0.409588518642533,-0.503388734286889,-0.464317087385092
65-74,Male,OTH,Food_price,USD,-0.123360181550812,-0.249195017630861,-0.204269596727236
65-74,Male,OTH,FL,mrh-eq,-0.0122888829611507,-0.0180533848962378,-0.016118914725472
75+,Female,HIS,CED,MJ,-0.814584349373491,-0.792169886045934,-0.940504708384917
75+,Female,HIS,Food_price,USD,-0.276407781147206,-0.243811336035784,-0.313669406715113
75+,Female,HIS,FL,mrh-eq,-0.0279724682504164,-0.0260855908368715,-0.0321584823491226
75+,Female,NHB,CED,MJ,-0.820245016753795,-0.812421331163197,-0.853180866184344
75+,Female,NHB,Food_price,USD,-0.411332037527128,-0.460960628318038,-0.46860866247054
75+,Female,NHB,FL,mrh-eq,-0.0282551646196612,-0.0293043536807473,-0.0302905132000225
75+,Female,NHW,CED,MJ,-1.07142117253704,-0.996142312552244,-1.04240852430103
75+,Female,NHW,Food_price,USD,-0.526296705724489,-0.494760387574273,-0.516800312658725
75+,Female,NHW,FL,mrh-eq,-0.0367209417549317,-0.0342531176475238,-0.0358251179347172
75+,Female,OTH,CED,MJ,-0.473432519309238,-0.597967816150159,-0.786286540775728
75+,Female,OTH,Food_price,USD,-0.25540661031812,-0.313265117947194,-0.392658841470737
75+,Female,OTH,FL,mrh-eq,-0.015764513514921,-0.0193981919968069,-0.0256880009652366
75+,Male,HIS,CED,MJ,-0.591729074606143,-0.761193159714515,-0.673364512073906
75+,Male,HIS,Food_price,USD,-0.229048345030487,-0.252175686462752,-0.270488824241644
75+,Male,HIS,FL,mrh-eq,-0.0198959281331938,-0.0245682164186497,-0.0227258501596328
75+,Male,NHB,CED,MJ,-0.843397609524293,-0.749721261977916,-0.808708350669807
75+,Male,NHB,Food_price,USD,-0.438064324888588,-0.413979058583088,-0.421964095633951
75+,Male,NHB,FL,mrh-eq,-0.0269791595845903,-0.0249132330060236,-0.0258565607372232
75+,Male,NHW,CED,MJ,-1.08526848650032,-1.0023479510341,-1.00758114404936
75+,Male,NHW,Food_price,USD,-0.411209462220383,-0.386460695860512,-0.399977992535473
75+,Male,NHW,FL,mrh-eq,-0.0348757864550378,-0.0323017040796052,-0.0327489733707921
75+,Male,OTH,CED,MJ,-0.644438208592858,-0.710964150095567,-0.599602723406488
75+,Male,OTH,Food_price,USD,-0.189671529277524,-0.196007415363419,-0.191342066589709
75+,Male,OTH,FL,mrh-eq,-0.0209070711898105,-0.0220533721470742,-0.0197948151210025
