age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-0.602264490232874,-0.593898085448771,-0.6018986930998
20-34,Food_price,USD,-0.254611236405085,-0.25003589934721,-0.253404332426059
20-34,FL,mrh-eq,-0.0185318108167368,-0.0183024877969827,-0.0185226849054127
35-44,CED,MJ,-0.73159555479091,-0.729231467139815,-0.67145176541418
35-44,Food_price,USD,-0.308693398389336,-0.295946541026062,-0.277687964202076
35-44,FL,mrh-eq,-0.0238305522622077,-0.0235116204166035,-0.0217267777446715
45-54,CED,MJ,-0.751022238679685,-0.754503833654399,-0.706082088103958
45-54,Food_price,USD,-0.369761390809027,-0.370371803649295,-0.324605061365851
45-54,FL,mrh-eq,-0.0247068478957739,-0.0248588008160968,-0.0228300230711426
55-64,CED,MJ,-0.777204509154154,-0.851302598971412,-0.797695330307117
55-64,Food_price,USD,-0.341019529561742,-0.411627438587776,-0.36142617018306
55-64,FL,mrh-eq,-0.0255081857866397,-0.028733766978397,-0.0263752216448795
65-74,CED,MJ,-0.888385034989117,-0.880456679989725,-0.887505321311031
65-74,Food_price,USD,-0.370496130347275,-0.392214418660977,-0.373895488664311
65-74,FL,mrh-eq,-0.0290605629067839,-0.0294264816653427,-0.0291871683108426
75+,CED,MJ,-0.997809476013858,-0.943073137891924,-0.975702927773392
75+,Food_price,USD,-0.441553894211844,-0.423075234978385,-0.44365590640144
75+,FL,mrh-eq,-0.0333104893434385,-0.0315642102322442,-0.0328151366552541
