age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-40575160.971479,-40011507.9147691,-40550516.8528266
20-34,Food_price,USD,-17153413.6078469,-16845168.5749209,-17072103.279876
20-34,FL,mrh-eq,-1248506.62653437,-1233056.90537052,-1247891.80476256
35-44,CED,MJ,-29892924.1355833,-29796327.741112,-27435454.6754539
35-44,Food_price,USD,-12613182.623622,-12092347.255457,-11346303.5592523
35-44,FL,mrh-eq,-973714.077700789,-960682.553106861,-887754.052876614
45-54,CED,MJ,-29369915.0138174,-29506068.3036316,-27612459.1954149
45-54,Food_price,USD,-14460105.2593914,-14483976.4210145,-12694195.4237339
45-54,FL,mrh-eq,-966200.447318153,-972142.807112761,-892804.237783598
55-64,CED,MJ,-37162903.2970516,-40705986.3774263,-38142694.8397094
55-64,Food_price,USD,-16306230.4068483,-19682426.5871783,-17281996.7631874
55-64,FL,mrh-eq,-1219702.44704807,-1373937.2211573,-1261160.73682294
65-74,CED,MJ,-25951803.0278589,-25720197.249761,-25926104.5354311
65-74,Food_price,USD,-10823057.8169005,-11457499.7741836,-10922361.0176415
65-74,FL,mrh-eq,-848926.957042671,-859616.299132313,-852625.396772054
75+,CED,MJ,-20467178.7288481,-19344420.8855574,-20013726.7575128
75+,Food_price,USD,-9057202.49055561,-8678166.18122773,-9100319.19791195
75+,FL,mrh-eq,-683268.454876927,-647448.583911129,-673107.725552742
