age_gp,sex_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,CED,MJ,-22654043.9038863,-22362095.0451993,-23139140.4506136
20-34,Female,Food_price,USD,-10275143.9343142,-10754260.5841999,-10478235.0349095
20-34,Female,FL,mrh-eq,-710832.575657903,-713170.733284746,-726633.086735612
20-34,Male,CED,MJ,-17921117.0675926,-17649412.8695698,-17411376.402213
20-34,Male,Food_price,USD,-6878269.67353275,-6090907.99072101,-6593868.24496649
20-34,Male,FL,mrh-eq,-537674.05087647,-519886.172085778,-521258.71802695
35-44,Female,CED,MJ,-16570844.7020529,-16446279.7152566,-16131674.8758797
35-44,Female,Food_price,USD,-7375200.22758641,-6785323.93858743,-6863148.08146515
35-44,Female,FL,mrh-eq,-552037.549003159,-536516.571604973,-528847.529377184
35-44,Male,CED,MJ,-13322079.4335304,-13350048.0258554,-11303779.7995742
35-44,Male,Food_price,USD,-5237982.39603563,-5307023.31686953,-4483155.47778712
35-44,Male,FL,mrh-eq,-421676.52869763,-424165.981501888,-358906.52349943
45-54,Female,CED,MJ,-17763830.856542,-16547776.974465,-15551254.2804312
45-54,Female,Food_price,USD,-9542473.59318492,-9058944.35945428,-7775284.53681992
45-54,Female,FL,mrh-eq,-585272.974228653,-548709.938922436,-500977.744101088
45-54,Male,CED,MJ,-11606084.1572754,-12958291.3291666,-12061204.9149838
45-54,Male,Food_price,USD,-4917631.66620652,-5425032.0615602,-4918910.88691394
45-54,Male,FL,mrh-eq,-380927.473089501,-423432.868190324,-391826.49368251
55-64,Female,CED,MJ,-21651931.8414495,-22957463.4740723,-21817902.0183456
55-64,Female,Food_price,USD,-10054527.9965781,-11747627.6566805,-10879242.1166762
55-64,Female,FL,mrh-eq,-706852.286570526,-772335.981952428,-727697.657149166
55-64,Male,CED,MJ,-15510971.4556021,-17748522.903354,-16324792.8213638
55-64,Male,Food_price,USD,-6251702.41027019,-7934798.93049776,-6402754.64651125
55-64,Male,FL,mrh-eq,-512850.160477546,-601601.239204875,-533463.07967377
65-74,Female,CED,MJ,-15031353.6935888,-14650015.8256365,-14654341.0791722
65-74,Female,Food_price,USD,-6516911.92384257,-6776436.6976303,-6055645.29933
65-74,Female,FL,mrh-eq,-493921.131192365,-491472.053569683,-476089.153808106
65-74,Male,CED,MJ,-10920449.3342701,-11070181.4241245,-11271763.456259
65-74,Male,Food_price,USD,-4306145.89305794,-4681063.07655325,-4866715.71831154
65-74,Male,FL,mrh-eq,-355005.825850305,-368144.24556263,-376536.242963947
75+,Female,CED,MJ,-11750632.8212877,-11121768.7839691,-11835067.517138
75+,Female,Food_price,USD,-5707152.0711896,-5496621.35543655,-5814004.38623915
75+,Female,FL,mrh-eq,-402630.769231811,-382487.503168433,-406911.583863162
75+,Male,CED,MJ,-8716545.90756036,-8222652.10158837,-8178659.24037481
75+,Male,Food_price,USD,-3350050.41936601,-3181544.82579117,-3286314.81167279
75+,Male,FL,mrh-eq,-280637.685645116,-264961.080742696,-266196.14168958
