outcome,outcome_unit,X1,X2,X3
CED,MJ,-183419885.174638,-185084508.472258,-179680956.856349
Food_price,USD,-80413192.2051648,-83239584.7939819,-78417279.2416032
FL,mrh-eq,-5940319.01052098,-6046884.36979089,-5815343.95457051
