"female","race","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"direct","dairy_tot",3676.54747747527,413.652464557742,3897.31466102369,3234.24522532903,3931.19762360535,0.00605261292081576,0.000680202597018763,0.00641917053719479,0.00532532200291608,0.00646832986479326,0.641917053719479,0.532532200291608,0.646832986479326,5.0117550515259,0.563878160563573,5.31269800252507,4.40882239253643,5.35888620216609
0,1,"direct","leg_tot",6499.30708026961,360.279589806289,6477.83814245359,6166.62183250398,6850.24092517886,0.0106999015721804,0.000596722863719054,0.0106694869071291,0.0101464936195217,0.0112791619901328,1.06694869071291,1.01464936195217,1.12791619901328,8.85965305507968,0.491121919473565,8.83038726748696,8.40614688352263,9.33803514609055
0,1,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medBMI","leg_tot",6836.76752818374,469.79560108386,7010.8063644609,6340.08756262789,7185.514482904,0.0112550781720963,0.000768182750356384,0.0115433506731065,0.010442402585608,0.011822722132726,1.15433506731065,1.0442402585608,1.1822722132726,9.31966863080271,0.640410736252357,9.55691295369467,8.64260996595021,9.79506962119705
0,1,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"direct","dairy_tot",814.820372875199,76.175124034393,839.827915290856,734.812134081345,873.572200615745,0.00865813732420606,0.000733152055252096,0.008884248765498,0.00789084822209387,0.00923323170122009,0.8884248765498,0.789084822209387,0.923323170122009,6.41353443009166,0.599582186423694,6.61037135223297,5.78378140564933,6.87597607071387
0,2,"direct","leg_tot",1098.58561568986,85.3219079258593,1071.00754246113,1032.49082675427,1188.12176686987,0.0116782930436333,0.000872809927751421,0.0115114959026879,0.0109314469003383,0.0125669167567319,1.15114959026879,1.09314469003383,1.25669167567319,8.64707965728481,0.6715774572409,8.43000982440384,8.12684081864082,9.35182785387763
0,2,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medBMI","leg_tot",1130.94002356833,85.0374408085305,1083.08424706907,1080.73692760421,1221.82052955682,0.0120298634968303,0.00102302261336095,0.0114575732834759,0.0114228829051446,0.0131232907698673,1.14575732834759,1.14228829051446,1.31232907698673,8.90174450833853,0.669338387487674,8.52506680062027,8.50659080921468,9.61707425902289
0,2,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"direct","dairy_tot",579.094548724445,25.9149037856297,591.198932490674,551.435082237412,596.465289010182,0.00921323641198377,0.000425062900343119,0.00943234548913904,0.0087587753659111,0.00948145474247447,0.943234548913904,0.87587753659111,0.948145474247447,3.02877852424892,0.135540049922385,3.09208683492319,2.88411406786155,3.11963091656315
0,3,"direct","leg_tot",488.511731968686,31.5031235870122,480.198166637137,462.909095530927,521.180898938262,0.00777143976532541,0.000493211233257137,0.00766137210683155,0.00735850179647659,0.00827793524389401,0.766137210683155,0.735850179647659,0.827793524389401,2.55501255518543,0.164767539907382,2.51153097140676,2.42110572498362,2.72587873159912
0,3,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
