"female","outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"AA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"AA","leg_tot",88.3683806109094,5.01539918928511,87.2216696042084,84.1854397000996,93.526025877415,0.0153278761027516,0.000851595430260145,0.0152605421037786,0.014549376285924,0.0161636098187063,1.52605421037786,1.4549376285924,1.61636098187063,0.0749729265831826,0.00425513235168649,0.0740000414909903,0.0714240630684288,0.0793487424262997
0,"AFF","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"AFF","leg_tot",154.571526066447,8.77094269556708,151.371681662848,148.025873950291,163.837045925661,0.0146498256137423,0.000805855858544892,0.0143817711327392,0.014030638156154,0.0154968593801833,1.43817711327392,1.4030638156154,1.54968593801833,0.13114056855535,0.00744138614099342,0.128425777383552,0.125587148970755,0.139001560635973
0,"APCA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"APCA","leg_tot",102.511360138879,14.5875177162568,101.711226237089,89.0089190801928,116.693915014086,0.00209388801354498,0.000311870192238027,0.00205085239304574,0.00181802469499323,0.00240633160952109,0.205085239304574,0.181802469499323,0.240633160952109,0.0869720212648724,0.0123762468793818,0.0862931768653156,0.0755163680641659,0.0990046922052022
0,"BC","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"BC","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"CC","dairy_tot",5706.34280337738,422.218268927165,5878.20390809994,5257.9423146977,6008.66135304288,0.076156182582322,0.00458760984880203,0.0782163365979848,0.0712654774208394,0.0792957568304912,7.82163365979848,7.12654774208394,7.92957568304912,4.84133823770974,0.35821567691427,4.98714751810838,4.46090921224569,5.09782937483496
0,"CC","leg_tot",175.325179244442,21.5398692053077,185.50233400646,152.328458202658,189.67131873851,0.00234374698764354,0.000314185696801423,0.00246832420637327,0.00201047432861041,0.00257112901075639,0.246832420637327,0.201047432861041,0.257112901075639,0.148748247968393,0.0182747157000807,0.157382683402465,0.129237519510993,0.16091970630683
