"female","outcome","riskfactor","V1","V2","V3"
0,"AA","dairy_tot",0,0,0
1,"AA","dairy_tot",0,0,0
0,"AFF","dairy_tot",0,0,0
1,"AFF","dairy_tot",0,0,0
0,"APCA","dairy_tot",0,0,0
1,"APCA","dairy_tot",0,0,0
0,"BC","dairy_tot",0,0,0
1,"BC","dairy_tot",0,0,0
0,"CC","dairy_tot",5878.20390809994,5225.29696767653,6015.52753435566
1,"CC","dairy_tot",5467.37125920071,5272.66346867436,4997.66544027693
0,"CM","dairy_tot",0,0,0
1,"CM","dairy_tot",0,0,0
0,"DIAB","dairy_tot",0,0,0
1,"DIAB","dairy_tot",0,0,0
0,"ECA","dairy_tot",0,0,0
1,"ECA","dairy_tot",0,0,0
0,"ENDO","dairy_tot",0,0,0
1,"ENDO","dairy_tot",0,0,0
0,"GC","dairy_tot",0,0,0
1,"GC","dairy_tot",0,0,0
0,"HHD","dairy_tot",0,0,0
1,"HHD","dairy_tot",0,0,0
0,"HSTK","dairy_tot",0,0,0
1,"HSTK","dairy_tot",0,0,0
0,"IHD","dairy_tot",0,0,0
1,"IHD","dairy_tot",0,0,0
0,"ISTK","dairy_tot",0,0,0
1,"ISTK","dairy_tot",0,0,0
0,"KC","dairy_tot",0,0,0
1,"KC","dairy_tot",0,0,0
0,"LC","dairy_tot",0,0,0
1,"LC","dairy_tot",0,0,0
0,"LVC","dairy_tot",0,0,0
1,"LVC","dairy_tot",0,0,0
0,"MLPC","dairy_tot",0,0,0
1,"MLPC","dairy_tot",0,0,0
0,"MMC","dairy_tot",0,0,0
1,"MMC","dairy_tot",0,0,0
0,"OC","dairy_tot",0,0,0
1,"OC","dairy_tot",0,0,0
0,"OSTK","dairy_tot",0,0,0
1,"OSTK","dairy_tot",0,0,0
0,"OTH","dairy_tot",0,0,0
1,"OTH","dairy_tot",0,0,0
0,"PC","dairy_tot",0,0,0
1,"PC","dairy_tot",0,0,0
0,"PVD","dairy_tot",0,0,0
1,"PVD","dairy_tot",0,0,0
0,"RHD","dairy_tot",0,0,0
1,"RHD","dairy_tot",0,0,0
0,"SCC","dairy_tot",0,0,0
1,"SCC","dairy_tot",0,0,0
0,"SCNC","dairy_tot",0,0,0
1,"SCNC","dairy_tot",0,0,0
0,"TC","dairy_tot",0,0,0
1,"TC","dairy_tot",0,0,0
0,"UC","dairy_tot",0,0,0
1,"UC","dairy_tot",0,0,0
0,"AA","leg_tot",87.2216696042084,93.8578341023207,84.0256381261992
1,"AA","leg_tot",55.265386316725,51.3748587205553,60.0290109743583
0,"AFF","leg_tot",151.371681662848,147.849778807525,164.493117728967
1,"AFF","leg_tot",210.163315670633,164.561465822378,168.999382285615
0,"APCA","leg_tot",88.3403765982509,101.711226237089,117.482477581297
1,"APCA","leg_tot",0,0,0
0,"BC","leg_tot",0,0,0
1,"BC","leg_tot",1467.71231388962,1274.22884030784,1368.11644593272
0,"CC","leg_tot",185.50233400646,189.890738987565,150.5824647393
1,"CC","leg_tot",176.034706676533,160.614171511978,128.458298253321
0,"CM","leg_tot",207.883299889621,191.62440804738,168.884277222005
1,"CM","leg_tot",95.3375127971908,124.905449784841,101.268685900139
0,"DIAB","leg_tot",1494.82932074238,1675.0207419812,1381.59904575092
1,"DIAB","leg_tot",1079.27871292752,1070.59077610302,1265.44677497162
0,"ECA","leg_tot",177.554659249913,213.737537837014,163.007695539645
1,"ECA","leg_tot",30.516734460182,25.6014829466021,31.6553797584091
0,"ENDO","leg_tot",19.9327630130021,20.7240631325683,17.5198300618374
1,"ENDO","leg_tot",13.830338957958,11.909568561505,12.8315268786563
0,"GC","leg_tot",14.3708229275711,11.0566730272948,14.9720998794865
1,"GC","leg_tot",29.0416725430152,31.3639656223626,29.9262447692382
0,"HHD","leg_tot",877.807381774036,737.007189561917,757.994021625484
1,"HHD","leg_tot",791.614128385076,675.145540814654,522.293853779467
0,"HSTK","leg_tot",1045.6251834947,957.196742077745,994.985173400516
1,"HSTK","leg_tot",1364.64505928101,1446.29413270414,1518.13114032564
0,"IHD","leg_tot",7056.83873444834,6818.69091444393,6636.83113229332
1,"IHD","leg_tot",4152.34058835904,3549.60056582685,4554.62273376048
0,"ISTK","leg_tot",1117.35603309119,903.036614700997,1038.11353802333
1,"ISTK","leg_tot",1277.72677440429,1655.90336834146,1392.94430186429
0,"KC","leg_tot",571.491298054704,597.898785476204,644.40783922737
1,"KC","leg_tot",314.264349410404,318.074645374924,272.487468588636
0,"LC","leg_tot",0,0,0
1,"LC","leg_tot",0,0,0
0,"LVC","leg_tot",340.813086257183,337.521200959236,330.265444859332
1,"LVC","leg_tot",137.33721534318,101.383607051891,146.364348871319
0,"MLPC","leg_tot",1526.87601712244,1863.11488399911,1520.50324661787
1,"MLPC","leg_tot",783.076153579555,611.175570616871,854.725995248398
0,"MMC","leg_tot",65.2496250262184,60.6649832600989,53.8468920917104
1,"MMC","leg_tot",52.4497765935394,50.6702538507807,51.3659588039622
0,"OC","leg_tot",0,0,0
1,"OC","leg_tot",58.4518060545788,58.4779820797456,55.6041576028839
0,"OSTK","leg_tot",1732.84678448075,2188.89968759971,2018.54236477701
1,"OSTK","leg_tot",2429.15200490537,2472.79584283803,2218.94478342487
0,"OTH","leg_tot",222.177086104347,229.974974857056,224.909468355006
1,"OTH","leg_tot",252.387767514127,426.64711744684,288.160781283864
0,"PC","leg_tot",151.135687735473,161.495944302906,138.78535846485
1,"PC","leg_tot",105.694776723486,138.325297627763,121.238356392434
0,"PVD","leg_tot",52.4690301552256,47.9471728797951,43.3041057101753
1,"PVD","leg_tot",48.7887760352344,51.0329855544586,59.967096935196
0,"RHD","leg_tot",19.6871954543937,22.1662778591505,18.808093386138
1,"RHD","leg_tot",28.2645468152993,26.9315717739424,28.4524480324936
0,"SCC","leg_tot",82.1708311289321,61.5420047269182,88.5700502642535
1,"SCC","leg_tot",18.3613882883394,21.3020371001936,20.8137445072959
0,"SCNC","leg_tot",0,0,0
1,"SCNC","leg_tot",0,0,0
0,"TC","leg_tot",38.7945405514358,39.3690706092596,40.4514540029605
1,"TC","leg_tot",114.37340294282,104.074997319363,137.827871616475
0,"UC","leg_tot",0,0,0
1,"UC","leg_tot",1472.29743326447,1350.77355659075,1501.00080858406
