"disease_type","riskfactor","V1","V2","V3"
"CMD","dairy_tot",0,0,0
"Cancer","dairy_tot",11345.5751673006,10497.9604363509,11013.1929746326
"CMD","leg_tot",25884.8410762846,25761.689644344,25742.1023268776
"Cancer","leg_tot",8001.91100842831,7884.06945742375,7982.46010219722
